ORF_ID	ORF	HMM_Name	Score	Significance_evalue	NAME	Alternative_name	Database	Description
0000001019	megahit_1112_9095-10009	PF01473.15	42.9	1.8e-11	CW_binding_1	-	PFAM	Putative cell wall binding repeat
0000001110	megahit_1157_173-931	PF00881.19	109.4	1e-31	Nitroreductase	-	PFAM	Nitroreductase family
0000001170	megahit_1203_5719-7764	PF13091.1	46.4	1.9e-12	PLDc_2	-	PFAM	PLD-like domain
0000001211	megahit_1217_1365-2453	PF03372.18	61.3	8.7e-17	Exo_endo_phos	-	PFAM	Endonuclease/Exonuclease/phosphatase family
0000001249	megahit_1228_438-1343	K11060_3	117.5	3.3e-34	entB	-	KEGG	probable enterotoxin B
0000001249	megahit_1228_438-1343	K11062_2	79.6	9.1e-23	entD	-	KEGG	probable enterotoxin D
0000001249	megahit_1228_438-1343	K11059_3	43.9	5.4e-12	entA	-	KEGG	probable enterotoxin A
0000001339	megahit_1274_7183-9369	PF13091.1	42.5	3.1e-11	PLDc_2	-	PFAM	PLD-like domain
0000001440	megahit_1358_1-456	K11068_1278_95_625	170.4	1.8e-50	hlyIII	-	KEGG	hemolysin III
0000001446	megahit_1358_5031-8084	PF08367.6	62.5	1.6e-17	M16C_assoc	-	PFAM	Peptidase M16C associated
0000001446	megahit_1358_5031-8084	K06972_355	475.8	1.3e-142	PITRM1, PreP, CYM1	-	KEGG	presequence protease [EC:3.4.24.-]
0000001446	megahit_1358_5031-8084	PF05193.16	55.1	4.8e-15	Peptidase_M16_C	-	PFAM	Peptidase M16 inactive domain
0000001682	megahit_1589_3-1013	PF00873.14	279.1	3.3e-83	ACR_tran	-	PFAM	AcrB/AcrD/AcrF family
0000001686	megahit_1592_934-1791	PF03837.9	177.7	1.1e-52	RecT	-	PFAM	RecT family
0000001722	megahit_1616_157-582	3.4.21.19_6	47.1	1.2e-12	Glutamyl endopeptidase	-	SwissProt	Glutamyl endopeptidase
0000001740	megahit_1620_14218-16359	PF13091.1	42.9	2.3e-11	PLDc_2	-	PFAM	PLD-like domain
0000001772	megahit_1630_2-85	PF13950.1	47.6	7.6e-13	Epimerase_Csub	-	PFAM	UDP-glucose 4-epimerase C-term subunit
0000001847	megahit_1688_3-935	K10816_8	46.6	1e-12	hcnC	-	KEGG	hydrogen cyanide synthase HcnC [EC:1.4.99.5]
0000002063	megahit_1848_165-1082	PF00873.14	154.9	1.1e-45	ACR_tran	-	PFAM	AcrB/AcrD/AcrF family
0000002098	megahit_1895_289-1158	PF01909.18	42	5.7e-11	NTP_transf_2	-	PFAM	Nucleotidyltransferase domain
0000002109	megahit_1895_9858-10259	TIGR01593	113.7	2.7e-33	holin_tox_secr	-	TIGR	toxin secretion/phage lysis holin
0000002109	megahit_1895_9858-10259	PF05105.7	138.6	4.7e-41	Phage_holin_4	-	PFAM	Holin family
0000002185	megahit_1919_3-986	PF00246.19	117.6	4.9e-34	Peptidase_M14	-	PFAM	Zinc carboxypeptidase
0000002212	megahit_1935_709-1290	PF00881.19	90	9.5e-26	Nitroreductase	-	PFAM	Nitroreductase family
0000002229	megahit_1936_1-1878	PF00873.14	441.8	2.5e-132	ACR_tran	-	PFAM	AcrB/AcrD/AcrF family
0000002278	megahit_1945_11773-12102	PF07883.6	45.4	2.7e-12	Cupin_2	-	PFAM	Cupin domain
0000002309	megahit_1963_918-1394	TIGR01593	58.1	4.3e-16	holin_tox_secr	-	TIGR	toxin secretion/phage lysis holin
0000002309	megahit_1963_918-1394	PF05105.7	73.7	6e-21	Phage_holin_4	-	PFAM	Holin family
0000002355	megahit_2038_563-1180	PF00873.14	177.3	1.9e-52	ACR_tran	-	PFAM	AcrB/AcrD/AcrF family
0000002356	megahit_2039_1-801	PF01636.18	43.5	2e-11	APH	-	PFAM	Phosphotransferase enzyme family
0000002366	megahit_2067_73-2769	PF08367.6	196.4	2.2e-58	M16C_assoc	-	PFAM	Peptidase M16C associated
0000002366	megahit_2067_73-2769	K06972_355	922.3	1.7e-277	PITRM1, PreP, CYM1	-	KEGG	presequence protease [EC:3.4.24.-]
0000002366	megahit_2067_73-2769	PF05193.16	59.5	2.1e-16	Peptidase_M16_C	-	PFAM	Peptidase M16 inactive domain
0000002366	megahit_2067_73-2769	PF00675.15	41.8	5.8e-11	Peptidase_M16	-	PFAM	Insulinase (Peptidase family M16)
0000002374	megahit_2069_9107-9439	PF07883.6	41.2	5.6e-11	Cupin_2	-	PFAM	Cupin domain
0000002590	megahit_2204_998-2266	K01186_172	43.5	1.2e-11	NEU1	-	KEGG	Sialidase-1
0000002769	megahit_2256_22374-23345	K11041_146	364.7	1.7e-109	eta	-	KEGG	exfoliative toxin A\/B
0000002915	megahit_2361_662-1543	PF03372.18	97	1.1e-27	Exo_endo_phos	-	PFAM	Endonuclease/Exonuclease/phosphatase family
0000003146	megahit_2535_6163-7131	PF13091.1	88.8	1.4e-25	PLDc_2	-	PFAM	PLD-like domain
0000003165	megahit_2545_4399-5019	PF00717.18	60.5	5.8e-17	Peptidase_S24	-	PFAM	Peptidase S24-like
0000003213	megahit_2548_430-810	PF02452.12	76.8	8.8e-22	PemK	-	PFAM	PemK-like protein
0000003229	megahit_2556_1399-1863	PF02742.10	47.4	7.4e-13	Fe_dep_repr_C	-	PFAM	Iron dependent repressor, metal binding and dimerisation domain
0000003229	megahit_2556_1399-1863	PF01325.14	61.8	2.8e-17	Fe_dep_repress	-	PFAM	Iron dependent repressor, N-terminal DNA binding domain
0000003298	megahit_2577_10668-11291	PF00717.18	56.5	1e-15	Peptidase_S24	-	PFAM	Peptidase S24-like
0000003434	megahit_2626_13096-14451	PF13091.1	74.9	3e-21	PLDc_2	-	PFAM	PLD-like domain
0000003581	megahit_2682_31106-32197	PF01636.18	51.6	6.5e-14	APH	-	PFAM	Phosphotransferase enzyme family
0000003653	megahit_2727_10567-11592	PF13950.1	108.4	8e-32	Epimerase_Csub	-	PFAM	UDP-glucose 4-epimerase C-term subunit
0000003797	megahit_2818_15634-15933	PF13997.1	103.8	2.6e-30	YqjK	-	PFAM	YqjK-like protein
0000003814	megahit_2821_1919-2488	PF07883.6	50.6	6.4e-14	Cupin_2	-	PFAM	Cupin domain
0000003959	megahit_2861_24647-25276	PF00717.18	52.8	1.4e-14	Peptidase_S24	-	PFAM	Peptidase S24-like
0000004005	megahit_2872_6952-8196	K10815_8	64.2	3.8e-18	hcnB	-	KEGG	hydrogen cyanide synthase HcnB [EC:1.4.99.5]
0000004111	megahit_2877_1-756	K11060_3	42.2	2.1e-11	entB	-	KEGG	probable enterotoxin B
0000004144	megahit_2895_12610-12942	PF13982.1	166	1e-49	YbfN	-	PFAM	YbfN-like lipoprotein
0000004194	megahit_2895_67943-69331	PF13941.1	476.8	3e-143	MutL	-	PFAM	MutL protein
0000004261	megahit_2999_244-708	TIGR01593	59.3	1.8e-16	holin_tox_secr	-	TIGR	toxin secretion/phage lysis holin
0000004261	megahit_2999_244-708	PF05105.7	91.3	2.1e-26	Phage_holin_4	-	PFAM	Holin family
0000004265	megahit_3003_1056-2180	PF14031.1	54	9e-15	D-ser_dehydrat	-	PFAM	Putative serine dehydratase domain
0000004393	megahit_3031_14924-17752	K06972_355	51.3	2.2e-14	PITRM1, PreP, CYM1	-	KEGG	presequence protease [EC:3.4.24.-]
0000004393	megahit_3031_14924-17752	PF00675.15	90.9	4.1e-26	Peptidase_M16	-	PFAM	Insulinase (Peptidase family M16)
0000004393	megahit_3031_14924-17752	PF05193.16	126.1	7.9e-37	Peptidase_M16_C	-	PFAM	Peptidase M16 inactive domain
0000004473	megahit_3037_23346-24299	PF00882.13	47.2	1.2e-12	Zn_dep_PLPC	-	PFAM	Zinc dependent phospholipase C
0000004540	megahit_3055_2052-2537	PF05105.7	92.2	1.1e-26	Phage_holin_4	-	PFAM	Holin family
0000004540	megahit_3055_2052-2537	TIGR01593	57.7	5.8e-16	holin_tox_secr	-	TIGR	toxin secretion/phage lysis holin
0000004588	megahit_3082_5802-6071	PF04221.7	54.6	4.5e-15	RelB	-	PFAM	RelB antitoxin
0000004589	megahit_3082_6071-6352	TIGR00053	86.9	5.5e-25	TIGR00053	-	TIGR	addiction module toxin component, YafQ family
0000004589	megahit_3082_6071-6352	TIGR02385	87.2	4.2e-25	RelE_StbE	-	TIGR	addiction module toxin, RelE/StbE family
0000004710	megahit_3162_8694-10250	PF13091.1	110.3	3.3e-32	PLDc_2	-	PFAM	PLD-like domain
0000004900	megahit_3255_24992-26248	PF05193.16	86	1.5e-24	Peptidase_M16_C	-	PFAM	Peptidase M16 inactive domain
0000004901	megahit_3255_26248-27537	PF05193.16	58.2	5.5e-16	Peptidase_M16_C	-	PFAM	Peptidase M16 inactive domain
0000004901	megahit_3255_26248-27537	PF00675.15	49.2	2.8e-13	Peptidase_M16	-	PFAM	Insulinase (Peptidase family M16)
0000004901	megahit_3255_26248-27537	K06972_355	41	3e-11	PITRM1, PreP, CYM1	-	KEGG	presequence protease [EC:3.4.24.-]
0000004912	megahit_3255_37460-37840	PF02742.10	46.5	1.4e-12	Fe_dep_repr_C	-	PFAM	Iron dependent repressor, metal binding and dimerisation domain
0000004912	megahit_3255_37460-37840	PF01325.14	42.3	3.3e-11	Fe_dep_repress	-	PFAM	Iron dependent repressor, N-terminal DNA binding domain
0000005008	megahit_3255_115687-116172	PF00717.18	61.2	3.6e-17	Peptidase_S24	-	PFAM	Peptidase S24-like
0000005008	megahit_3255_115687-116172	PF10502.4	43	1.9e-11	Peptidase_S26	-	PFAM	Signal peptidase, peptidase S26
0000005092	megahit_3258_57429-58787	K12340_892	180	3.5e-53	tolC	-	KEGG	outer membrane protein
0000005094	megahit_3258_59944-63114	PF00873.14	847.1	8.8e-255	ACR_tran	-	PFAM	AcrB/AcrD/AcrF family
0000005099	megahit_3258_67386-69053	K01197_243	45.6	1.9e-12	hya	-	KEGG	hyaluronoglucosaminidase [EC:3.2.1.35]
0000005102	megahit_3258_71308-74499	PF00873.14	990.7	3.9e-298	ACR_tran	-	PFAM	AcrB/AcrD/AcrF family
0000005103	megahit_3258_74531-75931	K12340_892	180.1	3.3e-53	tolC	-	KEGG	outer membrane protein
0000005117	megahit_3277_1219-1692	PF10502.4	47.4	8.6e-13	Peptidase_S26	-	PFAM	Signal peptidase, peptidase S26
0000005117	megahit_3277_1219-1692	PF00717.18	68.8	1.5e-19	Peptidase_S24	-	PFAM	Peptidase S24-like
0000005123	megahit_3277_5428-6081	K11068_1278_95_625	225.3	3e-67	hlyIII	-	KEGG	hemolysin III
0000005344	megahit_3349_5533-5871	PF07883.6	52.1	2.2e-14	Cupin_2	-	PFAM	Cupin domain
0000005724	megahit_3564_981-1571	PF01885.11	151.4	1.1e-44	PTS_2-RNA	-	PFAM	RNA 2'-phosphotransferase, Tpt1 / KptA family
0000005731	megahit_3564_6567-6989	PF02452.12	89.7	8.4e-26	PemK	-	PFAM	PemK-like protein
0000005875	megahit_3701_32055-32588	PF02452.12	100.9	2.8e-29	PemK	-	PFAM	PemK-like protein
0000005926	megahit_3741_463-1938	PF01473.15	159.2	2.4e-48	CW_binding_1	-	PFAM	Putative cell wall binding repeat
0000005926	megahit_3741_463-1938	K11063_6	90.5	1.9e-26	tcdAB	-	KEGG	toxin A\/B
0000006201	megahit_3845_13177-14193	PF13950.1	113	2.9e-33	Epimerase_Csub	-	PFAM	UDP-glucose 4-epimerase C-term subunit
0000006209	megahit_3846_1-1083	PF00873.14	381.1	5.3e-114	ACR_tran	-	PFAM	AcrB/AcrD/AcrF family
0000006253	megahit_3873_2330-4240	K11063_6	55.6	6.3e-16	tcdAB	-	KEGG	toxin A\/B
0000006253	megahit_3873_2330-4240	PF01473.15	127.4	2.9e-38	CW_binding_1	-	PFAM	Putative cell wall binding repeat
0000006420	megahit_3955_67-1074	K11060_3	53.6	7.7e-15	entB	-	KEGG	probable enterotoxin B
0000006479	megahit_3995_275-7450	PF07591.6	114.3	2.2e-33	PT-HINT	-	PFAM	Pretoxin HINT domain
0000006516	megahit_4036_4009-4782	PF00881.19	90	9.5e-26	Nitroreductase	-	PFAM	Nitroreductase family
0000006538	megahit_4036_23074-23643	PF07883.6	49.2	1.8e-13	Cupin_2	-	PFAM	Cupin domain
0000006659	megahit_4036_146622-147404	PF00881.19	99	1.5e-28	Nitroreductase	-	PFAM	Nitroreductase family
0000006853	megahit_4066_163095-163388	PF04221.7	41	7.6e-11	RelB	-	PFAM	RelB antitoxin
0000006886	megahit_4072_14026-15576	PF13091.1	91.6	2e-26	PLDc_2	-	PFAM	PLD-like domain
0000006952	megahit_4098_66-1922	PF00873.14	435	2.7e-130	ACR_tran	-	PFAM	AcrB/AcrD/AcrF family
0000007058	megahit_4164_26773-27108	PF02452.12	111.8	1.2e-32	PemK	-	PFAM	PemK-like protein
0000007079	megahit_4173_10103-10642	PF07883.6	64.3	3.4e-18	Cupin_2	-	PFAM	Cupin domain
0000007125	megahit_4220_1870-2250	PF13935.1	87.2	8.1e-25	Ead_Ea22	-	PFAM	Ead/Ea22-like protein
0000007242	megahit_4330_263-637	PF07883.6	45.3	2.8e-12	Cupin_2	-	PFAM	Cupin domain
0000007352	megahit_4399_17460-18251	PF00881.19	77.6	5.9e-22	Nitroreductase	-	PFAM	Nitroreductase family
0000007408	megahit_4399_76542-79151	PF07691.7	64.3	5.7e-18	PA14	-	PFAM	PA14 domain
0000007659	megahit_4562_284-1513	PF01636.18	41.4	8.4e-11	APH	-	PFAM	Phosphotransferase enzyme family
0000007664	megahit_4565_4161-5765	PF13091.1	92.1	1.4e-26	PLDc_2	-	PFAM	PLD-like domain
0000007750	megahit_4591_53041-53781	K11062_2	65.6	1.6e-18	entD	-	KEGG	probable enterotoxin D
0000007777	megahit_4591_81714-82730	PF13950.1	113.1	2.8e-33	Epimerase_Csub	-	PFAM	UDP-glucose 4-epimerase C-term subunit
0000007800	megahit_4608_1-4272	PF03372.18	48.8	5.7e-13	Exo_endo_phos	-	PFAM	Endonuclease/Exonuclease/phosphatase family
0000007871	megahit_4631_45980-48538	PF13954.1	83.5	6.7e-24	PapC_N	-	PFAM	PapC N-terminal domain
0000007871	megahit_4631_45980-48538	PF13953.1	47.5	6.5e-13	PapC_C	-	PFAM	PapC C-terminal domain
0000007886	megahit_4631_64067-65083	PF13950.1	105.7	5.5e-31	Epimerase_Csub	-	PFAM	UDP-glucose 4-epimerase C-term subunit
0000007900	megahit_4631_81846-84962	PF00873.14	1373.9	0	ACR_tran	-	PFAM	AcrB/AcrD/AcrF family
0000007914	megahit_4631_101771-106126	K12679_6	368.6	3.5e-110	icsA, virG	-	KEGG	outer membrane protein IcsA
0000007921	megahit_4631_113455-114864	K12340_892	170.7	2.3e-50	tolC	-	KEGG	outer membrane protein
0000007931	megahit_4631_132046-133335	K03699_483	333.5	7.9e-100	tlyC	-	KEGG	putative hemolysin
0000007971	megahit_4674_927-2294	K12340_892	194.3	1.7e-57	tolC	-	KEGG	outer membrane protein
0000007972	megahit_4674_2339-5464	PF00873.14	489.8	7.8e-147	ACR_tran	-	PFAM	AcrB/AcrD/AcrF family
0000007993	megahit_4690_8877-10547	PF01473.15	65.7	1e-18	CW_binding_1	-	PFAM	Putative cell wall binding repeat
0000007993	megahit_4690_8877-10547	K11063_6	112.7	3.9e-33	tcdAB	-	KEGG	toxin A\/B
0000007994	megahit_4690_10959-12431	PF01473.15	67.4	3.2e-19	CW_binding_1	-	PFAM	Putative cell wall binding repeat
0000007994	megahit_4690_10959-12431	K11063_6	80.4	2.2e-23	tcdAB	-	KEGG	toxin A\/B
0000008101	megahit_4691_74835-75170	PF05016.9	54.9	5.5e-15	Plasmid_stabil	-	PFAM	Plasmid stabilisation system protein
0000008122	megahit_4691_99083-99628	PF00881.19	124.7	2e-36	Nitroreductase	-	PFAM	Nitroreductase family
0000008254	megahit_4736_6282-6914	PF00717.18	60.9	4.3e-17	Peptidase_S24	-	PFAM	Peptidase S24-like
0000008290	megahit_4736_40712-43498	PF00675.15	95.3	1.9e-27	Peptidase_M16	-	PFAM	Insulinase (Peptidase family M16)
0000008290	megahit_4736_40712-43498	PF05193.16	106.5	8e-31	Peptidase_M16_C	-	PFAM	Peptidase M16 inactive domain
0000008290	megahit_4736_40712-43498	K06972_355	48.7	1.4e-13	PITRM1, PreP, CYM1	-	KEGG	presequence protease [EC:3.4.24.-]
0000008312	megahit_4736_66371-68515	PF03212.9	95.2	1.4e-27	Pertactin	-	PFAM	Pertactin
0000008312	megahit_4736_66371-68515	3.4.21.72_3	69.8	4.4e-20	IgA-specifi serine endopeptidase	-	SwissProt	IgA-specifi serine endopeptidase
0000008318	megahit_4743_3151-8106	K11016_57	1852.5	0	shlA	-	KEGG	hemolysin
0000008318	megahit_4743_3151-8106	PF05860.8	113.6	2.9e-33	Haemagg_act	-	PFAM	haemagglutination activity domain
0000008318	megahit_4743_3151-8106	K15125_378	518.4	2.1e-155	fhaB	-	KEGG	filamentous hemagglutinin
0000008319	megahit_4743_8210-9925	K11017_55	717	9.4e-216	shlB	-	KEGG	hemolysin activation\/secretion protein
0000008347	megahit_4752_11402-11929	PF00881.19	98.8	1.8e-28	Nitroreductase	-	PFAM	Nitroreductase family
0000008372	megahit_4756_1890-2336	PF01473.15	45.3	3.1e-12	CW_binding_1	-	PFAM	Putative cell wall binding repeat
0000008472	megahit_4815_2-193	K03699_483	44.4	4.4e-12	tlyC	-	KEGG	putative hemolysin
0000008495	megahit_4854_693-1139	K11060_3	66.8	7.4e-19	entB	-	KEGG	probable enterotoxin B
0000008509	megahit_4867_3898-7758	K01186_172	80.6	6.6e-23	NEU1	-	KEGG	Sialidase-1
0000008674	megahit_4950_11077-11823	PF03372.18	80.5	1.1e-22	Exo_endo_phos	-	PFAM	Endonuclease/Exonuclease/phosphatase family
0000008826	megahit_4987_40168-41265	PF01473.15	40.2	1.3e-10	CW_binding_1	-	PFAM	Putative cell wall binding repeat
0000008835	megahit_4987_47143-47538	PF05105.7	71.3	3.5e-20	Phage_holin_4	-	PFAM	Holin family
0000008835	megahit_4987_47143-47538	TIGR01593	57.6	6.4e-16	holin_tox_secr	-	TIGR	toxin secretion/phage lysis holin
0000008886	megahit_4990_3971-4315	PF02452.12	107.9	2e-31	PemK	-	PFAM	PemK-like protein
0000009016	megahit_5069_1037-2392	PF13091.1	76.4	1e-21	PLDc_2	-	PFAM	PLD-like domain
0000009072	megahit_5102_2084-2452	PF05105.7	48.8	3.2e-13	Phage_holin_4	-	PFAM	Holin family
0000009099	megahit_5143_4449-5465	PF13950.1	110.9	1.4e-32	Epimerase_Csub	-	PFAM	UDP-glucose 4-epimerase C-term subunit
0000009101	megahit_5143_6401-6820	PF14057.1	224.2	1.2e-66	GGGtGRT	-	PFAM	GGGtGRT protein
0000009222	megahit_5170_4729-5247	PF02452.12	77.9	4e-22	PemK	-	PFAM	PemK-like protein
0000009241	megahit_5181_268-2868	K11060_3	49.1	1.7e-13	entB	-	KEGG	probable enterotoxin B
0000009266	megahit_5181_24412-24987	PF00717.18	69	1.3e-19	Peptidase_S24	-	PFAM	Peptidase S24-like
0000009268	megahit_5181_25852-26445	PF00717.18	69.7	7.8e-20	Peptidase_S24	-	PFAM	Peptidase S24-like
0000009312	megahit_5181_69335-70177	K03699_483	288.1	4.7e-86	tlyC	-	KEGG	putative hemolysin
0000009313	megahit_5181_70200-70547	PF02452.12	108.6	1.1e-31	PemK	-	PFAM	PemK-like protein
0000009592	megahit_5305_69623-70072	PF07883.6	53.5	8e-15	Cupin_2	-	PFAM	Cupin domain
0000009692	megahit_5341_3-1421	PF00873.14	260.5	1.4e-77	ACR_tran	-	PFAM	AcrB/AcrD/AcrF family
0000009736	megahit_5356_252-1481	PF01636.18	40.6	1.6e-10	APH	-	PFAM	Phosphotransferase enzyme family
0000009765	megahit_5370_15270-16937	PF13091.1	87	5.4e-25	PLDc_2	-	PFAM	PLD-like domain
0000009793	megahit_5376_19125-20399	K03699_483	414.5	2.1e-124	tlyC	-	KEGG	putative hemolysin
0000009950	megahit_5429_573-1247	K06972_355	395.6	2.3e-118	PITRM1, PreP, CYM1	-	KEGG	presequence protease [EC:3.4.24.-]
0000010179	megahit_5509_26703-28568	K01197_243	42.9	1.2e-11	hya	-	KEGG	hyaluronoglucosaminidase [EC:3.2.1.35]
0000010183	megahit_5509_33179-34078	PF07883.6	42	3.1e-11	Cupin_2	-	PFAM	Cupin domain
0000010281	megahit_5539_19369-19920	PF07883.6	45.8	2e-12	Cupin_2	-	PFAM	Cupin domain
0000010440	megahit_5631_45834-46229	TIGR01593	80.7	4.4e-23	holin_tox_secr	-	TIGR	toxin secretion/phage lysis holin
0000010440	megahit_5631_45834-46229	PF05105.7	117.6	1.5e-34	Phage_holin_4	-	PFAM	Holin family
0000010492	megahit_5631_99179-99943	PF03372.18	60.4	1.6e-16	Exo_endo_phos	-	PFAM	Endonuclease/Exonuclease/phosphatase family
0000010594	megahit_5693_732-1844	PF03372.18	68.3	6.4e-19	Exo_endo_phos	-	PFAM	Endonuclease/Exonuclease/phosphatase family
0000010597	megahit_5705_302-673	PF02742.10	43.5	1.2e-11	Fe_dep_repr_C	-	PFAM	Iron dependent repressor, metal binding and dimerisation domain
0000010601	megahit_5712_845-1075	PF02742.10	50.9	5.9e-14	Fe_dep_repr_C	-	PFAM	Iron dependent repressor, metal binding and dimerisation domain
0000010618	megahit_5732_3554-5638	PF14028.1	90.2	1.1e-25	SpaB_C	-	PFAM	SpaB C-terminal domain
0000010733	megahit_5770_166-1833	K11063_6	44.2	1.8e-12	tcdAB	-	KEGG	toxin A\/B
0000010818	megahit_5832_8232-9665	K11063_6	57.9	1.3e-16	tcdAB	-	KEGG	toxin A\/B
0000010850	megahit_5867_1882-3180	K11060_3	73.6	6.7e-21	entB	-	KEGG	probable enterotoxin B
0000010960	megahit_5917_71935-72282	PF07883.6	62.5	1.2e-17	Cupin_2	-	PFAM	Cupin domain
0000011044	megahit_5921_5509-6972	K10816_8	71.4	2.9e-20	hcnC	-	KEGG	hydrogen cyanide synthase HcnC [EC:1.4.99.5]
0000011045	megahit_5921_6969-8234	K10815_8	61.7	2.2e-17	hcnB	-	KEGG	hydrogen cyanide synthase HcnB [EC:1.4.99.5]
0000011058	megahit_5937_5517-6068	PF00717.18	47.2	8.3e-13	Peptidase_S24	-	PFAM	Peptidase S24-like
0000011164	megahit_5939_46188-46571	PF00903.20	56.6	1.6e-15	Glyoxalase	-	PFAM	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
0000011186	megahit_5939_69748-70095	PF02452.12	109.7	5.2e-32	PemK	-	PFAM	PemK-like protein
0000011219	megahit_5939_101743-102636	PF00246.19	86.5	1.5e-24	Peptidase_M14	-	PFAM	Zinc carboxypeptidase
0000011231	megahit_5939_116200-116997	PF00882.13	42.7	2.9e-11	Zn_dep_PLPC	-	PFAM	Zinc dependent phospholipase C
0000011279	megahit_5951_59150-59476	PF07883.6	48.4	3.1e-13	Cupin_2	-	PFAM	Cupin domain
0000011519	megahit_6077_2184-5108	PF05193.16	73.6	1e-20	Peptidase_M16_C	-	PFAM	Peptidase M16 inactive domain
0000011519	megahit_6077_2184-5108	K06972_355	989.1	1.1e-297	PITRM1, PreP, CYM1	-	KEGG	presequence protease [EC:3.4.24.-]
0000011519	megahit_6077_2184-5108	PF08367.6	209.4	2.4e-62	M16C_assoc	-	PFAM	Peptidase M16C associated
0000011523	megahit_6077_8326-9081	PF03372.18	94.3	6.9e-27	Exo_endo_phos	-	PFAM	Endonuclease/Exonuclease/phosphatase family
0000011572	megahit_6094_27874-28899	PF13950.1	114.8	8e-34	Epimerase_Csub	-	PFAM	UDP-glucose 4-epimerase C-term subunit
0000011882	megahit_6120_43145-45274	PF13091.1	42.5	3e-11	PLDc_2	-	PFAM	PLD-like domain
0000011895	megahit_6120_61659-63029	PF01473.15	152.6	2.9e-46	CW_binding_1	-	PFAM	Putative cell wall binding repeat
0000011895	megahit_6120_61659-63029	K11063_6	80.3	2.3e-23	tcdAB	-	KEGG	toxin A\/B
0000011896	megahit_6120_63354-65141	PF01636.18	63.8	1.3e-17	APH	-	PFAM	Phosphotransferase enzyme family
0000012049	megahit_6217_4310-7063	PF01473.15	135.3	8.8e-41	CW_binding_1	-	PFAM	Putative cell wall binding repeat
0000012049	megahit_6217_4310-7063	K11063_6	104.2	1.4e-30	tcdAB	-	KEGG	toxin A\/B
0000012236	megahit_6225_2-2161	PF05193.16	72.3	2.5e-20	Peptidase_M16_C	-	PFAM	Peptidase M16 inactive domain
0000012236	megahit_6225_2-2161	PF08367.6	192.6	3.2e-57	M16C_assoc	-	PFAM	Peptidase M16C associated
0000012236	megahit_6225_2-2161	K06972_355	797.1	1.1e-239	PITRM1, PreP, CYM1	-	KEGG	presequence protease [EC:3.4.24.-]
0000012271	megahit_6260_6244-6981	K11068_1278_95_625	226.3	1.5e-67	hlyIII	-	KEGG	hemolysin III
0000012305	megahit_6270_658-1101	PF03372.18	46.9	2.1e-12	Exo_endo_phos	-	PFAM	Endonuclease/Exonuclease/phosphatase family
0000012307	megahit_6277_1-1290	K03699_483	378.2	2.1e-113	tlyC	-	KEGG	putative hemolysin
