 Query_sequence	HMM_Name	Significance_Evalue	Score
0000402967	PF00881.19	5.2e-25	87.6
0000402051	PF00881.19	6.1e-24	84.1
0000405545	PF00881.19	4.1e-20	71.6
0000405153	PF00881.19	1.1e-19	70.2
0000405070	PF00881.19	7.3e-11	41.6
0000401564	PF00881.19	1.6e-10	40.4
0000403765	PF00882.13	1.8e-12	46.6
0000405303	PF00882.13	2.5e-11	42.9
0000407011	PF00903.20	2e-17	62.7
0000405438	PF00903.20	3.5e-13	49.0
0000402175	PF01473.15	7e-81	261.7
0000402125	PF01473.15	5.8e-53	173.7
0000401991	PF01473.15	2.2e-42	140.4
0000402134	PF01473.15	2.5e-41	137.1
0000400311	PF01473.15	2.1e-31	105.8
0000400308	PF01473.15	6.6e-24	82.1
0000406194	PF01473.15	3.3e-21	73.6
0000400312	PF01473.15	3.1e-20	70.5
0000402759	PF01473.15	2.5e-19	67.7
0000409749	PF01473.15	5.1e-17	60.4
0000405890	PF01636.18	9.9e-22	77.2
0000402124	PF01636.18	1.9e-15	56.7
0000405238	PF01636.18	9e-13	47.9
0000402686	PF01636.18	8.6e-12	44.7
0000400235	PF01636.18	3.1e-11	42.8
0000409397	PF01636.18	3.4e-11	42.7
0000401008	PF01885.11	2.9e-50	169.6
0000400068	PF02452.12	1.8e-30	104.7
0000403234	PF02452.12	4.3e-29	100.3
0000402034	PF02452.12	7.2e-29	99.6
0000405152	PF02742.10	1.9e-13	49.3
0000402061	PF03212.9	1e-24	85.9
0000408173	PF03372.18	7.4e-28	97.5
0000404778	PF03372.18	4e-19	68.9
0000405912	PF03372.18	1.6e-13	50.5
0000407272	PF03372.18	3.2e-11	43.0
0000409342	PF03496.9	1.8e-20	72.4
0000401928	PF03837.9	4.4e-51	172.4
0000408278	PF03837.9	8.3e-51	171.5
0000409362	PF03837.9	7.5e-40	135.7
0000402864	PF04221.7	3.4e-18	64.6
0000400454	PF04221.7	9.5e-18	63.1
0000400263	PF04221.7	9.1e-14	50.4
0000403620	PF04221.7	1.6e-10	40.0
0000409694	PF04488.10	4.9e-13	48.8
0000404553	PF05016.9	2.3e-11	43.3
0000400470	PF05016.9	5.9e-11	42.0
0000401162	PF05105.7	1.3e-28	98.4
0000403950	PF05105.7	7.9e-26	89.5
0000406756	PF05105.7	6.5e-23	80.1
0000400838	PF05193.16	4.3e-27	94.4
0000406474	PF05193.16	1.4e-26	92.7
0000400837	PF05193.16	1e-14	54.0
0000403173	PF07362.7	2.8e-23	81.0
0000407820	PF07883.6	4.6e-14	51.1
0000408207	PF07883.6	5.1e-13	47.7
0000401561	PF07883.6	9.5e-13	46.9
0000402516	PF07883.6	5.9e-12	44.3
0000405480	PF08845.5	9.2e-12	44.0
0000408040	PF10502.4	2.9e-11	42.4
0000406893	PF10502.4	1.1e-10	40.5
0000403458	PF13091.1	7.7e-35	118.8
0000405085	PF13091.1	3.7e-29	100.4
0000405539	PF13091.1	2.5e-26	91.3
0000402846	PF13091.1	5.2e-25	87.0
0000403890	PF13091.1	2.1e-24	85.1
0000400644	PF13091.1	8.8e-24	83.0
0000400181	PF13091.1	8.8e-20	70.1
0000403018	PF13091.1	6.7e-19	67.3
0000406478	PF13091.1	3.3e-18	65.0
0000401032	PF13091.1	5.9e-13	48.1
0000407807	PF13935.1	3.8e-18	65.5
0000406190	PF13941.1	2.2e-110	368.5
0000409057	PF13944.1	1e-14	54.1
0000408711	PF13953.1	9.8e-22	75.8
0000405468	PF13953.1	5.2e-21	73.5
0000408711	PF13954.1	7.1e-44	148.3
0000405468	PF13954.1	7.8e-32	109.3
0000408529	PF13958.1	1.5e-42	144.4
0000406331	PF13994.1	1.7e-39	133.8
0000404830	PF13999.1	4.4e-35	118.5
0000402061	3.4.21.72_3	9e-12	42.3
0000402865	TIGR00053	1.7e-22	78.9
0000409614	TIGR02116	2e-30	103.9
0000400076	TIGR02116	1e-24	85.6
0000404784	TIGR02116	3.3e-15	55.1
0000402865	TIGR02385	1.2e-25	89.0
0000403950	TIGR01593	3.1e-24	84.5
0000401162	TIGR01593	8.1e-21	73.4
0000406756	TIGR01593	8.3e-14	50.7
0000121247	K01186_172	1.9e-31	108.7
0000125188	K01197_243	6e-157	522.1
0000120678	K03699_483	5.4e-122	406.6
0000129652	K03699_483	1.5e-120	401.8
0000124388	K03699_483	2.1e-119	398.0
0000125093	K03699_483	6.4e-119	396.4
0000121977	K03699_483	3.6e-112	374.2
0000121512	K03699_483	3.9e-83	278.5
0000129770	K03699_483	4.4e-64	215.7
0000120543	K03699_483	3.5e-32	110.6
0000124166	K06972_355	0	1017.8
0000126402	K06972_355	2.4e-192	640.5
0000124035	K06972_355	4.4e-111	371.5
0000126493	K06972_355	4.8e-21	73.4
0000128662	K10815_8	1.3e-18	65.7
0000121916	K10815_8	1.9e-15	55.3
0000122910	K10816_8	2.9e-21	74.7
0000121929	K10816_8	4.8e-21	73.9
0000128663	K10816_8	5.9e-19	67.1
0000121915	K10816_8	5.6e-13	47.4
0000120295	K11021_124	6.5e-16	56.8
0000128675	K11041_146	3.4e-98	327.6
0000124419	K11041_146	5.7e-12	44.5
0000121758	K11059_3	5.5e-11	40.5
0000124448	K11060_3	1.6e-25	88.8
0000120916	K11060_3	1.8e-22	78.7
0000121758	K11060_3	2.3e-17	61.9
0000128609	K11060_3	1e-13	49.8
0000120795	K11060_3	4.8e-12	44.3
0000128607	K11060_3	9.3e-11	40.1
0000127857	K11062_2	8.4e-34	116.0
0000128609	K11062_2	1.3e-22	79.1
0000128905	K11062_2	2.9e-20	71.3
0000121758	K11062_2	3.1e-18	64.6
0000125236	K11062_2	1e-13	49.7
0000122276	K11062_2	2.1e-13	48.7
0000124448	K11062_2	3.3e-13	48.0
0000122199	K11063_6	1.2e-25	87.9
0000128079	K11063_6	1.2e-17	61.3
0000128078	K11063_6	7e-15	52.2
0000125922	K11068_1278_95_625	6.2e-71	237.3
0000127148	K11068_1278_95_625	3.9e-68	228.2
0000122389	K11068_1278_95_625	1.1e-65	220.3
0000127277	K11068_1278_95_625	1.5e-64	216.5
0000124812	K11139_46	2.5e-207	686.3
0000120981	K12340_892	3.8e-100	334.8
0000126639	K12340_892	6.2e-56	189.1
0000124225	K12340_892	3.8e-53	179.9
0000122952	K12340_892	2.4e-15	55.4
0000127338	K12340_892	2.9e-13	48.5
0000126586	K15125_378	1e-41	141.6
0000120991	K00457_848_95_564	4.9e-102	340.9
0000126493	PF00675.15	7.3e-18	64.1
0000128466	PF00717.18	1.2e-18	65.9
0000126151	PF00717.18	3e-18	64.6
0000128303	PF00717.18	6.3e-18	63.6
0000122721	PF00717.18	7.3e-18	63.4
0000129050	PF00717.18	1.2e-17	62.7
0000129523	PF00717.18	1.2e-17	62.6
0000126596	PF00717.18	1.6e-16	59.1
0000121044	PF00717.18	1.2e-15	56.3
0000125343	PF00717.18	2.5e-15	55.3
0000120581	PF00717.18	8e-15	53.7
0000126450	PF00717.18	2e-14	52.4
0000120579	PF00717.18	3.1e-14	51.7
0000125839	PF00717.18	4.3e-14	51.3
0000125951	PF00717.18	7.1e-14	50.6
0000124813	PF00717.18	1.1e-13	50.0
0000120491	PF00717.18	3.8e-13	48.3
0000123265	PF00717.18	2e-12	46.0
0000126451	PF00717.18	5.4e-12	44.6
0000122953	PF00873.14	2.9e-268	891.8
0000127339	PF00873.14	3e-200	666.6
0000127561	PF00873.14	2.5e-191	637.1
0000126640	PF00873.14	3.8e-152	507.4
0000124226	PF00873.14	5.1e-149	497.0
0000123400	PF00881.19	3.1e-37	127.3
0000124542	PF00881.19	1.4e-34	118.7
0000121023	PF00881.19	1e-33	115.9
0000123087	PF00881.19	1.7e-31	108.7
0000124552	PF00881.19	2.8e-29	101.5
0000129143	PF00881.19	4e-29	101.0
0000120304	PF00881.19	3.2e-28	98.0
0000125548	PF00881.19	4.8e-28	97.4
0000126653	PF00881.19	5.5e-27	94.0
0000126133	PF00881.19	5.5e-27	94.0
0000129992	PF00881.19	1.6e-26	92.5
0000125369	PF00881.19	1.6e-26	92.5
0000122581	PF00881.19	2.3e-26	92.0
0000129867	PF00881.19	3.3e-26	91.5
0000121118	PF00881.19	4.3e-26	91.1
0000123989	PF00881.19	7.9e-25	87.0
0000124962	PF00881.19	3.2e-23	81.7
0000122050	PF00881.19	9.6e-21	73.7
0000120814	PF00881.19	1.1e-10	41.0
0000124592	PF00882.13	1.3e-21	76.3
0000126400	PF00882.13	3.4e-11	42.5
0000122618	PF00903.20	3e-25	88.0
0000121178	PF00903.20	2.7e-19	68.8
0000129232	PF00903.20	1.8e-14	53.2
0000122788	PF00903.20	9.6e-13	47.6
0000124574	PF00903.20	1.7e-10	40.4
0000127587	PF01325.14	4.2e-16	58.0
0000120682	PF01325.14	2.1e-14	52.6
0000127551	PF01325.14	1.7e-10	40.1
0000128078	PF01473.15	3.6e-26	89.2
0000128079	PF01473.15	1.6e-17	62.0
0000126080	PF01473.15	2.8e-16	58.1
0000122199	PF01473.15	4.7e-15	54.2
0000121697	PF01473.15	4.1e-14	51.3
0000126161	PF01473.15	4.8e-13	47.9
0000123301	PF01636.18	4.7e-26	91.4
0000124240	PF01636.18	1.9e-21	76.3
0000126242	PF01636.18	2.9e-20	72.4
0000123338	PF01636.18	1.4e-17	63.6
0000125847	PF01636.18	4.1e-17	62.1
0000124773	PF01636.18	1.3e-14	53.9
0000123041	PF01640.12	1.4e-23	83.1
0000128813	PF01909.18	7.2e-14	51.3
0000128139	PF01909.18	5.5e-11	42.0
0000123752	PF02452.12	5.4e-33	112.9
0000121513	PF02452.12	6.4e-31	106.2
0000126095	PF02452.12	7.8e-31	105.9
0000127537	PF02452.12	1.2e-29	102.1
0000122082	PF02452.12	1.8e-28	98.4
0000129755	PF02452.12	7.7e-18	64.1
0000127587	PF02742.10	4.6e-27	92.9
0000120021	PF02742.10	2.2e-15	55.5
0000127551	PF02742.10	3.6e-11	42.0
0000124285	PF03372.18	8.7e-27	94.0
0000127104	PF03372.18	3e-26	92.2
0000124172	PF03372.18	1.2e-25	90.3
0000120263	PF03372.18	4.3e-21	75.4
0000121009	PF03372.18	5.7e-17	61.9
0000124277	PF03372.18	1.4e-15	57.3
0000124517	PF03372.18	5e-15	55.5
0000121324	PF03372.18	1.5e-12	47.4
0000126221	PF04221.7	8.1e-17	60.2
0000122666	PF04221.7	1.7e-16	59.1
0000122677	PF04221.7	2e-16	58.9
0000127851	PF04221.7	8.8e-14	50.4
0000128073	PF04221.7	2.2e-13	49.2
0000120790	PF04734.8	2.6e-11	41.6
0000123310	PF04740.7	7.8e-17	61.1
0000124544	PF05015.8	2.2e-23	81.6
0000126222	PF05016.9	1.4e-15	56.8
0000120063	PF05016.9	4.2e-15	55.3
0000128269	PF05016.9	3e-14	52.6
0000120673	PF05016.9	3.4e-14	52.4
0000120730	PF05016.9	4.5e-14	52.0
0000126566	PF05016.9	2.3e-11	43.3
0000124166	PF05193.16	7.3e-24	83.8
0000126492	PF05193.16	1.6e-20	73.0
0000126493	PF05193.16	3.8e-18	65.2
0000126402	PF05193.16	2.9e-13	49.3
0000124852	PF06154.6	5.2e-56	186.8
0000125259	PF06414.7	9.9e-13	47.0
0000124087	PF07883.6	3.3e-19	67.5
0000128166	PF07883.6	1.3e-17	62.4
0000126654	PF07883.6	2.4e-17	61.6
0000128783	PF07883.6	3.5e-16	57.9
0000120971	PF07883.6	3.6e-16	57.8
0000129807	PF07883.6	1.9e-15	55.5
0000126907	PF07883.6	2e-15	55.5
0000120109	PF07883.6	4.7e-14	51.0
0000125273	PF07883.6	7.9e-13	47.1
0000126722	PF07883.6	1.5e-11	43.1
0000125794	PF07883.6	6.7e-11	40.9
0000125814	PF07927.7	8.2e-17	60.3
0000124166	PF08367.6	2.4e-66	222.5
0000126402	PF08367.6	3e-19	68.2
0000125258	PF08998.6	2.8e-51	170.9
0000123265	PF10502.4	9.4e-12	44.0
0000121994	PF13091.1	6.4e-35	119.0
0000124228	PF13091.1	2.3e-32	110.8
0000129480	PF13091.1	9.1e-31	105.6
0000120262	PF13091.1	2.4e-30	104.3
0000129423	PF13091.1	2.8e-29	100.8
0000124452	PF13091.1	4.1e-28	97.1
0000127256	PF13091.1	2.2e-27	94.7
0000127260	PF13091.1	2.6e-27	94.4
0000122814	PF13091.1	1.7e-26	91.8
0000126844	PF13091.1	9.9e-22	76.4
0000123008	PF13091.1	1.6e-11	43.5
0000128353	PF13091.1	2.4e-11	42.9
0000124301	PF13091.1	9.3e-11	41.0
0000125040	PF13950.1	5.3e-33	112.2
0000124158	PF13950.1	2.8e-31	106.6
0000126240	PF13950.1	5.2e-27	93.0
0000127214	PF13950.1	4.1e-26	90.1
0000125284	PF13953.1	5.5e-23	79.8
0000125284	PF13954.1	7.8e-49	164.4
0000124062	PF13954.1	1.2e-20	72.9
0000124221	PF13954.1	1.5e-11	43.5
0000123931	PF13958.1	1.6e-47	160.6
0000120176	PF13964.1	4.1e-15	54.6
0000121582	PF13974.1	6e-31	105.5
0000121581	PF13996.1	1.6e-37	126.7
0000124716	PF14028.1	1.3e-29	103.1
0000123382	PF14057.1	5.3e-194	642.7
0000120030	PF14057.1	3.8e-180	597.2
0000129608	PF14057.1	2.1e-139	463.3
0000120434	PF14057.1	1.2e-64	217.6
0000129609	PF14057.1	1.3e-24	86.0
0000123074	PF14058.1	7.2e-52	174.6
0000127803	PF14058.1	6.7e-17	61.3
0000127835	TIGR00053	1.2e-24	85.8
0000122678	TIGR00053	2.4e-23	81.7
0000120991	TIGR01263	1.1e-61	208.3
0000127852	TIGR02116	6e-27	92.8
0000124693	TIGR02116	7.2e-26	89.3
0000127835	TIGR02385	1.2e-27	95.3
0000122678	TIGR02385	8.4e-26	89.4
0000125447	TIGR03605	1.8e-11	43.0
0000466064	K01186_172	1.6e-101	339.2
0000463119	K01186_172	1.4e-33	115.7
0000463122	K01186_172	3.2e-27	94.7
0000462640	K03699_483	9.3e-151	501.4
0000461519	K03699_483	2.4e-122	407.7
0000465471	K03699_483	1e-116	389.2
0000464824	K03699_483	4.5e-110	367.3
0000462228	K03699_483	2.7e-102	341.6
0000463997	K06972_355	0	1012.3
0000460014	K06972_355	4.8e-280	930.7
0000469924	K06972_355	2.2e-13	48.1
0000464391	K10815_8	1.7e-11	42.3
0000464391	K10816_8	1.6e-20	72.2
0000461281	K10816_8	1.2e-12	46.2
0000465071	K11016_57	1.2e-130	436.5
0000465070	K11017_55	8.8e-75	251.6
0000467838	K11021_124	4.6e-28	96.9
0000460181	K11060_3	9.3e-15	53.3
0000468223	K11060_3	9.4e-13	46.6
0000467733	K11062_2	1.5e-16	59.0
0000464645	K11062_2	3.4e-14	51.2
0000461873	K11062_2	3.9e-14	51.1
0000462812	K11063_6	5.9e-44	148.6
0000465710	K11063_6	6.7e-27	92.0
0000466806	K11063_6	2.3e-20	70.4
0000468882	K11063_6	8.2e-15	51.9
0000466859	K11068_1278_95_625	8e-74	246.8
0000465138	K11068_1278_95_625	2.2e-66	222.5
0000464180	K11068_1278_95_625	6.8e-64	214.3
0000461266	K11068_1278_95_625	1.9e-59	199.8
0000460091	K12340_892	9.3e-50	168.7
0000465815	K12340_892	7e-48	162.6
0000468604	K12340_892	2e-42	144.6
0000462189	K12340_892	1.9e-35	121.6
0000468544	K12679_6	2.1e-15	54.8
0000465071	K15125_378	0	1557.0
0000460148	PF00246.19	3.3e-16	59.1
0000469591	PF00652.17	1.3e-65	218.4
0000468020	PF00652.17	4e-11	42.4
0000464133	PF00675.15	6.8e-43	145.4
0000463777	PF00675.15	4e-38	129.9
0000469924	PF00675.15	4.7e-26	90.7
0000465688	PF00717.18	4.9e-19	67.1
0000466683	PF00717.18	6.9e-19	66.7
0000460377	PF00717.18	5.3e-18	63.8
0000460645	PF00717.18	3.3e-16	58.1
0000462585	PF00717.18	1.4e-14	52.9
0000466847	PF00717.18	1.6e-14	52.7
0000461158	PF00717.18	4.4e-14	51.3
0000468890	PF00717.18	6.1e-14	50.8
0000464308	PF00717.18	6e-13	47.6
0000467942	PF00717.18	4.6e-11	41.6
0000461455	PF00873.14	2.7e-217	723.0
0000465817	PF00873.14	2.3e-155	518.0
0000469336	PF00873.14	1.7e-107	359.5
0000465818	PF00873.14	2.2e-93	312.8
0000466967	PF00873.14	3.8e-76	255.8
0000463631	PF00873.14	3.1e-51	173.3
0000468401	PF00873.14	8.7e-13	46.0
0000461337	PF00881.19	6.6e-36	123.0
0000464876	PF00881.19	1.7e-34	118.4
0000460882	PF00881.19	5.2e-31	107.1
0000468724	PF00881.19	6.2e-31	106.8
0000467252	PF00881.19	1.6e-29	102.2
0000462777	PF00881.19	6.4e-29	100.3
0000466255	PF00881.19	1.2e-28	99.4
0000465720	PF00881.19	9.9e-27	93.2
0000466508	PF00881.19	4.7e-26	91.0
