genome,completeness,contamination,strain_heterogeneity,length,N50,centrality
human1_D-1_maxbin.068.fasta.contigs.fa,75.34,8.21,5.88,2397893,11257,0.0
human1_D-1_maxbin.069.fasta.contigs.fa,4.64,2.22,33.33,143763,5042,0.0
human1_D-1_maxbin.088.fasta.contigs.fa,14.97,4.36,16.0,477321,2300,0.0
human1_D-1_maxbin.104.fasta.contigs.fa,57.86,36.87,31.66,3008031,1639,0.0
human1_D-1_metabat2.109.fa.contigs.fa,75.86,0.34,0.0,1759214,38857,0.9985590405882353
human1_D-1_metabat2.138.fa.contigs.fa,50.47,0.0,0.0,1184789,15684,0.0
human1_D-1_metabat2.139.fa.contigs.fa,11.24,0.0,0.0,290103,12611,0.0
human1_D-1_metabat2.142.fa.contigs.fa,54.79,0.0,0.0,1642043,13505,0.0
human1_D-1_metabat2.147.fa.contigs.fa,11.98,1.46,0.0,606238,36285,0.0
human1_D-1_metabat2.153.fa.contigs.fa,72.93,0.0,0.0,1357876,16571,0.0
human1_D-1_metabat2.191.fa.contigs.fa,6.76,0.0,0.0,469962,56864,0.0
human1_D-1_metabat2.79.fa.contigs.fa,6.76,0.0,0.0,383112,69488,0.0
human1_DAS_maxbin_002_fasta_contigs-contigs.fa,88.59,0.0,0.0,3373122,65526,0.99976134
human1_DAS_maxbin_004_fasta_contigs-contigs.fa,83.22,4.03,5.0,2078616,155262,0.9998109554545455
human1_DAS_maxbin_005_fasta_contigs-contigs.fa,92.94,45.03,53.12,3887172,22282,0.0
human1_DAS_maxbin_006_fasta_contigs-contigs.fa,51.62,1.88,21.43,2170300,13284,0.0
human1_DAS_maxbin_008_fasta_contigs-contigs.fa,94.2,1.83,0.0,2596485,117427,0.99930249
human1_DAS_maxbin_009_fasta_contigs-contigs.fa,95.97,3.94,36.36,2676589,14386,0.9930944239999999
human1_DAS_maxbin_010_fasta_contigs-contigs.fa,97.97,1.14,50.0,6840287,59075,0.9993665926666666
human1_DAS_maxbin_011_fasta_contigs-contigs.fa,93.62,1.34,0.0,2278970,108475,0.9997242
human1_DAS_maxbin_012_fasta_contigs-contigs.fa,71.72,1.69,0.0,3312280,41228,0.9988208407692307
human1_DAS_maxbin_013_fasta_contigs-contigs.fa,84.43,5.9,72.73,2792382,26004,0.99618639225
human1_DAS_maxbin_014_fasta_contigs-contigs.fa,96.27,1.43,60.0,4003023,47157,0.9991889199999999
human1_DAS_maxbin_015_fasta_contigs-contigs.fa,37.21,6.43,4.0,1751379,73857,0.0
human1_DAS_maxbin_017_fasta_contigs-contigs.fa,97.35,2.32,20.0,4408022,103123,0.9991925314285715
human1_DAS_maxbin_018_fasta_contigs-contigs.fa,92.82,23.32,31.25,4323842,21712,0.0
human1_DAS_maxbin_019_fasta_contigs-contigs.fa,89.76,3.5,66.67,3902312,11460,0.9894524125
human1_DAS_maxbin_020_fasta_contigs-contigs.fa,94.41,4.38,62.5,4737411,14081,0.9874851763636364
human1_DAS_maxbin_021_fasta_contigs-contigs.fa,86.57,0.29,0.0,2782824,47864,0.9984285
human1_DAS_maxbin_022_fasta_contigs-contigs.fa,94.58,47.13,24.07,4147704,17884,0.0
human1_DAS_maxbin_023_fasta_contigs-contigs.fa,26.38,4.11,14.29,2528319,9297,0.0
human1_DAS_maxbin_025_fasta_contigs-contigs.fa,97.29,4.69,20.0,3179080,12855,0.993732955
human1_DAS_maxbin_026_fasta_contigs-contigs.fa,97.59,1.7,0.0,2331683,117575,0.99998
human1_DAS_maxbin_028_fasta_contigs-contigs.fa,98.85,0.51,0.0,4785209,131412,0.999508898125
human1_DAS_maxbin_029_fasta_contigs-contigs.fa,90.51,6.27,28.57,3051715,39411,0.9982947425
human1_DAS_maxbin_033_fasta_contigs-contigs.fa,92.74,0.0,0.0,2491933,136340,0.999741581875
human1_DAS_maxbin_034_fasta_contigs-contigs.fa,93.29,1.01,0.0,2962683,111381,0.9997658207692308
human1_DAS_maxbin_035_fasta_contigs-contigs.fa,98.27,0.0,0.0,5084709,95529,0.9995503579999999
human1_DAS_maxbin_036_fasta_contigs-contigs.fa,89.47,3.95,0.0,3482898,21768,0.0
human1_DAS_maxbin_037_fasta_contigs-contigs.fa,88.89,1.73,0.0,3182217,66268,0.0
human1_DAS_maxbin_039_fasta_contigs-contigs.fa,16.76,0.39,0.0,518676,80602,0.0
human1_DAS_maxbin_040_fasta_contigs-contigs.fa,75.64,0.78,0.0,2454300,57561,0.99873674
human1_DAS_maxbin_041_fasta_contigs-contigs.fa,83.08,4.31,10.53,2651203,43494,0.9969968499999999
human1_DAS_maxbin_042_fasta_contigs-contigs.fa,75.32,0.0,0.0,2093348,35549,0.0
human1_DAS_maxbin_043_fasta_contigs-contigs.fa,99.25,0.48,33.33,3581041,225010,0.999843535
human1_DAS_maxbin_045_fasta_contigs-contigs.fa,70.54,2.68,50.0,2140966,10390,0.0
human1_DAS_maxbin_052_fasta_contigs-contigs.fa,92.64,2.62,66.67,3268057,22632,0.99417216
human1_DAS_maxbin_053_fasta_contigs-contigs.fa,90.84,1.66,0.0,3209009,19626,0.0
human1_DAS_maxbin_054_fasta_contigs-contigs.fa,81.36,2.04,0.0,1902223,32140,0.9973742
human1_DAS_maxbin_055_fasta_sub_contigs-contigs.fa,61.86,14.94,0.0,3187059,43140,0.0
human1_DAS_maxbin_056_fasta_contigs-contigs.fa,89.59,7.12,26.32,2980542,19808,0.9970343536363638
human1_DAS_maxbin_057_fasta_contigs-contigs.fa,79.28,10.34,52.38,2748315,33718,0.0
human1_DAS_maxbin_058_fasta_contigs-contigs.fa,93.66,0.7,100.0,2982363,25665,0.9934108500000001
human1_DAS_maxbin_060_fasta_contigs-contigs.fa,94.64,8.43,12.5,3432566,45850,0.9986187833333333
human1_DAS_maxbin_061_fasta_contigs-contigs.fa,73.15,3.4,0.0,2601903,76650,0.99955478
human1_DAS_maxbin_062_fasta_contigs-contigs.fa,65.2,15.6,52.63,1617318,11313,0.0
human1_DAS_maxbin_064_fasta_contigs-contigs.fa,92.52,4.18,55.0,3151075,25240,0.99851733
human1_DAS_maxbin_065_fasta_contigs-contigs.fa,92.39,3.98,58.33,4115760,31157,0.9979260722222221
human1_DAS_maxbin_066_fasta_contigs-contigs.fa,93.54,53.13,3.95,7133105,21434,0.0
human1_DAS_maxbin_068_fasta_sub_contigs-contigs.fa,83.78,19.75,36.54,3464382,7439,0.0
human1_DAS_maxbin_069_fasta_contigs-contigs.fa,100.0,0.07,100.0,3391385,171855,0.997294924
human1_DAS_maxbin_071_fasta_contigs-contigs.fa,95.32,1.74,25.0,2867852,91302,0.9996187658333332
human1_DAS_maxbin_074_fasta_contigs-contigs.fa,100.0,7.21,11.11,3201182,39490,0.0
human1_DAS_maxbin_075_fasta_contigs-contigs.fa,100.0,0.13,100.0,3287311,115067,0.9999608
human1_DAS_maxbin_077_fasta_contigs-contigs.fa,97.89,32.36,13.33,3941312,29155,0.0
human1_DAS_maxbin_084_fasta_contigs-contigs.fa,97.26,0.68,0.0,2971085,71697,0.9997800277419352
human1_DAS_maxbin_086_fasta_sub_contigs-contigs.fa,85.67,55.46,18.42,3374151,7230,0.0
human1_DAS_maxbin_087_fasta_contigs-contigs.fa,58.78,11.21,14.29,1475845,4803,0.0
human1_DAS_maxbin_088_fasta_contigs-contigs.fa,91.38,49.92,8.89,5751915,6440,0.0
human1_DAS_maxbin_090_fasta_contigs-contigs.fa,76.01,0.67,0.0,2177663,23783,0.0
human1_DAS_maxbin_091_fasta_contigs-contigs.fa,75.89,24.68,19.05,7647045,23448,0.0
human1_DAS_maxbin_092_fasta_contigs-contigs.fa,95.25,0.63,0.0,1697604,67073,0.9994619
human1_DAS_maxbin_094_fasta_contigs-contigs.fa,98.28,14.26,12.0,3132984,62727,0.9989037
human1_DAS_maxbin_096_fasta_contigs-contigs.fa,91.1,0.49,50.0,2309056,114091,0.99623908
human1_DAS_maxbin_098_fasta_contigs-contigs.fa,84.68,1.69,66.67,3230458,151499,0.0
human1_DAS_maxbin_101_fasta_contigs-contigs.fa,94.25,5.19,5.56,2330609,98422,0.0
human1_DAS_maxbin_102_fasta_contigs-contigs.fa,96.98,2.01,16.67,2662751,45502,0.998810515
human1_DAS_maxbin_103_fasta_sub_contigs-contigs.fa,58.98,18.7,12.5,2637453,3029,0.0
human1_DAS_maxbin_105_fasta_contigs-contigs.fa,90.6,0.02,100.0,2370233,52066,0.99898946
human1_DAS_maxbin_106_fasta_contigs-contigs.fa,10.08,1.72,0.0,125720,2161,0.0
human1_DAS_maxbin_107_fasta_contigs-contigs.fa,93.95,4.36,33.33,3210334,29755,0.0
human1_DAS_maxbin_109_fasta_contigs-contigs.fa,88.1,0.92,66.67,2640313,50927,0.99965066
human1_DAS_maxbin_110_fasta_contigs-contigs.fa,68.95,2.02,88.89,3346619,11955,0.0
human1_DAS_maxbin_111_fasta_contigs-contigs.fa,78.29,1.81,0.0,2277999,4696,0.0
human1_DAS_maxbin_112_fasta_contigs-contigs.fa,74.64,0.63,100.0,2118661,19256,0.0
human1_DAS_maxbin_113_fasta_contigs-contigs.fa,94.83,8.32,0.0,5770917,70202,0.9993353854545457
human1_DAS_maxbin_117_fasta_contigs-contigs.fa,90.05,0.0,0.0,2354668,68390,0.9994571666666667
human1_DAS_maxbin_121_fasta_contigs-contigs.fa,100.0,10.34,0.0,1879982,189532,0.999927984375
human1_DAS_maxbin_122_fasta_contigs-contigs.fa,90.4,4.72,50.0,4771004,37237,0.0
human1_DAS_maxbin_123_fasta_contigs-contigs.fa,65.79,5.85,9.09,2122622,3501,0.0
human1_DAS_maxbin_124_fasta_contigs-contigs.fa,91.28,0.22,0.0,2169566,110018,0.0
human1_DAS_maxbin_125_fasta_contigs-contigs.fa,98.05,5.64,33.33,4273951,252902,0.9998039654545454
human1_DAS_maxbin_126_fasta_contigs-contigs.fa,89.28,3.31,54.76,4838542,90798,0.99909675
human1_DAS_maxbin_127_fasta_contigs-contigs.fa,75.85,8.91,44.0,3869701,25263,0.0
human1_DAS_maxbin_128_fasta_contigs-contigs.fa,94.93,0.0,0.0,2648134,59271,0.9996061307142856
human1_DAS_maxbin_129_fasta_contigs-contigs.fa,91.14,1.29,0.0,3076375,56003,0.99923237
human1_DAS_maxbin_130_fasta_contigs-contigs.fa,70.58,1.9,0.0,2525973,27270,0.0
human1_DAS_maxbin_131_fasta_contigs-contigs.fa,67.48,1.27,25.0,1775842,6071,0.0
human1_DAS_maxbin_132_fasta_contigs-contigs.fa,63.76,2.01,0.0,1918947,86097,0.0
human1_DAS_maxbin_133_fasta_contigs-contigs.fa,97.64,6.45,66.67,4469524,83490,0.0
human1_DAS_maxbin_134_fasta_sub_contigs-contigs.fa,83.0,2.22,50.0,2824795,22238,0.0
human1_DAS_maxbin_135_fasta_contigs-contigs.fa,77.66,1.31,60.0,2614897,19605,0.0
human1_DAS_maxbin_136_fasta_contigs-contigs.fa,90.79,1.04,75.0,2691477,112598,0.9981350783333335
human1_DAS_maxbin_137_fasta_contigs-contigs.fa,95.19,0.0,0.0,2504177,34902,0.0
human1_DAS_maxbin_138_fasta_contigs-contigs.fa,18.63,0.88,0.0,3127539,4000,0.0
human1_DAS_maxbin_139_fasta_contigs-contigs.fa,89.52,3.49,40.0,2911907,8913,0.0
human1_DAS_maxbin_140_fasta_contigs-contigs.fa,28.92,4.06,40.0,3652195,3648,0.0
human1_DAS_maxbin_141_fasta_contigs-contigs.fa,53.98,5.72,6.25,2791915,3049,0.0
human1_DAS_maxbin_143_fasta_contigs-contigs.fa,34.72,0.0,0.0,605572,90634,0.0
human1_DAS_maxbin_144_fasta_contigs-contigs.fa,86.04,0.0,0.0,2801769,272597,0.9997905307142858
human1_DAS_maxbin_145_fasta_contigs-contigs.fa,90.32,13.2,6.06,6603095,10113,0.0
human1_DAS_maxbin_152_fasta_contigs-contigs.fa,80.74,3.5,22.22,2486052,7752,0.0
human1_DAS_maxbin_153_fasta_contigs-contigs.fa,99.19,1.38,80.0,2789045,47764,0.9995546542857143
human1_DAS_maxbin_154_fasta_contigs-contigs.fa,90.9,0.19,0.0,2330915,135754,0.9998859666666667
human1_DAS_maxbin_155_fasta_contigs-contigs.fa,79.89,0.0,0.0,3035523,353187,0.9998426060000002
human1_DAS_maxbin_156_fasta_contigs-contigs.fa,96.58,0.95,66.67,6666361,121942,0.0
human1_DAS_maxbin_157_fasta_contigs-contigs.fa,96.1,1.74,80.0,5556849,52101,0.0
human1_DAS_maxbin_158_fasta_contigs-contigs.fa,78.18,0.85,0.0,5240324,110054,0.9995696
human1_DAS_maxbin_159_fasta_contigs-contigs.fa,95.64,0.67,0.0,2334237,120742,0.0
human1_DAS_maxbin_161_fasta_contigs-contigs.fa,98.78,2.24,0.0,1815015,194925,0.0
human1_DAS_maxbin_162_fasta_contigs-contigs.fa,97.75,0.0,0.0,2796785,65324,0.999797825
human1_DAS_maxbin_163_fasta_contigs-contigs.fa,99.11,0.47,0.0,4022708,199739,0.9996329879999999
human1_DAS_maxbin_164_fasta_contigs-contigs.fa,96.5,0.0,0.0,2004513,88323,0.9995987142857142
human1_DAS_maxbin_165_fasta_contigs-contigs.fa,98.1,0.0,0.0,2645723,44122,0.99997406
human1_DAS_maxbin_166_fasta_contigs-contigs.fa,95.42,1.27,30.77,7211972,58483,0.9993037103571428
human1_DAS_maxbin_167_fasta_contigs-contigs.fa,92.73,0.37,100.0,2224109,31299,0.9998417666666667
human1_DAS_maxbin_168_fasta_contigs-contigs.fa,68.09,2.44,0.0,1240859,77678,0.0
human1_DAS_maxbin_169_fasta_contigs-contigs.fa,97.22,2.16,0.0,3057648,106633,0.9998329433333334
human1_DAS_maxbin_171_fasta_contigs-contigs.fa,98.39,0.0,0.0,1866079,111061,0.9992120934782607
human1_DAS_maxbin_173_fasta_contigs-contigs.fa,96.37,0.0,0.0,1563358,362801,0.9999396005882353
human1_DAS_metabat2_116_fa_contigs-contigs.fa,94.63,0.0,0.0,2587551,69794,0.99892837
human1_DAS_metabat2_144_fa_contigs-contigs.fa,80.13,0.0,0.0,2112057,68639,0.9998142
human1_DAS_metabat2_174_fa_contigs-contigs.fa,84.9,0.0,0.0,1770331,30734,0.0
human1_DAS_metabat2_179_fa_contigs-contigs.fa,79.04,2.53,100.0,1890558,24509,0.0
human1_DAS_metabat2_185_fa_contigs-contigs.fa,83.67,0.0,0.0,2550702,119184,0.0
human1_DAS_metabat2_197_fa_contigs-contigs.fa,89.77,0.34,100.0,2412266,48816,0.9982164499999999
human1_DAS_metabat2_203_fa_contigs-contigs.fa,73.89,0.0,0.0,1661800,81562,0.0
human1_DAS_metabat2_212_fa_contigs-contigs.fa,23.8,0.0,0.0,622773,279759,0.0
human1_DAS_metabat2_226_fa_contigs-contigs.fa,22.34,0.0,0.0,685261,134072,0.0
human1_DAS_metabat2_234_fa_contigs-contigs.fa,45.88,0.13,0.0,1209039,111396,0.0
human1_DAS_metabat2_240_fa_contigs-contigs.fa,80.77,2.4,60.0,2976430,250680,0.0
human1_DAS_metabat2_261_fa_contigs-contigs.fa,85.6,0.0,0.0,1897860,15304,0.9984978250000001
human1_DAS_metabat2_272_fa_contigs-contigs.fa,58.51,0.0,0.0,1201194,201200,0.0
human1_DAS_metabat2_285_fa_contigs-contigs.fa,98.37,0.46,0.0,2171428,102486,0.9995950175
human1_DAS_metabat2_307_fa_contigs-contigs.fa,81.94,0.32,0.0,3385232,161820,0.0
human1_DAS_metabat2_319_fa_contigs-contigs.fa,65.82,0.0,0.0,1416906,25782,0.0
human1_DAS_metabat2_61_fa_contigs-contigs.fa,47.37,0.0,0.0,1344028,9979,0.0
human1_DAS_metabat2_71_fa_contigs-contigs.fa,38.51,0.0,0.0,1371273,126826,0.0
human1_HC-10_maxbin.002.fasta.contigs.fa,12.66,0.63,0.0,665060,56392,0.0
human1_HC-10_maxbin.003.fasta.contigs.fa,16.37,0.0,0.0,1322121,115690,0.0
human1_HC-10_maxbin.004.fasta.contigs.fa,75.23,0.0,0.0,1005998,118376,0.9998844368750001
human1_HC-10_maxbin.006.fasta.contigs.fa,91.44,0.0,0.0,2937606,272597,0.9994009064285715
human1_HC-10_maxbin.007.fasta.contigs.fa,98.88,4.36,19.05,4649847,106465,0.9992282385714287
human1_HC-10_maxbin.008.fasta.contigs.fa,67.44,5.01,22.73,2828393,11820,0.0
human1_HC-10_maxbin.009.fasta_sub.contigs.fa,67.29,3.0,7.14,2313131,65349,0.0
human1_HC-10_maxbin.010.fasta.contigs.fa,91.16,0.0,0.0,2682237,119331,0.999317791
human1_HC-10_maxbin.011.fasta.contigs.fa,97.58,0.0,0.0,2029267,208350,0.9991331604347826
human1_HC-10_maxbin.014.fasta.contigs.fa,84.38,18.18,0.0,2654147,32091,0.9995445414285714
human1_HC-10_maxbin.015.fasta.contigs.fa,92.24,15.78,8.45,5845033,117049,0.99931141125
human1_HC-10_maxbin.016.fasta.contigs.fa,77.82,13.95,19.23,2704801,67022,0.99683724
human1_HC-10_maxbin.017.fasta.contigs.fa,98.47,49.45,0.0,4088875,94405,0.0
human1_HC-10_maxbin.018.fasta.contigs.fa,70.62,1.25,20.0,2453758,61912,0.9989847629999999
human1_HC-10_maxbin.019.fasta.contigs.fa,37.29,2.6,0.0,2550225,19845,0.0
human1_HC-10_maxbin.020.fasta.contigs.fa,98.57,1.66,0.0,3449374,41120,0.9997572833333334
human1_HC-10_maxbin.021.fasta.contigs.fa,22.66,3.06,0.0,3357531,3070,0.0
human1_HC-10_maxbin.022.fasta.contigs.fa,81.35,4.58,15.38,3376377,10119,0.9991337457142857
human1_HC-10_maxbin.024.fasta.contigs.fa,63.4,42.86,7.59,5161833,2215,0.0
human1_HC-10_metabat2.25.fa.contigs.fa,8.24,0.0,0.0,235949,58095,0.0
human1_HC-11_maxbin.001.fasta.contigs.fa,20.82,0.0,0.0,1167598,105085,0.0
human1_HC-11_maxbin.005.fasta.contigs.fa,55.25,0.12,100.0,2457096,57386,0.0
human1_HC-11_maxbin.006.fasta.contigs.fa,99.63,1.12,0.0,2959594,74442,0.9998288052380951
human1_HC-11_maxbin.007.fasta.contigs.fa,44.28,1.72,0.0,2757762,46660,0.0
human1_HC-11_maxbin.008.fasta.contigs.fa,94.49,3.4,18.18,3274402,65975,0.99918668
human1_HC-11_maxbin.009.fasta.contigs.fa,38.8,16.11,5.77,2872744,37513,0.0
human1_HC-11_maxbin.010.fasta.contigs.fa,68.97,21.08,62.86,4287755,41328,0.0
human1_HC-11_maxbin.011.fasta.contigs.fa,100.0,0.0,0.0,2847155,124320,0.99932049675
human1_HC-11_maxbin.012.fasta.contigs.fa,62.95,28.84,9.86,3790660,57499,0.0
human1_HC-11_maxbin.013.fasta.contigs.fa,46.55,0.0,0.0,1760374,23232,0.0
human1_HC-11_maxbin.014.fasta.contigs.fa,98.63,0.68,0.0,3043627,78102,0.9996286722580646
human1_HC-11_maxbin.016.fasta.contigs.fa,77.53,5.7,0.0,2614595,38132,0.9965169745454546
human1_HC-11_maxbin.017.fasta.contigs.fa,6.61,1.15,0.0,1016812,30083,0.0
human1_HC-11_maxbin.018.fasta.contigs.fa,43.81,5.06,7.69,1423178,51763,0.0
human1_HC-11_maxbin.019.fasta_sub.contigs.fa,60.93,9.63,33.33,2651927,29826,0.0
human1_HC-11_maxbin.021.fasta.contigs.fa,80.38,3.01,9.09,2209679,52316,0.9997345941666667
human1_HC-11_maxbin.022.fasta.contigs.fa,97.32,5.51,4.0,2853322,92129,0.9998212187500001
human1_HC-11_maxbin.024.fasta.contigs.fa,54.11,1.28,0.0,1233494,100286,0.0
human1_HC-11_maxbin.028.fasta.contigs.fa,47.83,14.61,5.26,2246325,10993,0.0
human1_HC-11_maxbin.029.fasta_sub.contigs.fa,76.35,27.18,0.0,2148313,3041,0.0
human1_HC-11_maxbin.035.fasta.contigs.fa,45.73,16.37,5.0,5178503,2181,0.0
human1_HC-11_maxbin.036.fasta.contigs.fa,83.25,41.37,1.96,2824133,3896,0.0
human1_HC-11_maxbin.038.fasta.contigs.fa,60.58,4.5,0.0,1453753,2491,0.0
human1_HC-11_metabat2.41.fa_sub.contigs.fa,48.39,0.29,0.0,1036747,11617,0.0
human1_HC-11_metabat2.56.fa_sub.contigs.fa,48.25,0.0,0.0,1192295,14830,0.0
human1_HC-11_metabat2.81.fa.contigs.fa,9.49,0.0,0.0,216794,47391,0.0
human1_HC-11_metabat2.95.fa.contigs.fa,49.38,0.0,0.0,1033876,25552,0.0
human1_HC-12_maxbin.003.fasta.contigs.fa,98.14,0.87,0.0,4655370,107465,0.9992661614285714
human1_HC-12_maxbin.004.fasta.contigs.fa,28.26,0.97,0.0,1627798,109561,0.0
human1_HC-12_maxbin.005.fasta.contigs.fa,57.89,0.0,0.0,1619115,106699,0.0
human1_HC-12_maxbin.006.fasta.contigs.fa,99.25,1.87,20.0,2913056,63986,0.9996846242857144
human1_HC-12_maxbin.007.fasta.contigs.fa,99.14,0.64,10.0,6852823,158133,0.999679412
human1_HC-12_maxbin.009.fasta.contigs.fa,100.0,0.06,0.0,2670585,124320,0.99956051825
human1_HC-12_maxbin.010.fasta.contigs.fa,97.63,7.49,2.5,3557793,63920,0.9993309934615385
human1_HC-12_maxbin.011.fasta.contigs.fa,78.11,5.41,40.74,4210967,20026,0.987589759090909
human1_HC-12_maxbin.012.fasta.contigs.fa,49.37,0.0,0.0,1027580,122947,0.0
human1_HC-12_maxbin.013.fasta.contigs.fa,45.97,6.71,6.06,2534211,15192,0.0
human1_HC-12_maxbin.014.fasta.contigs.fa,94.63,0.47,0.0,2592708,120891,0.9998541145833334
human1_HC-12_maxbin.015.fasta.contigs.fa,96.84,3.16,20.0,3273882,39045,0.9965800554545455
human1_HC-12_maxbin.016.fasta.contigs.fa,98.63,0.0,0.0,2794006,88343,0.9997265209677418
human1_HC-12_maxbin.017.fasta.contigs.fa,88.51,1.52,0.0,5261720,84182,0.9995297450000001
human1_HC-12_maxbin.019.fasta_sub.contigs.fa,68.74,19.56,2.5,4188206,3937,0.0
human1_HC-12_maxbin.020.fasta.contigs.fa,31.58,5.26,26.67,460942,26294,0.0
human1_HC-12_maxbin.022.fasta_sub.contigs.fa,81.05,20.39,24.73,3911848,32511,0.0
human1_HC-12_maxbin.023.fasta.contigs.fa,98.41,2.23,0.0,6917825,27372,0.9994516478571428
human1_HC-12_maxbin.025.fasta_sub.contigs.fa,5.95,0.0,0.0,79712,26368,0.0
human1_HC-12_maxbin.026.fasta_sub.contigs.fa,32.54,10.53,14.29,1596585,43583,0.0
human1_HC-12_maxbin.027.fasta.contigs.fa,99.25,6.38,21.88,3080824,58102,0.999763262142857
human1_HC-12_maxbin.028.fasta.contigs.fa,68.47,1.81,0.0,2455397,89798,0.0
human1_HC-12_maxbin.029.fasta.contigs.fa,47.96,16.01,15.62,3437171,11518,0.0
human1_HC-12_maxbin.030.fasta.contigs.fa,98.63,1.1,0.0,4974933,78222,0.9951907623529412
human1_HC-12_maxbin.031.fasta_sub.contigs.fa,57.31,2.84,5.26,3390644,59943,0.0
human1_HC-12_maxbin.032.fasta.contigs.fa,98.25,37.96,20.0,4325372,34091,0.0
human1_HC-12_maxbin.034.fasta.contigs.fa,82.79,17.37,0.0,2883127,18502,0.9988511499999999
human1_HC-12_maxbin.036.fasta_sub.contigs.fa,48.64,6.0,0.0,1154978,3068,0.0
