ASV	D1	D10	D11	D12	D13	D14	D15	D16	D17	D18	D19	D2	D20	D21	D22	D23	D24	D25	D26	D27	D28	D29	D3	D30	D31	D32	D33	D34	D35	D36	D37	D38	D39	D4	D40	D41	D42	D43	D5	D6	D7	D8	D9	D_1	HC_1	HC_2	HC_3	HC_4	HC_5	HC_6	HC_7	HC_8	HC_9	HC_10	HC_11	HC_12	HC_13	HC_14	HC_15	HC_16	HC_17	HC_18	HC_19	HC_20	HC_21	HC_22	HC_23	HC_24	HV_1	HV_2	HV_3	HV_4	HV_5	HV_6	HV_7	HV_8	HV_9	HV_10	HV_11	HV_12	HV_13	HV_14	HV_15	HV_16	HV_17	HV_18	HV_19	HV_20	HV_21	HV_22	HV_23	HV_24	Best_Hit_ARO	Model_type	Drug_Class	Resistance_Mechanism	AMR_Gene.Family	Best_Identities	Percentage_Length.of.Reference.Sequence	Note	Length_AA	Gene_name	Contig_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	KEGG_ID	KEGGFUN	KEGGPATH	COG_ID	COGFUN	COGPATH	PFAM	Drug_Class_multi	Resistance_Mechanism_multi	Strain
human_megahit_7781_7513-8481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	387.146	0	29.64	0	1.116	0	439.706	0	87.168	0	0	0	51.36	0	79.337	0	0	0	vanHA	protein homolog model	glycopeptide	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	100.00	100.00	NA	 323	vanH	megahit_7781	Bacteria	Terrabacteria group	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	K18347*	D-specific alpha-keto acid dehydrogenase [EC:1.1.1.-]	Environmental Information Processing; Signal transduction; Two-component system | Human Diseases; Drug resistance: Antimicrobial; Vancomycin resistance | Brite Hierarchies; Protein families: signaling and cellular processes; Antimicrobial resistance genes	COG1052*	Lactate dehydrogenase and related dehydrogenases	General function prediction only|Coenzyme metabolism|Energy production and conversion	PF00389 [D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain];PF02826 [D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain]	glycopeptide	antibiotic target alteration	Enterococcus
human_megahit_7781_9511-10119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	427.833	0	34.562	0	1.205	0	487.342	0	103.418	0	0.128	0	56.979	0	90.771	0	0	0	vanXA	protein homolog model	glycopeptide	antibiotic target alteration	vanX; glycopeptide resistance gene cluster	100.00	100.00	NA	 203	vanX	megahit_7781	Bacteria	Terrabacteria group	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	K08641*	zinc D-Ala-D-Ala dipeptidase [EC:3.4.13.22]	Environmental Information Processing; Signal transduction; Two-component system | Human Diseases; Drug resistance: Antimicrobial; Vancomycin resistance | Brite Hierarchies; Protein families: metabolism; Peptidases | Brite Hierarchies; Protein families: metabolism; Peptidoglycan biosynthesis and degradation proteins | Brite Hierarchies; Protein families: signaling and cellular processes; Antimicrobial resistance genes	COG2173*	D-alanyl-D-alanine dipeptidase	Cell envelope biogenesis, outer membrane	PF01427 [D-ala-D-ala dipeptidase]	glycopeptide	antibiotic target alteration	Enterococcus
human_megahit_7781_10547-11458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354.191	0	27.108	0	0.784	0	388.384	0	74.489	0	0	0	42.435	0	65.745	0	0	0	vanYA	protein homolog model	glycopeptide	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	100.00	100.00	NA	 304	vanY	megahit_7781	Bacteria	Terrabacteria group	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	K07260*	zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]	Metabolism; Glycan biosynthesis and metabolism; Peptidoglycan biosynthesis | Environmental Information Processing; Signal transduction; Two-component system | Human Diseases; Drug resistance: Antimicrobial; Vancomycin resistance | Brite Hierarchies; Protein families: metabolism; Peptidases | Brite Hierarchies; Protein families: metabolism; Peptidoglycan biosynthesis and degradation proteins | Brite Hierarchies; Protein families: signaling and cellular processes; Antimicrobial resistance genes	COG1876*	D-alanyl-D-alanine carboxypeptidase	Cell envelope biogenesis, outer membrane	PF02557 [D-alanyl-D-alanine carboxypeptidase]	glycopeptide	antibiotic target alteration	Enterococcus
human_megahit_7781_11611-12096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370.429	0	28.567	0	0.596	0	416.661	0	80.573	0	0.12	0	47.938	0	72.981	0	0	0	vanZA	protein homolog model	glycopeptide	antibiotic target alteration	vanZ; glycopeptide resistance gene cluster	100.00	100.00	NA	 162	NA	megahit_7781	Bacteria	Terrabacteria group	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	NA	NA	NA	COG4767*	Glycopeptide antibiotics resistance protein	NA	PF04892 [VanZ like family ]	glycopeptide	antibiotic target alteration	Enterococcus
human_megahit_10260_15877-16509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.349	1.73	0.322	1.647	0.689	0.096	0.583	0.679	0.155	0	0.325	0.191	2.47	0.024	0.057	0.172	0.691	0.507	0.458	0.046	0.193	0.025	0	4.965	1.061	8.207	1.47	0.756	0.025	0.105	0.073	7.975	1.84	5.002	0.189	0	0	26.779	37.209	4.508	4.403	0	0.078	3.647	0.249	44.954	64.829	0	1.403	CRP	protein homolog model	macrolide; fluoroquinolone; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	 99.52	100.00	NA	 211	crp	megahit_10260	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	K10914*	CRP/FNR family transcriptional regulator, cyclic AMP receptor protein	Environmental Information Processing; Signal transduction; Two-component system | Cellular Processes; Cellular community - prokaryotes; Quorum sensing | Cellular Processes; Cellular community - prokaryotes; Biofilm formation - Vibrio cholerae | Cellular Processes; Cellular community - prokaryotes; Biofilm formation - Pseudomonas aeruginosa | Cellular Processes; Cellular community - prokaryotes; Biofilm formation - Escherichia coli | Brite Hierarchies; Protein families: genetic information processing; Transcription factors	COG0664*	cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases	Signal transduction mechanisms	PF00027 [Cyclic nucleotide-binding domain];PF13545 [Crp-like helix-turn-helix domain]	multi-drug	antibiotic efflux	Escherichia coli
human_megahit_10793_404-946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.924	2.786	1.874	2.992	2.538	1.418	2.685	1.906	3.8	0.186	0.757	2.709	3.655	1.5	2.446	0.4	0.993	3.677	3.075	1.378	2.32	1.3	0.484	4.398	4.39	0.257	5.682	5.7	0.848	2.56	2.271	0.215	1.166	0.598	1.026	4.695	1.424	0	0	0	0	9.872	0.152	0	0	0	0	5.273	1.079	SAT-4	protein homolog model	nucleoside	antibiotic inactivation	streptothricin acetyltransferase (SAT)	 99.44	100.00	NA	 181	sat4	megahit_10793	Bacteria	NA	NA	NA	NA	NA	NA	K19273*	streptothricin acetyltransferase [EC:2.3.-.-]	Brite Hierarchies; Protein families: signaling and cellular processes; Antimicrobial resistance genes	ENOG4111FF5*	acetyltransferase	Function unknown	PF00583 [Acetyltransferase (GNAT) family];PF13508 [Acetyltransferase (GNAT) domain]	nucleoside	antibiotic inactivation	unknown Bacteria (Kingdom)
human_megahit_10949_1558-2289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.775	11.957	11.315	10.318	10.239	7.01	14.319	12.697	15.566	51.517	7.99	7.669	14.488	15.184	10.915	51.182	16.709	12.638	20.091	9.576	18.319	17.81	12.834	24.262	1.06	0.4	0.07	10.974	0.723	7.981	6.125	3.322	0.499	24.797	2.322	5.155	0.503	0.173	0.05	9.99	4.298	5.674	12.014	6.433	0	7.26	4.261	6.687	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	protein homolog model	macrolide; lincosamide; streptogramin	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	100.00	100.00	NA	 244	ermC, ermA	megahit_10949	Bacteria	Terrabacteria group	Firmicutes	NA	NA	NA	NA	K00561*	23S rRNA (adenine-N6)-dimethyltransferase [EC:2.1.1.184]	Brite Hierarchies; Protein families: genetic information processing; Ribosome biogenesis | Brite Hierarchies; Protein families: signaling and cellular processes; Antimicrobial resistance genes	COG0030*	Dimethyladenosine transferase (rRNA methylation)	Translation, ribosomal structure and biogenesis	PF00398 [Ribosomal RNA adenine dimethylase]	multi-drug	antibiotic target alteration	unknown Firmicutes (Class)
human_megahit_10988_2939-4582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.318	0.908	0.258	0.988	0.743	0	0.603	0.409	0.096	0.123	0.193	0.211	1.829	0.047	0.166	0.088	0.399	0.271	0.653	0.143	0.099	0.039	0	3.535	1.205	7.337	1.227	0.437	0.077	0.081	0.103	4.209	1.007	2.432	0.073	0	0.034	18.168	22.763	2.408	2.412	0	0.06	2.198	0.048	21.546	38.993	0	0.805	YojI	protein homolog model	peptide	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	 99.45	100.00	NA	 548	yojI	megahit_10988	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	K06159*	multidrug/microcin transport system ATP-binding/permease protein	Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	COG4615*	ABC-type siderophore export system, fused ATPase and permease components	Inorganic ion transport and metabolism|Secondary metabolites biosynthesis, transport and catabolism	PF00005 [ABC transporter]	peptide	antibiotic efflux	Escherichia coli
human_megahit_11656_28965-32558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.203	0.698	0.274	0.647	0.442	0.006	0.465	0.437	0.06	0.045	0.135	0.12	1.534	0	0.132	0.04	0.272	0.184	0.384	0.074	0.102	0.116	0	3.166	0.743	3.749	1.041	0.461	0.027	0.005	0.142	4.442	1.165	2.869	0.089	0	0.052	17.556	20.093	2.705	2.659	0	0.032	1.976	0.197	23.459	34.675	0	0.573	evgS	protein homolog model	macrolide; fluoroquinolone; penam; tetracycline	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	 97.66	100.00	NA	1198	evgS, bvgS	megahit_11656	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	K07679*	two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]	Environmental Information Processing; Signal transduction; Two-component system | Human Diseases; Infectious diseases: Bacterial; Pertussis | Brite Hierarchies; Protein families: metabolism; Protein kinases | Brite Hierarchies; Protein families: signaling and cellular processes; Two-component system	COG0784;COG2198	NA	NA	PF00072 [Response regulator receiver domain];PF00497 [Bacterial extracellular solute-binding proteins, family 3];PF00512 [His Kinase A (phospho-acceptor) domain];PF02518 [Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase]	multi-drug	antibiotic efflux	Escherichia coli
human_megahit_11656_32563-33177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227	0.906	0.386	1.174	0.681	0	1.075	0.175	0.064	0	0.121	0.169	0.978	0	0.089	0	0.663	0.087	0.637	0.095	0.033	0.052	0	4.054	0.737	2.88	0.589	0.195	0.026	0	0.175	5.388	0.831	2.409	0	0	0.123	18.817	22.654	2.904	3.437	0	0.161	2.464	0.288	20.202	38.232	0	0.645	evgA	protein homolog model	macrolide; fluoroquinolone; penam; tetracycline	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	100.00	NA	 205	evgA, bvgA	megahit_11656	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	K07690*	two-component system, NarL family, response regulator EvgA	Environmental Information Processing; Signal transduction; Two-component system | Human Diseases; Infectious diseases: Bacterial; Pertussis | Brite Hierarchies; Protein families: signaling and cellular processes; Two-component system | Brite Hierarchies; Protein families: signaling and cellular processes; Antimicrobial resistance genes	ENOG4111M1G*	regulator	Signal transduction mechanisms	PF00072 [Response regulator receiver domain];PF00196 [Bacterial regulatory proteins, luxR family]	multi-drug	antibiotic efflux	Escherichia coli
human_megahit_11656_34756-36294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.287	0.802	0.165	0.782	0.51	0	0.493	0.271	0.051	0.079	0.194	0.079	1.485	0	0.165	0.047	0.483	0.162	0.399	0.019	0.185	0.083	0	2.909	0.534	3.311	0.84	0.244	0.031	0.065	0.18	4.775	1.221	1.675	0.091	0	0.049	16.87	22.586	1.483	2.26	0	0.021	2.428	0.077	14.772	35.834	0	0.405	emrY	protein homolog model	tetracycline	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	 99.80	100.00	NA	 513	emrY	megahit_11656	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA	K07786*	MFS transporter, DHA2 family, multidrug resistance protein	Environmental Information Processing; Signal transduction; Two-component system | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	ENOG410XNN3*	drug resistance transporter emrb qaca subfamily	Inorganic ion transport and metabolism	PF07690 [Major Facilitator Superfamily]	tetracycline	antibiotic efflux	unknown Enterobacteriaceae (Family)
