genome,completeness,contamination,strain_heterogeneity,length,N50
human1_HC-10_maxbin.022.fasta.contigs.fa,81.35,4.58,15.38,3376377,10119
human1_HC-10_maxbin.024.fasta.contigs.fa,63.4,42.86,7.59,5161833,2215
human1_HC-10_metabat2.25.fa.contigs.fa,8.24,0.0,0.0,235949,58095
human1_HC-11_maxbin.001.fasta.contigs.fa,20.82,0.0,0.0,1167598,105085
human1_HC-11_maxbin.005.fasta.contigs.fa,55.25,0.12,100.0,2457096,57386
human1_HC-11_maxbin.006.fasta.contigs.fa,99.63,1.12,0.0,2959594,74442
human1_HC-11_maxbin.007.fasta.contigs.fa,44.28,1.72,0.0,2757762,46660
human1_HC-11_maxbin.008.fasta.contigs.fa,94.49,3.4,18.18,3274402,65975
human1_HC-11_maxbin.009.fasta.contigs.fa,38.8,16.11,5.77,2872744,37513
human1_HC-11_maxbin.010.fasta.contigs.fa,68.97,21.08,62.86,4287755,41328
human1_HC-11_maxbin.011.fasta.contigs.fa,100.0,0.0,0.0,2847155,124320
human1_HC-11_maxbin.012.fasta.contigs.fa,62.95,28.84,9.86,3790660,57499
human1_HC-11_maxbin.013.fasta.contigs.fa,46.55,0.0,0.0,1760374,23232
human1_HC-11_maxbin.014.fasta.contigs.fa,98.63,0.68,0.0,3043627,78102
human1_HC-11_maxbin.016.fasta.contigs.fa,77.53,5.7,0.0,2614595,38132
human1_HC-11_maxbin.017.fasta.contigs.fa,6.61,1.15,0.0,1016812,30083
human1_HC-11_maxbin.018.fasta.contigs.fa,43.81,5.06,7.69,1423178,51763
human1_HC-11_maxbin.019.fasta_sub.contigs.fa,60.93,9.63,33.33,2651927,29826
human1_HC-11_maxbin.021.fasta.contigs.fa,80.38,3.01,9.09,2209679,52316
human1_HC-11_maxbin.022.fasta.contigs.fa,97.32,5.51,4.0,2853322,92129
human1_HC-11_maxbin.024.fasta.contigs.fa,54.11,1.28,0.0,1233494,100286
human1_HC-11_maxbin.028.fasta.contigs.fa,47.83,14.61,5.26,2246325,10993
human1_HC-11_maxbin.029.fasta_sub.contigs.fa,76.35,27.18,0.0,2148313,3041
human1_HC-11_maxbin.035.fasta.contigs.fa,45.73,16.37,5.0,5178503,2181
human1_HC-11_maxbin.036.fasta.contigs.fa,83.25,41.37,1.96,2824133,3896
human1_HC-11_maxbin.038.fasta.contigs.fa,60.58,4.5,0.0,1453753,2491
human1_HC-11_metabat2.41.fa_sub.contigs.fa,48.39,0.29,0.0,1036747,11617
human1_HC-11_metabat2.56.fa_sub.contigs.fa,48.25,0.0,0.0,1192295,14830
human1_HC-11_metabat2.81.fa.contigs.fa,9.49,0.0,0.0,216794,47391
human1_HC-11_metabat2.95.fa.contigs.fa,49.38,0.0,0.0,1033876,25552
human1_HC-12_maxbin.003.fasta.contigs.fa,98.14,0.87,0.0,4655370,107465
human1_HC-12_maxbin.004.fasta.contigs.fa,28.26,0.97,0.0,1627798,109561
human1_HC-12_maxbin.005.fasta.contigs.fa,57.89,0.0,0.0,1619115,106699
human1_HC-12_maxbin.006.fasta.contigs.fa,99.25,1.87,20.0,2913056,63986
human1_HC-12_maxbin.007.fasta.contigs.fa,99.14,0.64,10.0,6852823,158133
human1_HC-12_maxbin.009.fasta.contigs.fa,100.0,0.06,0.0,2670585,124320
human1_HC-12_maxbin.010.fasta.contigs.fa,97.63,7.49,2.5,3557793,63920
human1_HC-12_maxbin.011.fasta.contigs.fa,78.11,5.41,40.74,4210967,20026
human1_HC-12_maxbin.012.fasta.contigs.fa,49.37,0.0,0.0,1027580,122947
human1_HC-12_maxbin.013.fasta.contigs.fa,45.97,6.71,6.06,2534211,15192
human1_HC-12_maxbin.014.fasta.contigs.fa,94.63,0.47,0.0,2592708,120891
human1_HC-12_maxbin.015.fasta.contigs.fa,96.84,3.16,20.0,3273882,39045
human1_HC-12_maxbin.016.fasta.contigs.fa,98.63,0.0,0.0,2794006,88343
human1_HC-12_maxbin.017.fasta.contigs.fa,88.51,1.52,0.0,5261720,84182
human1_HC-12_maxbin.019.fasta_sub.contigs.fa,68.74,19.56,2.5,4188206,3937
human1_HC-12_maxbin.020.fasta.contigs.fa,31.58,5.26,26.67,460942,26294
human1_HC-12_maxbin.022.fasta_sub.contigs.fa,81.05,20.39,24.73,3911848,32511
human1_HC-12_maxbin.023.fasta.contigs.fa,98.41,2.23,0.0,6917825,27372
human1_HC-12_maxbin.025.fasta_sub.contigs.fa,5.95,0.0,0.0,79712,26368
human1_HC-12_maxbin.026.fasta_sub.contigs.fa,32.54,10.53,14.29,1596585,43583
human1_HC-12_maxbin.027.fasta.contigs.fa,99.25,6.38,21.88,3080824,58102
human1_HC-12_maxbin.028.fasta.contigs.fa,68.47,1.81,0.0,2455397,89798
human1_HC-12_maxbin.029.fasta.contigs.fa,47.96,16.01,15.62,3437171,11518
human1_HC-12_maxbin.030.fasta.contigs.fa,98.63,1.1,0.0,4974933,78222
human1_HC-12_maxbin.031.fasta_sub.contigs.fa,57.31,2.84,5.26,3390644,59943
human1_HC-12_maxbin.032.fasta.contigs.fa,98.25,37.96,20.0,4325372,34091
human1_HC-12_maxbin.034.fasta.contigs.fa,82.79,17.37,0.0,2883127,18502
human1_HC-12_maxbin.036.fasta_sub.contigs.fa,48.64,6.0,0.0,1154978,3068
human1_HC-12_maxbin.038.fasta.contigs.fa,86.69,4.17,0.0,1611054,16122
human1_HC-12_maxbin.040.fasta_sub.contigs.fa,64.69,20.49,0.0,1540380,3141
human1_HC-12_maxbin.041.fasta_sub.contigs.fa,71.64,51.12,1.82,6740686,2454
human1_HC-12_maxbin.044.fasta.contigs.fa,81.53,3.39,5.26,2790568,3751
human1_HC-12_maxbin.048.fasta.contigs.fa,13.21,3.76,22.73,329195,1581
human1_HC-12_maxbin.051.fasta_sub.contigs.fa,33.76,2.59,0.0,2390185,1909
human1_HC-12_metabat2.113.fa.contigs.fa,36.67,0.0,0.0,1267354,96733
human1_HC-12_metabat2.126.fa.contigs.fa,66.43,0.35,100.0,1168601,34196
human1_HC-12_metabat2.19.fa.contigs.fa,10.82,0.0,0.0,350991,59473
human1_HC-12_metabat2.29.fa.contigs.fa,10.53,0.0,0.0,415893,43745
human1_HC-12_metabat2.35.fa.contigs.fa,33.53,1.8,16.67,729199,9923
human1_HC-12_metabat2.76.fa.contigs.fa,16.09,0.0,0.0,372894,38784
human1_HC-13_maxbin.001.fasta.contigs.fa,31.78,3.16,21.74,2004061,94692
human1_HC-13_maxbin.003.fasta.contigs.fa,57.48,5.21,41.3,4530991,128277
human1_HC-13_maxbin.005.fasta.contigs.fa,95.89,1.45,0.0,2537024,102112
human1_HC-13_maxbin.006.fasta.contigs.fa,83.54,10.57,0.0,2248870,19280
human1_HC-13_maxbin.007.fasta.contigs.fa,69.22,2.45,88.89,3290845,16310
human1_HC-13_maxbin.008.fasta.contigs.fa,100.0,0.0,0.0,2803067,124362
human1_HC-13_maxbin.009.fasta.contigs.fa,91.14,18.35,0.0,3984725,59524
human1_HC-13_maxbin.010.fasta.contigs.fa,92.11,12.28,57.14,3331674,49792
human1_HC-13_maxbin.011.fasta.contigs.fa,86.21,1.52,0.0,5128359,96736
human1_HC-13_maxbin.012.fasta.contigs.fa,54.45,14.49,26.15,5130725,17291
human1_HC-13_maxbin.013.fasta.contigs.fa,99.25,2.0,0.0,2940972,68886
human1_HC-13_maxbin.014.fasta.contigs.fa,90.3,1.66,28.57,2705929,40956
human1_HC-13_maxbin.015.fasta.contigs.fa,79.47,7.5,0.0,2518584,94544
human1_HC-13_maxbin.016.fasta.contigs.fa,72.32,9.55,0.0,2462184,42869
human1_HC-13_maxbin.017.fasta.contigs.fa,16.32,0.24,0.0,1095961,21765
human1_HC-13_maxbin.018.fasta.contigs.fa,97.68,1.27,0.0,3193968,103869
human1_HC-13_maxbin.019.fasta.contigs.fa,9.0,0.05,100.0,1349558,72250
human1_HC-13_maxbin.020.fasta.contigs.fa,70.47,2.34,0.0,3169218,18136
human1_HC-13_maxbin.022.fasta.contigs.fa,89.81,26.59,6.09,5538626,65934
human1_HC-13_maxbin.023.fasta.contigs.fa,93.79,1.11,0.0,1571772,99810
human1_HC-13_maxbin.024.fasta.contigs.fa,98.63,1.71,0.0,2752936,45862
human1_HC-13_maxbin.025.fasta.contigs.fa,98.46,6.43,5.13,2812073,36403
human1_HC-13_maxbin.026.fasta.contigs.fa,94.56,1.34,7.14,3355238,25936
human1_HC-13_maxbin.027.fasta.contigs.fa,87.45,27.85,15.85,3343816,22313
human1_HC-13_maxbin.028.fasta.contigs.fa,67.75,6.79,18.18,3651555,17607
human1_HC-13_maxbin.029.fasta.contigs.fa,94.93,8.55,45.45,5371183,12876
human1_HC-13_maxbin.031.fasta.contigs.fa,93.65,16.71,5.36,3661731,15634
human1_HC-13_maxbin.033.fasta_sub.contigs.fa,59.3,14.79,2.22,1463166,4830
human1_HC-13_maxbin.034.fasta.contigs.fa,82.37,10.16,40.74,2916402,3699
human1_HC-13_maxbin.035.fasta.contigs.fa,89.27,2.99,0.0,1622137,7466
human1_HC-13_maxbin.037.fasta.contigs.fa,88.03,2.4,25.0,3770330,5456
human1_HC-13_maxbin.039.fasta.contigs.fa,77.97,32.61,4.49,4590861,1871
human1_HC-13_maxbin.042.fasta.contigs.fa,75.68,5.72,0.0,2565983,2632
human1_HC-13_maxbin.047.fasta.contigs.fa,65.9,7.12,4.76,1860592,1912
human1_HC-13_metabat2.40.fa_sub.contigs.fa,6.43,0.0,0.0,132345,28063
human1_HC-13_metabat2.46.fa.contigs.fa,17.99,0.0,0.0,348240,14417
human1_HC-14_maxbin.001.fasta.contigs.fa,71.58,0.24,0.0,2578495,95309
human1_HC-14_maxbin.002.fasta.contigs.fa,93.42,11.71,0.0,6749137,140207
human1_HC-14_maxbin.004.fasta.contigs.fa,100.0,3.06,66.67,2887391,124599
human1_HC-14_maxbin.005.fasta.contigs.fa,41.77,0.0,0.0,934365,118376
human1_HC-14_maxbin.006.fasta.contigs.fa,96.65,2.17,9.09,4786235,109767
human1_HC-14_maxbin.007.fasta.contigs.fa,96.43,3.43,9.09,3434648,58775
human1_HC-14_maxbin.008.fasta.contigs.fa,51.54,2.53,0.0,1585783,39822
human1_HC-14_maxbin.009.fasta.contigs.fa,78.46,1.58,0.0,3615892,49182
human1_HC-14_maxbin.010.fasta.contigs.fa,98.63,0.0,0.0,2802400,85852
human1_HC-14_maxbin.011.fasta.contigs.fa,86.78,5.13,0.0,5607066,94118
human1_HC-14_maxbin.012.fasta.contigs.fa,85.68,2.74,60.0,5387899,29983
human1_HC-14_maxbin.013.fasta.contigs.fa,94.74,19.3,19.23,3135043,71594
human1_HC-14_maxbin.014.fasta.contigs.fa,94.1,1.51,0.0,3017647,68886
human1_HC-14_maxbin.015.fasta.contigs.fa,99.25,0.0,0.0,3348475,230856
human1_HC-14_maxbin.016.fasta.contigs.fa,100.0,2.01,0.0,2393965,181827
human1_HC-14_maxbin.017.fasta_sub.contigs.fa,61.99,18.76,3.16,3146755,55858
human1_HC-14_maxbin.018.fasta.contigs.fa,97.58,2.58,0.0,2304893,220370
human1_HC-14_maxbin.019.fasta.contigs.fa,91.44,3.64,8.57,3398567,186441
human1_HC-14_maxbin.021.fasta.contigs.fa,97.87,0.68,0.0,6584559,30678
human1_HC-14_maxbin.022.fasta.contigs.fa,99.25,1.06,0.0,2863398,58098
human1_HC-14_maxbin.023.fasta.contigs.fa,79.43,12.28,28.57,2114088,75172
human1_HC-14_maxbin.024.fasta.contigs.fa,65.05,1.15,0.0,1975258,59730
human1_HC-14_maxbin.026.fasta.contigs.fa,86.54,7.81,26.32,2467214,16224
human1_HC-14_maxbin.027.fasta.contigs.fa,90.08,10.1,22.92,2612254,31650
human1_HC-14_maxbin.028.fasta_sub.contigs.fa,69.57,17.57,0.0,3493603,12409
human1_HC-14_maxbin.029.fasta_sub.contigs.fa,89.4,16.56,6.02,3183637,10278
human1_HC-14_maxbin.031.fasta.contigs.fa,83.95,35.26,12.12,3745102,5892
human1_HC-14_maxbin.035.fasta.contigs.fa,87.28,3.86,0.0,2606437,4915
human1_HC-14_maxbin.038.fasta.contigs.fa,28.2,9.04,19.35,2234844,2108
human1_HC-14_maxbin.039.fasta.contigs.fa,84.51,57.38,5.62,3033741,2391
human1_HC-14_metabat2.46.fa.contigs.fa,23.49,0.0,0.0,737932,20853
human1_HC-14_metabat2.6.fa.contigs.fa,36.84,0.0,0.0,780272,113315
human1_HC-14_metabat2.95.fa.contigs.fa,7.8,0.0,0.0,207815,52064
human1_HC-15_maxbin.001.fasta.contigs.fa,45.64,0.0,0.0,1123948,225882
human1_HC-15_maxbin.003.fasta.contigs.fa,38.29,0.37,0.0,1801801,109983
human1_HC-15_maxbin.005.fasta.contigs.fa,96.26,0.0,0.0,2583103,134761
human1_HC-15_maxbin.007.fasta.contigs.fa,10.13,0.0,0.0,904043,62510
human1_HC-15_maxbin.008.fasta.contigs.fa,81.48,1.27,0.0,1796154,93901
human1_HC-15_maxbin.010.fasta_sub.contigs.fa,92.41,10.68,0.0,3384728,61190
human1_HC-15_maxbin.011.fasta.contigs.fa,96.33,12.76,41.67,3038524,20791
human1_HC-15_maxbin.012.fasta.contigs.fa,51.11,5.74,25.0,2432655,17110
human1_HC-15_maxbin.013.fasta.contigs.fa,96.55,2.22,5.56,3774497,54479
human1_HC-15_maxbin.015.fasta.contigs.fa,92.11,13.29,29.27,6691427,137316
human1_HC-15_maxbin.016.fasta.contigs.fa,89.15,0.56,0.0,4876733,71973
human1_HC-15_maxbin.017.fasta.contigs.fa,99.63,5.21,9.09,3373367,58888
human1_HC-15_maxbin.018.fasta.contigs.fa,98.1,4.75,0.0,2971104,54220
human1_HC-15_maxbin.019.fasta.contigs.fa,89.66,11.29,0.0,2591985,175739
human1_HC-15_maxbin.020.fasta.contigs.fa,87.45,4.05,0.0,3352686,165552
human1_HC-15_maxbin.021.fasta.contigs.fa,98.69,1.33,0.0,7159020,26401
human1_HC-15_maxbin.022.fasta_sub.contigs.fa,89.0,41.04,32.11,7688685,23030
human1_HC-15_maxbin.023.fasta.contigs.fa,92.51,0.72,0.0,2360190,90977
human1_HC-15_maxbin.024.fasta.contigs.fa,91.24,8.49,21.05,3040313,13587
human1_HC-15_maxbin.026.fasta.contigs.fa,85.9,17.57,10.87,3156805,2973
human1_HC-15_maxbin.028.fasta.contigs.fa,93.79,8.65,1.89,2765436,5072
human1_HC-15_maxbin.029.fasta.contigs.fa,81.55,4.11,0.0,3574059,3852
human1_HC-15_maxbin.031.fasta.contigs.fa,50.59,20.76,15.62,4401773,1964
human1_HC-15_metabat2.104.fa.contigs.fa,7.59,0.0,0.0,249407,75899
human1_HC-15_metabat2.36.fa.contigs.fa,35.8,0.38,100.0,1377715,48868
human1_HC-15_metabat2.58.fa_sub.contigs.fa,41.38,0.0,0.0,1907928,40842
human1_HC-16_maxbin.001.fasta.contigs.fa,37.88,0.0,0.0,1744716,103496
human1_HC-16_maxbin.002.fasta.contigs.fa,60.58,3.84,5.88,2918261,134634
human1_HC-16_maxbin.003.fasta.contigs.fa,83.45,0.0,0.0,1197904,118376
human1_HC-16_maxbin.004.fasta.contigs.fa,4.18,0.0,0.0,642332,78683
human1_HC-16_maxbin.005.fasta.contigs.fa,88.51,2.96,0.0,5961802,96660
human1_HC-16_maxbin.006.fasta.contigs.fa,73.65,3.25,27.27,3427808,18813
human1_HC-16_maxbin.007.fasta.contigs.fa,99.63,4.59,11.11,3320378,58887
human1_HC-16_maxbin.008.fasta.contigs.fa,94.28,1.79,50.0,2988782,29975
human1_HC-16_maxbin.009.fasta.contigs.fa,99.16,32.95,14.64,9535222,96413
human1_HC-16_maxbin.010.fasta.contigs.fa,95.98,3.26,14.29,3210757,59839
human1_HC-16_maxbin.011.fasta.contigs.fa,100.0,4.08,14.29,3079427,109434
human1_HC-16_maxbin.012.fasta.contigs.fa,79.41,0.21,0.0,5365569,257784
human1_HC-16_maxbin.013.fasta.contigs.fa,97.38,42.28,52.6,6329614,26155
human1_HC-16_maxbin.014.fasta.contigs.fa,96.84,17.09,4.76,4126688,65036
human1_HC-16_maxbin.015.fasta.contigs.fa,94.64,66.72,73.77,5033760,48591
human1_HC-16_maxbin.016.fasta.contigs.fa,92.39,0.54,0.0,3681709,429644
human1_HC-16_maxbin.017.fasta_sub.contigs.fa,19.14,0.86,56.25,2199955,23769
human1_HC-16_maxbin.018.fasta.contigs.fa,97.17,1.89,50.0,3298247,85323
human1_HC-16_maxbin.020.fasta.contigs.fa,89.75,2.37,0.0,2874979,111419
human1_HC-16_maxbin.021.fasta_sub.contigs.fa,81.54,15.11,5.43,2592584,33761
human1_HC-16_maxbin.022.fasta_sub.contigs.fa,83.25,18.03,0.0,3982311,4237
human1_HC-16_maxbin.023.fasta.contigs.fa,98.86,7.88,0.0,2972250,14511
human1_HC-16_maxbin.024.fasta_sub.contigs.fa,28.05,7.58,0.0,4850786,4439
human1_HC-16_maxbin.025.fasta.contigs.fa,94.89,2.53,0.0,2045360,12345
human1_HC-16_maxbin.026.fasta.contigs.fa,54.62,14.26,0.0,4549514,13371
human1_HC-16_maxbin.028.fasta_sub.contigs.fa,70.09,5.94,4.76,1790805,5442
human1_HC-16_maxbin.029.fasta.contigs.fa,98.63,3.54,0.0,1812272,10914
human1_HC-16_metabat2.24.fa.contigs.fa,23.39,0.0,0.0,428904,101614
human1_HC-16_metabat2.35.fa.contigs.fa,84.62,0.4,50.0,3394159,52369
human1_HC-16_metabat2.40.fa_sub.contigs.fa,25.48,0.67,0.0,926079,17703
human1_HC-16_metabat2.64.fa_sub.contigs.fa,55.33,0.0,0.0,1501070,13934
human1_HC-17_maxbin.003.fasta.contigs.fa,94.8,2.54,54.55,4454904,123878
human1_HC-17_maxbin.004.fasta.contigs.fa,99.25,0.75,0.0,2928827,68886
human1_HC-17_maxbin.005.fasta.contigs.fa,4.43,0.0,0.0,647485,38738
human1_HC-17_maxbin.006.fasta.contigs.fa,80.92,1.76,0.0,1240405,96866
human1_HC-17_maxbin.007.fasta.contigs.fa,96.62,1.93,16.67,3410834,66161
human1_HC-17_maxbin.008.fasta.contigs.fa,59.83,1.38,23.08,3746275,31971
human1_HC-17_maxbin.009.fasta.contigs.fa,38.9,0.26,25.0,3210218,25012
human1_HC-17_maxbin.010.fasta.contigs.fa,100.0,0.0,0.0,2718937,119151
human1_HC-17_maxbin.011.fasta.contigs.fa,78.63,4.41,50.0,4027965,27646
human1_HC-17_maxbin.012.fasta.contigs.fa,58.12,6.01,9.09,2894424,31041
human1_HC-17_maxbin.014.fasta.contigs.fa,91.23,36.84,56.41,5404236,47374
human1_HC-17_maxbin.015.fasta.contigs.fa,98.63,0.68,0.0,2746611,88343
human1_HC-17_maxbin.016.fasta.contigs.fa,95.37,32.45,39.07,6632091,29617
human1_HC-17_maxbin.017.fasta.contigs.fa,91.77,46.62,8.11,3871656,51396
human1_HC-17_maxbin.018.fasta.contigs.fa,61.74,0.81,0.0,2179902,120894
human1_HC-17_maxbin.019.fasta.contigs.fa,49.37,1.27,0.0,2293741,47139
human1_HC-17_maxbin.020.fasta.contigs.fa,83.63,17.15,11.54,2765872,91291
human1_HC-17_maxbin.021.fasta.contigs.fa,89.08,1.52,0.0,5365349,92640
human1_HC-17_maxbin.022.fasta.contigs.fa,99.33,2.35,0.0,2105198,191522
human1_HC-17_maxbin.023.fasta.contigs.fa,99.25,1.09,16.67,2998634,63299
human1_HC-17_maxbin.024.fasta.contigs.fa,91.96,13.29,0.0,3235029,117648
human1_HC-17_maxbin.025.fasta.contigs.fa,61.94,7.71,0.0,1412891,129001
human1_HC-17_maxbin.026.fasta.contigs.fa,97.32,16.86,0.0,3520500,63246
human1_HC-17_maxbin.027.fasta.contigs.fa,88.6,9.81,22.22,3474954,22865
human1_HC-17_maxbin.029.fasta.contigs.fa,91.95,12.3,6.9,2377312,7241
human1_HC-17_maxbin.030.fasta.contigs.fa,57.63,14.17,1.82,2914753,2760
human1_HC-17_maxbin.033.fasta.contigs.fa,89.66,68.79,2.15,5431176,2865
human1_HC-17_maxbin.035.fasta.contigs.fa,90.75,19.37,16.0,2405964,2528
human1_HC-17_maxbin.036.fasta.contigs.fa,63.79,18.65,10.0,2979477,1725
human1_HC-18_maxbin.001.fasta.contigs.fa,94.77,3.57,0.0,3397723,84658
human1_HC-18_maxbin.002.fasta.contigs.fa,11.15,0.0,0.0,528167,94692
human1_HC-18_maxbin.005.fasta.contigs.fa,97.52,3.29,19.23,6655506,142407
human1_HC-18_maxbin.006.fasta.contigs.fa,99.25,0.94,0.0,2973112,58887
human1_HC-18_maxbin.007.fasta.contigs.fa,21.8,0.2,0.0,851632,17489
human1_HC-18_maxbin.009.fasta.contigs.fa,99.32,0.0,0.0,2569106,124362
human1_HC-18_maxbin.011.fasta.contigs.fa,97.99,2.15,0.0,2830270,121015
human1_HC-18_maxbin.012.fasta.contigs.fa,49.37,0.0,0.0,1014959,118906
human1_HC-18_maxbin.014.fasta.contigs.fa,95.89,0.0,0.0,2869307,28279
human1_HC-18_maxbin.016.fasta.contigs.fa,97.39,4.93,6.67,3729368,53286
human1_HC-18_maxbin.017.fasta.contigs.fa,96.41,1.27,0.0,3228475,100692
human1_HC-18_maxbin.018.fasta.contigs.fa,88.51,2.67,0.0,5352290,94118
