Bin Id,Marker lineage,# genomes,# markers,# marker sets,Completeness,Contamination,Strain heterogeneity,Genome size (bp),# ambiguous bases,# scaffolds,# contigs,N50 (scaffolds),N50 (contigs),Mean scaffold length (bp),Mean contig length (bp),Longest scaffold (bp),Longest contig (bp),GC,GC std (scaffolds > 1kbp),Coding density,Translation table,# predicted genes,0,1,2,3,4,5+
human1_D-1_maxbin.020.fasta.contigs.fa,k__Bacteria (UID203),5449,104,58,13.32,0.0,0.0,2907250,45973,3412,3412,12324,323,242,228,2726,2496,39.4,5.96,-100.0,-1,-1,87,17,0,0,0,0
human1_D-1_maxbin.021.fasta.contigs.fa,f__Lachnospiraceae (UID1286),57,420,207,91.81,7.95,11.11,3430796,43444,3251,3251,51487,389,317,304,2733,2571,39.2,5.85,-100.0,-1,-1,43,352,24,1,0,0
human1_D-1_maxbin.022.fasta.contigs.fa,f__Lachnospiraceae (UID1256),33,333,171,93.19,18.79,14.29,3432122,44148,3449,3449,22446,375,294,281,2042,1892,40.0,7.1,-100.0,-1,-1,29,243,60,1,0,0
human1_D-1_maxbin.023.fasta.contigs.fa,o__Bacteroidales (UID2657),160,492,269,90.33,6.5,2.86,4710355,68640,4074,4074,106886,430,349,332,2184,2064,39.0,4.57,-100.0,-1,-1,32,425,35,0,0,0
human1_D-1_maxbin.024.fasta.contigs.fa,o__Bacteroidales (UID2654),163,486,266,86.22,17.23,35.62,4571616,70054,3971,3971,55333,428,344,327,1893,1812,39.3,4.82,-100.0,-1,-1,93,337,51,4,0,1
human1_D-1_maxbin.025.fasta.contigs.fa,o__Clostridiales (UID1226),155,278,158,90.4,3.22,57.14,2688832,31389,2599,2599,28139,383,305,293,1530,1480,39.1,5.55,-100.0,-1,-1,23,248,7,0,0,0
human1_D-1_maxbin.026.fasta.contigs.fa,o__Clostridiales (UID1212),172,263,149,92.62,14.03,6.52,4379205,58133,4412,4412,23771,360,277,264,2692,2559,39.6,7.78,-100.0,-1,-1,14,209,37,3,0,0
human1_D-1_maxbin.027.fasta.contigs.fa,k__Bacteria (UID203),5449,104,58,87.93,14.81,24.0,2770381,35832,2793,2793,41185,378,294,281,2246,2151,39.9,7.3,-100.0,-1,-1,9,76,16,3,0,0
human1_D-1_maxbin.028.fasta.contigs.fa,o__Selenomonadales (UID1024),64,334,167,94.59,1.7,0.0,2238627,28834,2183,2183,117589,381,307,294,5629,5173,38.3,6.77,-100.0,-1,-1,17,312,5,0,0,0
human1_D-1_maxbin.029.fasta.contigs.fa,o__Bacteroidales (UID2621),198,427,260,80.64,8.05,11.63,4820538,72487,4075,4075,116189,443,355,337,3266,3043,39.1,4.85,-100.0,-1,-1,74,314,37,2,0,0
human1_D-1_maxbin.031.fasta.contigs.fa,k__Bacteria (UID203),5449,103,57,64.91,28.39,40.91,3225622,38648,2992,2992,15087,398,320,307,3253,3031,40.3,6.71,-100.0,-1,-1,24,43,24,10,2,0
human1_D-1_maxbin.032.fasta.contigs.fa,p__Actinobacteria (UID2112),31,211,124,93.55,1.17,20.0,2489011,20341,2156,2156,124248,417,336,327,4041,3833,35.4,4.85,-100.0,-1,-1,10,191,10,0,0,0
human1_D-1_maxbin.033.fasta.contigs.fa,o__Clostridiales (UID1212),172,261,147,81.97,17.65,8.89,2440739,24553,2110,2110,13838,386,325,314,1843,1716,36.3,6.33,-100.0,-1,-1,35,187,36,3,0,0
human1_D-1_maxbin.034.fasta.contigs.fa,o__Clostridiales (UID1212),172,263,149,97.32,1.34,0.0,2957651,53640,2554,2554,121371,429,353,332,13794,12728,38.4,6.15,-100.0,-1,-1,6,254,3,0,0,0
human1_D-1_maxbin.037.fasta.contigs.fa,o__Bacteroidales (UID2621),198,427,260,94.42,0.77,0.0,4720738,71010,3991,3991,91853,431,359,341,3507,3294,39.3,5.88,-100.0,-1,-1,24,401,2,0,0,0
human1_D-1_maxbin.038.fasta.contigs.fa,f__Lachnospiraceae (UID1286),57,420,207,25.22,1.27,0.0,1355180,18610,1619,1619,7766,304,232,221,2551,2406,38.6,4.0,-100.0,-1,-1,284,131,5,0,0,0
human1_D-1_maxbin.039.fasta.contigs.fa,k__Bacteria (UID203),5449,104,58,94.83,5.17,33.33,3444487,42214,3323,3323,231698,366,305,292,3118,2943,34.0,6.76,-100.0,-1,-1,3,86,15,0,0,0
human1_D-1_maxbin.041.fasta.contigs.fa,k__Bacteria (UID203),5449,103,57,75.44,28.07,0.0,2065447,25583,1770,1770,61473,415,352,337,3207,3039,38.5,7.8,-100.0,-1,-1,53,32,18,0,0,0
human1_D-1_maxbin.044.fasta.contigs.fa,o__Clostridiales (UID1212),172,257,149,95.97,1.61,60.0,3117497,27242,3152,3152,31744,372,295,287,1935,1851,38.8,4.18,-100.0,-1,-1,10,242,5,0,0,0
human1_D-1_maxbin.045.fasta_sub.contigs.fa,k__Bacteria (UID203),5449,104,58,71.03,37.62,12.9,2570259,33763,2495,2495,50738,376,309,295,3289,3009,40.4,5.32,-100.0,-1,-1,38,35,31,0,0,0
human1_D-1_maxbin.046.fasta_sub.contigs.fa,f__Lachnospiraceae (UID1286),57,420,207,43.31,6.3,0.0,2127768,28119,2259,2259,17421,342,272,260,2703,2597,39.3,7.27,-100.0,-1,-1,241,157,22,0,0,0
human1_D-1_maxbin.047.fasta.contigs.fa,k__Bacteria (UID203),5449,104,58,54.31,5.75,94.44,1971682,25194,1548,1548,209998,467,387,370,1562,1492,37.1,4.45,-100.0,-1,-1,32,56,15,1,0,0
human1_D-1_maxbin.048.fasta.contigs.fa,p__Bacteroidetes (UID2605),350,314,208,35.82,0.0,0.0,1770441,21856,1397,1397,259057,457,383,367,1751,1692,37.4,3.96,-100.0,-1,-1,188,126,0,0,0,0
human1_D-1_maxbin.050.fasta.contigs.fa,o__Clostridiales (UID1120),304,249,142,97.18,7.06,0.0,3213425,59025,3101,3102,66056,353,297,277,4071,3676,41.8,7.03,-100.0,-1,-1,19,211,19,0,0,0
human1_D-1_maxbin.051.fasta.contigs.fa,o__Clostridiales (UID1212),172,261,147,83.12,5.45,41.18,2260255,23260,2074,2074,32944,386,321,310,3626,3353,35.9,5.32,-100.0,-1,-1,44,200,17,0,0,0
human1_D-1_maxbin.053.fasta.contigs.fa,o__Clostridiales (UID1226),155,278,158,97.78,18.07,6.67,3316090,41094,3143,3143,42046,386,313,300,2254,2134,39.3,5.75,-100.0,-1,-1,4,233,39,2,0,0
human1_D-1_maxbin.056.fasta.contigs.fa,o__Clostridiales (UID1226),155,278,158,86.06,4.64,0.0,2425609,24843,2360,2360,50032,377,311,301,3722,3619,41.3,3.96,-100.0,-1,-1,46,222,10,0,0,0
human1_D-1_maxbin.058.fasta.contigs.fa,k__Bacteria (UID203),5449,103,58,53.92,19.31,21.88,1275809,17073,1500,1500,7209,309,242,230,1582,1459,35.3,7.15,-100.0,-1,-1,43,32,26,2,0,0
human1_D-1_maxbin.061.fasta_sub.contigs.fa,f__Lachnospiraceae (UID1255),90,354,174,92.68,30.55,3.92,3962163,43489,4124,4124,9093,354,282,272,2555,2450,38.9,4.82,-100.0,-1,-1,64,210,69,11,0,0
human1_D-1_maxbin.062.fasta.contigs.fa,k__Bacteria (UID203),5449,103,57,59.65,1.75,0.0,2620052,50864,2794,2795,19784,336,276,258,3429,3109,40.6,9.42,-100.0,-1,-1,59,43,1,0,0,0
human1_D-1_maxbin.064.fasta.contigs.fa,p__Proteobacteria (UID3887),1487,256,160,67.32,5.41,4.76,1754404,17351,1694,1694,14042,376,299,288,1448,1409,35.2,7.2,-100.0,-1,-1,68,167,21,0,0,0
human1_D-1_maxbin.065.fasta.contigs.fa,k__Bacteria (UID203),5449,103,57,92.03,39.63,63.41,3529755,61981,3659,3660,23990,352,288,271,4096,3784,39.3,6.68,-100.0,-1,-1,14,50,38,1,0,0
human1_D-1_maxbin.066.fasta.contigs.fa,o__Clostridiales (UID1212),172,263,149,75.85,25.62,24.56,2408593,38637,2348,2348,16967,381,309,292,1678,1580,39.1,5.41,-100.0,-1,-1,87,127,45,4,0,0
human1_D-1_maxbin.067.fasta.contigs.fa,o__Clostridiales (UID1212),172,260,146,93.68,3.28,22.22,2461386,33556,2634,2635,7023,350,277,264,2135,2023,39.2,5.67,-100.0,-1,-1,16,235,9,0,0,0
human1_D-1_maxbin.068.fasta.contigs.fa,c__Clostridia (UID1118),387,223,124,75.34,8.21,5.88,2397893,23547,2381,2381,11257,360,292,282,2522,2429,37.5,5.06,-100.0,-1,-1,44,162,17,0,0,0
human1_D-1_maxbin.069.fasta.contigs.fa,o__Clostridiales (UID1226),155,278,158,4.64,2.22,33.33,143763,1804,152,152,5042,348,280,268,856,815,39.0,0.0,-100.0,-1,-1,238,36,3,1,0,0
human1_D-1_maxbin.088.fasta.contigs.fa,o__Clostridiales (UID1226),155,278,158,14.97,4.36,16.0,477321,6656,496,496,2300,390,299,286,1601,1522,37.6,9.74,-100.0,-1,-1,218,45,10,5,0,0
human1_D-1_maxbin.104.fasta.contigs.fa,f__Pasteurellaceae (UID4932),83,767,440,57.86,36.87,31.66,3008031,41611,4038,4038,1639,280,220,210,1420,1282,37.7,4.42,-100.0,-1,-1,305,255,143,47,14,3
human1_D-1_metabat2.109.fa.contigs.fa,o__Clostridiales (UID1212),172,263,149,75.86,0.34,0.0,1759214,14711,1840,1840,38857,348,281,273,2080,1978,38.2,4.62,-100.0,-1,-1,64,198,1,0,0,0
human1_D-1_metabat2.138.fa.contigs.fa,o__Clostridiales (UID1226),155,278,158,50.47,0.0,0.0,1184789,12728,1062,1062,15684,384,324,312,1636,1548,40.0,4.13,-100.0,-1,-1,144,134,0,0,0,0
human1_D-1_metabat2.139.fa.contigs.fa,p__Firmicutes (UID1022),100,295,158,11.24,0.0,0.0,290103,2841,309,309,12611,341,271,262,1066,1030,39.7,2.35,-100.0,-1,-1,233,62,0,0,0,0
human1_D-1_metabat2.142.fa.contigs.fa,k__Bacteria (UID203),5449,102,56,54.79,0.0,0.0,1642043,12520,1492,1492,13505,391,323,315,3377,3247,35.8,5.67,-100.0,-1,-1,63,39,0,0,0,0
human1_D-1_metabat2.147.fa.contigs.fa,f__Lachnospiraceae (UID1256),33,333,171,11.98,1.46,0.0,606238,8115,618,618,36285,372,287,273,2994,2845,40.2,2.78,-100.0,-1,-1,268,62,2,1,0,0
human1_D-1_metabat2.153.fa.contigs.fa,o__Clostridiales (UID1120),304,247,141,72.93,0.0,0.0,1357876,14967,1347,1347,16571,373,303,292,1502,1440,40.5,3.9,-100.0,-1,-1,67,180,0,0,0,0
human1_D-1_metabat2.191.fa.contigs.fa,f__Lachnospiraceae (UID1286),57,420,207,6.76,0.0,0.0,469962,6303,450,450,56864,384,307,293,1408,1345,38.8,4.45,-100.0,-1,-1,368,52,0,0,0,0
human1_D-1_metabat2.79.fa.contigs.fa,f__Lachnospiraceae (UID1256),33,333,171,6.76,0.0,0.0,383112,4793,361,361,69488,381,312,299,1121,1081,40.2,6.27,-100.0,-1,-1,295,38,0,0,0,0
human1_HC-10_maxbin.002.fasta.contigs.fa,p__Firmicutes (UID1022),100,295,158,12.66,0.63,0.0,665060,8615,669,669,56392,371,290,277,5392,5087,38.2,5.16,-100.0,-1,-1,230,64,1,0,0,0
human1_HC-10_maxbin.003.fasta.contigs.fa,g__Bacteroides (UID2691),33,839,309,16.37,0.0,0.0,1322121,22504,948,948,115690,518,428,404,1914,1822,39.2,3.73,-100.0,-1,-1,652,187,0,0,0,0
human1_HC-10_maxbin.004.fasta.contigs.fa,p__Firmicutes (UID1022),100,295,158,75.23,0.0,0.0,1005998,13410,955,955,118376,367,319,305,2194,2049,40.0,6.25,-100.0,-1,-1,106,189,0,0,0,0
human1_HC-10_maxbin.006.fasta.contigs.fa,g__Prevotella (UID2724),55,567,296,91.44,0.0,0.0,2937606,44234,2400,2400,272597,435,358,339,2548,2363,38.6,4.8,-100.0,-1,-1,43,524,0,0,0,0
human1_HC-10_maxbin.007.fasta.contigs.fa,o__Bacteroidales (UID2657),160,492,269,98.88,4.36,19.05,4649847,69092,3854,3854,106465,439,365,347,2128,2010,39.1,5.03,-100.0,-1,-1,3,468,21,0,0,0
human1_HC-10_maxbin.008.fasta.contigs.fa,o__Bacteroidales (UID2654),163,486,266,67.44,5.01,22.73,2828393,43116,2564,2564,11820,419,335,318,1846,1766,39.3,4.15,-100.0,-1,-1,125,339,22,0,0,0
human1_HC-10_maxbin.009.fasta_sub.contigs.fa,o__Lactobacillales (UID544),293,475,267,67.29,3.0,7.14,2313131,31748,2327,2327,65349,358,292,279,2033,1908,34.5,6.9,-100.0,-1,-1,146,315,14,0,0,0
human1_HC-10_maxbin.010.fasta.contigs.fa,o__Clostridiales (UID1212),172,261,147,91.16,0.0,0.0,2682237,27861,2605,2605,119331,375,300,290,2375,2290,36.4,6.41,-100.0,-1,-1,21,240,0,0,0,0
human1_HC-10_maxbin.011.fasta.contigs.fa,p__Actinobacteria (UID2112),31,211,124,97.58,0.0,0.0,2029267,20690,1820,1820,208350,403,329,318,2162,2041,36.3,6.23,-100.0,-1,-1,6,205,0,0,0,0
human1_HC-10_maxbin.014.fasta.contigs.fa,o__Clostridiales (UID1120),304,250,143,84.38,18.18,0.0,2654147,47197,2831,2831,32091,341,278,261,4643,4291,40.7,5.63,-100.0,-1,-1,31,177,42,0,0,0
human1_HC-10_maxbin.015.fasta.contigs.fa,o__Bacteroidales (UID2621),198,427,260,92.24,15.78,8.45,5845033,87256,5000,5000,117049,434,351,333,4871,4551,39.1,4.75,-100.0,-1,-1,25,337,62,3,0,0
human1_HC-10_maxbin.016.fasta.contigs.fa,p__Actinobacteria (UID2112),31,211,124,77.82,13.95,19.23,2704801,21115,2678,2678,67022,370,299,291,3834,3692,35.9,5.32,-100.0,-1,-1,62,129,17,3,0,0
human1_HC-10_maxbin.017.fasta.contigs.fa,o__Clostridiales (UID1226),155,278,158,98.47,49.45,0.0,4088875,47646,3767,3767,94405,400,322,309,2900,2764,38.3,6.44,-100.0,-1,-1,27,133,117,1,0,0
human1_HC-10_maxbin.018.fasta.contigs.fa,f__Lachnospiraceae (UID1255),90,354,174,70.62,1.25,20.0,2453758,31270,2219,2219,61912,400,325,311,2881,2666,39.2,5.19,-100.0,-1,-1,110,239,5,0,0,0
human1_HC-10_maxbin.019.fasta.contigs.fa,f__Lachnospiraceae (UID1255),90,354,174,37.29,2.6,0.0,2550225,39849,2381,2381,19845,425,317,300,2337,2181,39.3,4.58,-100.0,-1,-1,182,160,10,2,0,0
human1_HC-10_maxbin.020.fasta.contigs.fa,o__Lactobacillales (UID544),293,473,265,98.57,1.66,0.0,3449374,41689,3433,3433,41120,356,295,282,3118,2943,34.1,7.09,-100.0,-1,-1,6,452,15,0,0,0
human1_HC-10_maxbin.021.fasta.contigs.fa,o__Clostridiales (UID1125),128,313,164,22.66,3.06,0.0,3357531,50955,4306,4306,3070,288,219,207,2055,1922,40.0,5.89,-100.0,-1,-1,225,76,10,2,0,0
human1_HC-10_maxbin.022.fasta.contigs.fa,o__Bacteroidales (UID2657),160,492,269,81.35,4.58,15.38,3376377,51128,3309,3309,10119,387,303,288,1606,1544,38.9,5.0,-100.0,-1,-1,107,361,23,1,0,0
human1_HC-10_maxbin.024.fasta.contigs.fa,f__Lachnospiraceae (UID1256),33,333,171,63.4,42.86,7.59,5161833,64122,6759,6759,2215,286,222,212,1925,1848,40.1,8.57,-100.0,-1,-1,113,115,73,20,10,2
human1_HC-10_metabat2.25.fa.contigs.fa,o__Lactobacillales (UID544),293,475,267,8.24,0.0,0.0,235949,3096,226,226,58095,373,306,293,1564,1462,35.2,6.9,-100.0,-1,-1,391,84,0,0,0,0
human1_HC-11_maxbin.001.fasta.contigs.fa,o__Bacteroidales (UID2657),160,492,269,20.82,0.0,0.0,1167598,17752,941,941,105085,479,374,355,1666,1582,38.6,5.37,-100.0,-1,-1,337,155,0,0,0,0
human1_HC-11_maxbin.005.fasta.contigs.fa,o__Bacteroidales (UID2654),163,486,266,55.25,0.12,100.0,2457096,39145,2015,2015,57386,470,369,349,5392,5087,39.5,4.35,-100.0,-1,-1,190,294,2,0,0,0
human1_HC-11_maxbin.006.fasta.contigs.fa,o__Lactobacillales (UID544),293,475,267,99.63,1.12,0.0,2959594,37833,2859,2859,74442,356,291,278,2375,2248,35.5,5.83,-100.0,-1,-1,1,471,3,0,0,0
human1_HC-11_maxbin.007.fasta.contigs.fa,k__Bacteria (UID203),5449,104,58,44.28,1.72,0.0,2757762,41305,2600,2601,46660,396,312,296,1644,1554,39.4,4.86,-100.0,-1,-1,65,38,1,0,0,0
human1_HC-11_maxbin.008.fasta.contigs.fa,f__Lachnospiraceae (UID1286),57,420,207,94.49,3.4,18.18,3274402,41642,3008,3008,65975,398,325,311,2971,2799,39.0,6.32,-100.0,-1,-1,26,383,11,0,0,0
human1_HC-11_maxbin.009.fasta.contigs.fa,p__Firmicutes (UID1022),100,295,158,38.8,16.11,5.77,2872744,41403,2681,2681,37513,415,318,303,2720,2600,38.5,5.12,-100.0,-1,-1,153,106,28,8,0,0
human1_HC-11_maxbin.010.fasta.contigs.fa,k__Bacteria (UID203),5449,103,58,68.97,21.08,62.86,4287755,69100,3320,3320,41328,482,393,372,2551,2416,39.0,4.53,-100.0,-1,-1,21,47,35,0,0,0
human1_HC-11_maxbin.011.fasta.contigs.fa,o__Clostridiales (UID1212),172,261,147,100.0,0.0,0.0,2847155,29747,2774,2774,124320,376,301,290,1804,1715,36.4,6.63,-100.0,-1,-1,0,261,0,0,0,0
human1_HC-11_maxbin.012.fasta.contigs.fa,p__Firmicutes (UID1022),100,295,158,62.95,28.84,9.86,3790660,58288,3375,3375,57499,417,337,320,2464,2285,39.0,5.54,-100.0,-1,-1,137,108,41,8,1,0
human1_HC-11_maxbin.013.fasta.contigs.fa,k__Bacteria (UID203),5449,104,58,46.55,0.0,0.0,1760374,28467,1868,1868,23232,352,276,261,2010,1847,39.4,5.12,-100.0,-1,-1,70,34,0,0,0,0
human1_HC-11_maxbin.014.fasta.contigs.fa,o__Clostridiales (UID1212),172,260,146,98.63,0.68,0.0,3043627,42815,2933,2934,78102,388,306,292,3245,2925,39.2,5.93,-100.0,-1,-1,3,256,1,0,0,0
human1_HC-11_maxbin.016.fasta.contigs.fa,o__Clostridiales (UID1226),155,278,158,77.53,5.7,0.0,2614595,28806,2398,2398,38132,387,320,308,4532,4362,39.6,4.11,-100.0,-1,-1,62,206,10,0,0,0
human1_HC-11_maxbin.017.fasta.contigs.fa,f__Lachnospiraceae (UID1255),90,354,174,6.61,1.15,0.0,1016812,12645,1155,1155,30083,337,257,246,2777,2658,37.6,7.84,-100.0,-1,-1,281,61,12,0,0,0
human1_HC-11_maxbin.018.fasta.contigs.fa,o__Clostridiales (UID1226),155,278,158,43.81,5.06,7.69,1423178,16206,1260,1260,51763,386,324,311,1618,1551,39.6,5.61,-100.0,-1,-1,138,127,13,0,0,0
human1_HC-11_maxbin.019.fasta_sub.contigs.fa,k__Bacteria (UID203),5449,103,57,60.93,9.63,33.33,2651927,33622,2506,2506,29826,386,310,296,2995,2853,39.8,5.95,-100.0,-1,-1,27,55,21,0,0,0
human1_HC-11_maxbin.021.fasta.contigs.fa,o__Clostridiales (UID1226),155,278,158,80.38,3.01,9.09,2209679,25478,2014,2014,52316,386,316,304,2242,2151,40.1,5.63,-100.0,-1,-1,51,216,11,0,0,0
human1_HC-11_maxbin.022.fasta.contigs.fa,o__Clostridiales (UID1212),172,263,149,97.32,5.51,4.0,2853322,46300,2740,2740,92129,383,313,297,2110,1997,39.0,5.81,-100.0,-1,-1,5,240,16,1,1,0
human1_HC-11_maxbin.024.fasta.contigs.fa,p__Proteobacteria (UID3887),1487,256,160,54.11,1.28,0.0,1233494,11954,1087,1087,100286,412,322,311,1894,1827,34.4,9.0,-100.0,-1,-1,99,153,4,0,0,0
human1_HC-11_maxbin.028.fasta.contigs.fa,f__Lachnospiraceae (UID1255),90,354,174,47.83,14.61,5.26,2246325,28253,2519,2520,10993,330,261,250,1750,1643,40.5,6.71,-100.0,-1,-1,188,121,39,6,0,0
human1_HC-11_maxbin.029.fasta_sub.contigs.fa,o__Clostridiales (UID1212),172,263,149,76.35,27.18,0.0,2148313,34918,2493,2493,3041,323,257,243,2737,2544,38.5,5.09,-100.0,-1,-1,74,125,59,5,0,0
human1_HC-11_maxbin.035.fasta.contigs.fa,c__Gammaproteobacteria (UID4442),899,312,185,45.73,16.37,5.0,5178503,62757,6576,6576,2181,313,236,226,2825,2668,38.5,5.6,-100.0,-1,-1,143,118,38,12,1,0
human1_HC-11_maxbin.036.fasta.contigs.fa,o__Clostridiales (UID1212),172,263,149,83.25,41.37,1.96,2824133,35694,3209,3209,3896,332,264,253,1467,1401,39.0,7.45,-100.0,-1,-1,58,124,72,8,1,0
human1_HC-11_maxbin.038.fasta.contigs.fa,f__Lachnospiraceae (UID1256),33,333,171,60.58,4.5,0.0,1453753,17910,1818,1818,2491,305,237,227,1513,1426,39.8,5.94,-100.0,-1,-1,141,180,12,0,0,0
human1_HC-11_metabat2.41.fa_sub.contigs.fa,f__Lachnospiraceae (UID1255),90,354,174,48.39,0.29,0.0,1036747,12929,958,958,11617,391,325,312,2022,1935,39.5,5.4,-100.0,-1,-1,180,172,2,0,0,0
human1_HC-11_metabat2.56.fa_sub.contigs.fa,k__Bacteria (UID203),5449,103,57,48.25,0.0,0.0,1192295,14705,1081,1081,14830,397,322,309,1734,1656,40.9,4.07,-100.0,-1,-1,66,37,0,0,0,0
human1_HC-11_metabat2.81.fa.contigs.fa,o__Clostridiales (UID1226),155,278,158,9.49,0.0,0.0,216794,2742,214,214,47391,378,287,274,1255,1209,40.1,6.62,-100.0,-1,-1,224,54,0,0,0,0
human1_HC-11_metabat2.95.fa.contigs.fa,o__Clostridiales (UID1212),172,263,149,49.38,0.0,0.0,1033876,16097,1042,1042,25552,368,294,278,1592,1493,39.4,8.27,-100.0,-1,-1,125,138,0,0,0,0
human1_HC-12_maxbin.003.fasta.contigs.fa,o__Bacteroidales (UID2657),160,492,269,98.14,0.87,0.0,4655370,68593,3921,3921,107465,439,359,341,5392,5087,39.0,5.04,-100.0,-1,-1,5,477,10,0,0,0
human1_HC-12_maxbin.004.fasta.contigs.fa,f__Lachnospiraceae (UID1286),57,420,207,28.26,0.97,0.0,1627798,24501,1745,1745,109561,350,270,256,2726,2496,39.4,5.8,-100.0,-1,-1,270,146,4,0,0,0
human1_HC-12_maxbin.005.fasta.contigs.fa,k__Bacteria (UID203),5449,103,57,57.89,0.0,0.0,1619115,22667,1537,1537,106699,389,316,301,1542,1469,39.1,6.32,-100.0,-1,-1,65,38,0,0,0,0
human1_HC-12_maxbin.006.fasta.contigs.fa,o__Lactobacillales (UID544),293,475,267,99.25,1.87,20.0,2913056,36942,2807,2807,63986,355,292,278,2375,2248,35.4,5.85,-100.0,-1,-1,2,468,5,0,0,0
human1_HC-12_maxbin.007.fasta.contigs.fa,g__Bacteroides (UID2691),33,839,309,99.14,0.64,10.0,6852823,112453,5542,5542,158133,468,375,355,2720,2600,38.9,4.79,-100.0,-1,-1,7,822,10,0,0,0
human1_HC-12_maxbin.009.fasta.contigs.fa,o__Clostridiales (UID1212),172,261,147,100.0,0.06,0.0,2670585,27385,2580,2580,124320,375,303,292,1804,1715,36.3,6.7,-100.0,-1,-1,0,260,1,0,0,0
human1_HC-12_maxbin.010.fasta.contigs.fa,f__Lachnospiraceae (UID1286),57,420,207,97.63,7.49,2.5,3557793,45366,3299,3299,63920,392,322,309,2733,2571,39.2,6.7,-100.0,-1,-1,13,369,37,1,0,0
human1_HC-12_maxbin.011.fasta.contigs.fa,o__Bacteroidales (UID2654),163,486,266,78.11,5.41,40.74,4210967,64047,3843,3844,20026,417,331,314,2787,2669,39.3,4.44,-100.0,-1,-1,115,353,15,2,1,0
human1_HC-12_maxbin.012.fasta.contigs.fa,p__Firmicutes (UID1022),100,295,158,49.37,0.0,0.0,1027580,12279,953,953,122947,387,316,303,2900,2764,39.4,6.31,-100.0,-1,-1,157,138,0,0,0,0
human1_HC-12_maxbin.013.fasta.contigs.fa,o__Bacteroidales (UID2654),163,486,266,45.97,6.71,6.06,2534211,39102,2699,2699,15192,358,272,258,1644,1530,39.3,5.35,-100.0,-1,-1,269,188,27,2,0,0
human1_HC-12_maxbin.014.fasta.contigs.fa,o__Clostridiales (UID1212),172,263,149,94.63,0.47,0.0,2592708,41697,2407,2407,120891,389,325,308,2835,2696,39.3,6.41,-100.0,-1,-1,9,252,2,0,0,0
human1_HC-12_maxbin.015.fasta.contigs.fa,o__Clostridiales (UID1226),155,278,158,96.84,3.16,20.0,3273882,36764,3059,3059,39045,384,312,300,4532,4362,39.2,4.73,-100.0,-1,-1,6,267,5,0,0,0
human1_HC-12_maxbin.016.fasta.contigs.fa,o__Clostridiales (UID1212),172,260,146,98.63,0.0,0.0,2794006,39265,2655,2656,88343,387,311,296,3245,2925,39.3,6.37,-100.0,-1,-1,3,257,0,0,0,0
