## 1 - Complete phage contigs - category 1 (sure)
## Contig_id,Nb genes contigs,Fragment,Nb genes,Category,Nb phage hallmark genes,Phage gene enrichment sig,Non-Caudovirales phage gene enrichment sig,Pfam depletion sig,Uncharacterized enrichment sig,Strand switch depletion sig,Short genes enrichment sig
VIRSorter_0000063991,3,VIRSorter_0000063991,3,1,1,2.54441280261352,,,,,
VIRSorter_0000064182,3,VIRSorter_0000064182,3,1,1,2.54441280261352,,,,,
VIRSorter_0000064582,10,VIRSorter_0000064582,10,1,3,4.03004180415450,,5.90865877729139,,,
VIRSorter_0000065264,4,VIRSorter_0000065264,4,1,2,2.01463059939908,,2.36346351091656,,,
VIRSorter_0000069558,8,VIRSorter_0000069558,8,1,1,3.75410460607165,,3.34336788579149,,,
VIRSorter_0000069725,9,VIRSorter_0000069725,9,1,1,3.33293762629512,,3.88508102084939,,,
VIRSorter_0000070428,5,VIRSorter_0000070428,5,1,2,2.74589609330056,,2.95432938864569,,,
VIRSorter_0000070845-circular,48,VIRSorter_0000070845-circular,48,1,4,14.02171427272241,,25.46946752830818,,,
VIRSorter_0000070934-circular,6,VIRSorter_0000070934-circular,6,1,1,,2.47072445790085,3.54519526637483,2.38128737695231,,
## 2 - Complete phage contigs - category 2 (somewhat sure)
## Contig_id,Nb genes contigs,Fragment,Nb genes,Category,Nb phage hallmark genes,Phage gene enrichment sig,Non-Caudovirales phage gene enrichment sig,Pfam depletion sig,Uncharacterized enrichment sig,Strand switch depletion sig,Short genes enrichment sig
VIRSorter_0000000002,4,VIRSorter_0000000002,4,2,1,,,2.36346351091656,,,
VIRSorter_0000000349,27,VIRSorter_0000000349,27,2,1,,,10.23929403609699,,,gene_8-gene_27:2.91264294059696
VIRSorter_0000000353,5,VIRSorter_0000000353,5,2,,2.74589609330056,,,,,
VIRSorter_0000000355,3,VIRSorter_0000000355,3,2,,2.54441280261352,,,,,3.00000000000000
VIRSorter_0000000771,15,VIRSorter_0000000771,15,2,3,,,4.57395298186382,,,
VIRSorter_0000000790,85,VIRSorter_0000000790,85,2,4,,,gene_4-gene_73:21.64945115980042,gene_2-gene_60:5.14985053147482,,
VIRSorter_0000000880,37,VIRSorter_0000000880,37,2,6,gene_17-gene_35:8.16196228389560,,gene_4-gene_35:9.87395192027839,,,
VIRSorter_0000000956,6,VIRSorter_0000000956,6,2,,2.32079407622154,,,,,
VIRSorter_0000001137,5,VIRSorter_0000001137,5,2,,2.74589609330056,,,,,2.06752623532285
VIRSorter_0000001591,23,VIRSorter_0000001591,23,2,1,gene_1-gene_10:2.00885250508456,,5.74260994581760,gene_14-gene_23:2.60681004672245,,
VIRSorter_0000001766,7,VIRSorter_0000001766,7,2,1,,,4.13606114410397,2.93695489510101,,
VIRSorter_0000001875,5,VIRSorter_0000001875,5,2,,2.74589609330056,,2.95432938864569,,,
VIRSorter_0000001883,71,VIRSorter_0000001883,71,2,3,,,gene_9-gene_69:8.42806435899279,gene_9-gene_69:4.13173625816254,,
VIRSorter_0000002385,15,VIRSorter_0000002385,15,2,2,,,4.57395298186382,,,
VIRSorter_0000002408,22,VIRSorter_0000002408,22,2,2,,,7.73787599264726,,,
VIRSorter_0000002627,15,VIRSorter_0000002627,15,2,1,,,4.57395298186382,2.72733547697483,,
VIRSorter_0000002718,5,VIRSorter_0000002718,5,2,2,,,2.95432938864569,,,
VIRSorter_0000002847,7,VIRSorter_0000002847,7,2,,3.02752262424226,,2.80793626646615,,,
VIRSorter_0000003131,27,VIRSorter_0000003131,27,2,,gene_1-gene_25:3.66774210187375,,gene_3-gene_25:5.53080313449539,,,
VIRSorter_0000003875,19,VIRSorter_0000003875,19,2,3,gene_8-gene_17:6.74101331921748,,9.48608898735939,,,
VIRSorter_0000003930,58,VIRSorter_0000003930,58,2,3,,,20.78493410700500,gene_5-gene_57:5.18277216790388,,
VIRSorter_0000004099,4,VIRSorter_0000004099,4,2,,2.01463059939908,,2.36346351091656,,,
VIRSorter_0000004121,25,VIRSorter_0000004121,25,2,3,gene_2-gene_25:11.05484506053021,,gene_2-gene_25:8.66905111044563,,,
VIRSorter_0000004137,19,VIRSorter_0000004137,19,2,2,,,9.48608898735939,gene_10-gene_19:2.88763665629814,,
VIRSorter_0000004166,87,VIRSorter_0000004166,87,2,,gene_17-gene_51:6.82281214285739,,gene_1-gene_85:33.79321182873504,gene_48-gene_85:2.15327529466056;gene_1-gene_16:6.32559563210781,4.14633225323001,gene_4-gene_13:2.93890143412500
VIRSorter_0000004531,32,VIRSorter_0000004531,32,2,2,gene_9-gene_25:3.15798180185437,,7.70271469115172,,,
VIRSorter_0000004591,20,VIRSorter_0000004591,20,2,3,gene_2-gene_17:3.11687033514237,,5.52932182135166,,,
VIRSorter_0000005118,46,VIRSorter_0000005118,46,2,3,gene_28-gene_41:9.02697108717659,,gene_2-gene_46:21.62334866454648,,,gene_7-gene_18:5.41624992005582
VIRSorter_0000005173,17,VIRSorter_0000005173,17,2,,gene_3-gene_17:4.87966717159009,,gene_3-gene_17:3.22739721099689,,,
VIRSorter_0000005479,40,VIRSorter_0000005479,40,2,2,gene_8-gene_34:6.46315464769617,,12.78917890997816,,,
VIRSorter_0000006081,26,VIRSorter_0000006081,26,2,1,,,gene_1-gene_24:8.61789858799824,gene_14-gene_24:4.56263110884942,,
VIRSorter_0000006263,28,VIRSorter_0000006263,28,2,4,,,gene_1-gene_27:5.38851701191257,,,
VIRSorter_0000006320,32,VIRSorter_0000006320,32,2,5,gene_6-gene_24:6.94044079606263,,14.49486059430968,,,
VIRSorter_0000006694,42,VIRSorter_0000006694,42,2,4,gene_12-gene_29:3.52484167850345,,gene_1-gene_41:16.05081693146932,gene_2-gene_41:2.36275775110693,,
VIRSorter_0000006700,6,VIRSorter_0000006700,6,2,1,,,2.28063019090583,,,
VIRSorter_0000006760,4,VIRSorter_0000006760,4,2,,3.39255040348469,,2.36346351091656,,,
VIRSorter_0000006784,8,VIRSorter_0000006784,8,2,2,,,4.72692702183311,2.43596067191369,,
VIRSorter_0000006872,10,VIRSorter_0000006872,10,2,,2.99076999856501,,4.43179588839529,,,
VIRSorter_0000006888,31,VIRSorter_0000006888,31,2,2,,,gene_8-gene_31:7.06449653359161,gene_2-gene_31:2.76525969789920,,
VIRSorter_0000006985,5,VIRSorter_0000006985,5,2,,4.24068800435586,,2.95432938864569,,,2.06752623532285
VIRSorter_0000007356,6,VIRSorter_0000007356,6,2,1,,,3.54519526637483,2.38733732976581,,
VIRSorter_0000007362,39,VIRSorter_0000007362,39,2,5,gene_13-gene_35:11.23611856994978,,11.06301974038704,,,
VIRSorter_0000007779,12,VIRSorter_0000007779,12,2,,4.69034523551477,,4.75861606536203,,,
VIRSorter_0000007875,36,VIRSorter_0000007875,36,2,2,gene_7-gene_35:2.32693739590076,,gene_6-gene_36:13.78105086303194,,,
VIRSorter_0000007902,4,VIRSorter_0000007902,4,2,,2.01463059939908,,2.36346351091656,,,
VIRSorter_0000007999,18,VIRSorter_0000007999,18,2,3,,,gene_2-gene_17:6.12512482547915,,,
VIRSorter_0000008093,17,VIRSorter_0000008093,17,2,3,gene_2-gene_15:4.16401339535103,,gene_1-gene_16:4.87416324498760,,,
VIRSorter_0000008599,13,VIRSorter_0000008599,13,2,2,,,gene_1-gene_12:6.09039053274967,,,
VIRSorter_0000008659,74,VIRSorter_0000008659,74,2,4,gene_41-gene_59:6.04992258160711,,gene_9-gene_73:21.65371525745625,,,
VIRSorter_0000009038,37,VIRSorter_0000009038,37,2,5,gene_1-gene_36:3.82353769854644,,11.28044183659936,,,
VIRSorter_0000009060,8,VIRSorter_0000009060,8,2,,2.65574076849211,,4.72692702183311,,,2.29892011493682
VIRSorter_0000009210,4,VIRSorter_0000009210,4,2,,2.01463059939908,,,,,
VIRSorter_0000009233,10,VIRSorter_0000009233,10,2,1,,,5.90865877729139,3.46543697984530,,
VIRSorter_0000009411,53,VIRSorter_0000009411,53,2,3,gene_32-gene_50:6.38571468353030,,19.53632491035612,,,
VIRSorter_0000009454,33,VIRSorter_0000009454,33,2,,17.76308263032629,,gene_6-gene_33:10.55427628597051,,,
VIRSorter_0000009616,5,VIRSorter_0000009616,5,2,,2.74589609330056,,2.95432938864569,,,
VIRSorter_0000009669,5,VIRSorter_0000009669,5,2,,2.74589609330056,,2.95432938864569,,,
VIRSorter_0000009725,70,VIRSorter_0000009725,70,2,3,,,30.26408736674036,17.38122883901256,,
VIRSorter_0000009845,14,VIRSorter_0000009845,14,2,1,,,gene_3-gene_14:5.91429927369398,gene_3-gene_14:3.35539388170513,,gene_3-gene_14:2.09052541770330
VIRSorter_0000009908,20,VIRSorter_0000009908,20,2,3,gene_2-gene_11:2.21049786861263,,gene_1-gene_19:2.13377860707667,,,
VIRSorter_0000009944,15,VIRSorter_0000009944,15,2,4,gene_1-gene_14:10.55170711746249,,7.54076887120316,,,
VIRSorter_0000010070,4,VIRSorter_0000010070,4,2,,2.01463059939908,,2.36346351091656,,,
VIRSorter_0000010416,58,VIRSorter_0000010416,58,2,1,,,gene_1-gene_50:17.80196167823125,gene_1-gene_50:11.55552552741662,,
VIRSorter_0000010634,56,VIRSorter_0000010634,56,2,3,gene_14-gene_43:5.02733416175035,,gene_2-gene_51:17.83778866728448,,,
VIRSorter_0000010765,56,VIRSorter_0000010765,56,2,1,,,gene_12-gene_56:9.36836198670060,gene_4-gene_53:4.69292070477322,,
VIRSorter_0000010984,10,VIRSorter_0000010984,10,2,,2.11019320666663,,5.90865877729139,,,
VIRSorter_0000011085,40,VIRSorter_0000011085,40,2,3,,,20.93915343267535,7.94343631817229,,
VIRSorter_0000011341,29,VIRSorter_0000011341,29,2,2,,,gene_2-gene_27:6.99073208719259,,,
VIRSorter_0000011501,4,VIRSorter_0000011501,4,2,,3.39255040348469,,2.36346351091656,,,
VIRSorter_0000011812,5,VIRSorter_0000011812,5,2,,2.74589609330056,,2.95432938864569,,,
VIRSorter_0000011872,11,VIRSorter_0000011872,11,2,1,gene_2-gene_11:3.55292054943484,,gene_2-gene_11:3.95467463367563,,,
VIRSorter_0000011978,7,VIRSorter_0000011978,7,2,1,,,4.13606114410397,,,
VIRSorter_0000012795,45,VIRSorter_0000012795,45,2,4,gene_12-gene_45:15.17933116579540,,18.21662367886696,,,
VIRSorter_0000013117,8,VIRSorter_0000013117,8,2,,5.09143267451538,,4.72692702183311,,,
VIRSorter_0000013226,5,VIRSorter_0000013226,5,2,,2.74589609330056,,2.95432938864569,,,
VIRSorter_0000013275,22,VIRSorter_0000013275,22,2,4,gene_2-gene_19:3.28974829963977,,9.22869606367506,,,
VIRSorter_0000013276,10,VIRSorter_0000013276,10,2,,2.99076999856501,,4.43179588839529,,,
VIRSorter_0000013498,29,VIRSorter_0000013498,29,2,2,,,14.81289115941111,gene_1-gene_28:7.36982846529905,,
VIRSorter_0000013616,35,VIRSorter_0000013616,35,2,2,gene_2-gene_34:2.26983561949118,,gene_1-gene_31:15.77153509313748,gene_10-gene_28:3.51658275486093,,
VIRSorter_0000013871,8,VIRSorter_0000013871,8,2,,3.75410460607165,,3.34336788579149,,,
VIRSorter_0000013971,27,VIRSorter_0000013971,27,2,1,gene_1-gene_13:3.97166652370549,,7.60229651136968,,,
VIRSorter_0000014395,8,VIRSorter_0000014395,8,2,,2.65574076849211,,4.72692702183311,,,
VIRSorter_0000014399,21,VIRSorter_0000014399,21,2,5,gene_1-gene_20:3.67122097066867,,10.51608882962143,,,
VIRSorter_0000014684-circular,71,VIRSorter_0000014684-circular,71,2,3,,,gene_0-gene_69:16.78115042729845,gene_0-gene_68:4.28167223619392,,
VIRSorter_0000014698,17,VIRSorter_0000014698,17,2,3,,,gene_1-gene_15:7.30668566516979,gene_6-gene_15:4.57762708074818,,
VIRSorter_0000014930,14,VIRSorter_0000014930,14,2,2,gene_2-gene_14:3.83955554625852,,7.09603102915226,,,
VIRSorter_0000015285,8,VIRSorter_0000015285,8,2,2,,,3.34336788579149,,,
VIRSorter_0000015310,9,VIRSorter_0000015310,9,2,1,,,3.88508102084939,2.05924785546608,,
VIRSorter_0000015349,38,VIRSorter_0000015349,38,2,1,,,gene_1-gene_35:16.03135726752302,gene_3-gene_33:8.65932185814130,,gene_20-gene_30:6.36151074304536
VIRSorter_0000015586,26,VIRSorter_0000015586,26,2,1,,,13.17782139014001,gene_1-gene_23:8.52318921082252,,
VIRSorter_0000015746,27,VIRSorter_0000015746,27,2,6,gene_3-gene_27:4.59258521887446,,gene_3-gene_27:6.56042682995160,,,
VIRSorter_0000015998,43,VIRSorter_0000015998,43,2,5,gene_17-gene_30:7.16648795577937,,18.74563258174473,,,
VIRSorter_0000016145,8,VIRSorter_0000016145,8,2,,2.65574076849211,,3.34336788579149,,,
VIRSorter_0000016160,7,VIRSorter_0000016160,7,2,,2.00453255992896,,2.80793626646615,,,
VIRSorter_0000016388,5,VIRSorter_0000016388,5,2,,2.74589609330056,,,,,
VIRSorter_0000016408,29,VIRSorter_0000016408,29,2,4,gene_14-gene_26:8.70356951659132,,gene_4-gene_29:11.15746394591767,,,
VIRSorter_0000016581-circular,102,VIRSorter_0000016581-circular,102,2,,gene_78-gene_99:6.66957279164253,,gene_5-gene_102:47.69137264843396,gene_0-gene_77:11.97430270389218,gene_3-gene_102:2.70163864570166,
VIRSorter_0000016659,7,VIRSorter_0000016659,7,2,,2.00453255992896,,2.80793626646615,,,
VIRSorter_0000016866-circular,69,VIRSorter_0000016866-circular,69,2,4,,,gene_2-gene_67:16.37899328507235,gene_2-gene_69:5.56299406183812,gene_6-gene_69:2.35411825393629,
VIRSorter_0000017187,20,VIRSorter_0000017187,20,2,2,,,8.22718435362901,gene_8-gene_20:2.18321904030968,,
VIRSorter_0000017223,5,VIRSorter_0000017223,5,2,2,,,2.95432938864569,,,
VIRSorter_0000017296,25,VIRSorter_0000017296,25,2,4,gene_3-gene_16:7.80746601313770,,gene_3-gene_25:9.62605093927721,,,
VIRSorter_0000017490,36,VIRSorter_0000017490,36,2,4,gene_5-gene_20:7.34057254323488,,gene_1-gene_33:10.44043855426202,,,
VIRSorter_0000017553,3,VIRSorter_0000017553,3,2,,2.54441280261352,,,,,
VIRSorter_0000017796,7,VIRSorter_0000017796,7,2,,2.00453255992896,,,,,2.56415563401556
VIRSorter_0000017936,63,VIRSorter_0000017936,63,2,3,gene_9-gene_54:4.10404419761862,,gene_3-gene_62:20.43876678137448,gene_3-gene_62:2.15483841946116,,
VIRSorter_0000017975,23,VIRSorter_0000017975,23,2,3,gene_5-gene_16:3.44730718682847,,gene_5-gene_23:6.03137507771787,,,
VIRSorter_0000018103,36,VIRSorter_0000018103,36,2,,gene_18-gene_36:3.32324317446732,,12.05666979864727,,,gene_12-gene_36:2.35502700985050
VIRSorter_0000018325,22,VIRSorter_0000018325,22,2,1,,,11.04000791771996,6.85047503703771,,
VIRSorter_0000018346,8,VIRSorter_0000018346,8,2,,2.65574076849211,,4.72692702183311,,,
VIRSorter_0000018492,5,VIRSorter_0000018492,5,2,,2.74589609330056,,,,,2.06752623532285
VIRSorter_0000018528,6,VIRSorter_0000018528,6,2,,3.51717519564922,,3.54519526637483,,,
VIRSorter_0000018654,10,VIRSorter_0000018654,10,2,1,,,4.43179588839529,2.51739980934324,,2.78649887135540
VIRSorter_0000018682,6,VIRSorter_0000018682,6,2,,2.32079407622154,,,,,
VIRSorter_0000018861,83,VIRSorter_0000018861,83,2,3,,,gene_7-gene_75:19.95340186775754,gene_8-gene_74:7.77127372065168,,gene_35-gene_73:2.17695362914599
VIRSorter_0000019347,16,VIRSorter_0000019347,16,2,3,gene_3-gene_16:5.50255009972165,,gene_1-gene_14:3.91865959966139,,,
VIRSorter_0000019563,15,VIRSorter_0000019563,15,2,1,,,gene_3-gene_15:4.77158651998587,,,
VIRSorter_0000019719,48,VIRSorter_0000019719,48,2,7,gene_15-gene_37:8.16051502974551,,gene_1-gene_46:14.52108115169727,,,
VIRSorter_0000019842,4,VIRSorter_0000019842,4,2,,2.01463059939908,,2.36346351091656,,,
VIRSorter_0000019915,4,VIRSorter_0000019915,4,2,,2.01463059939908,,2.36346351091656,,,
VIRSorter_0000020077,6,VIRSorter_0000020077,6,2,,2.32079407622154,,,,,
VIRSorter_0000020201,32,VIRSorter_0000020201,32,2,2,gene_6-gene_30:4.38467224720140,,10.04156887179037,,,
VIRSorter_0000020233,7,VIRSorter_0000020233,7,2,,2.00453255992896,,4.13606114410397,,,
VIRSorter_0000020574,18,VIRSorter_0000020574,18,2,6,gene_4-gene_16:5.90513913843092,,gene_1-gene_16:7.80064152989088,,,
VIRSorter_0000020702,33,VIRSorter_0000020702,33,2,4,gene_6-gene_33:5.29464329908177,,13.36519549965797,,,
VIRSorter_0000020803,21,VIRSorter_0000020803,21,2,2,gene_4-gene_16:2.07495972039091,,gene_4-gene_21:8.74349119643402,,,
VIRSorter_0000021227,7,VIRSorter_0000021227,7,2,,2.00453255992896,,2.80793626646615,,,2.56415563401556
VIRSorter_0000021310,3,VIRSorter_0000021310,3,2,,2.54441280261352,,,,,
VIRSorter_0000021696,7,VIRSorter_0000021696,7,2,,2.00453255992896,,2.80793626646615,,,
VIRSorter_0000021703,11,VIRSorter_0000021703,11,2,,gene_2-gene_11:4.77172904217161,,gene_2-gene_11:5.43153752257173,,,
VIRSorter_0000022607,17,VIRSorter_0000022607,17,2,3,gene_3-gene_14:6.75453011141458,,6.78711139802857,,,
VIRSorter_0000022616,5,VIRSorter_0000022616,5,2,,2.74589609330056,,2.95432938864569,,,
VIRSorter_0000022618,48,VIRSorter_0000022618,48,2,3,gene_2-gene_48:9.22546773342314,,gene_4-gene_48:9.52857648365744,,,
VIRSorter_0000022787,65,VIRSorter_0000022787,65,2,4,gene_22-gene_41:2.36028268634444,,gene_1-gene_63:19.46313887463815,4.47814725952053,,gene_43-gene_65:3.12711413416597
VIRSorter_0000022929,4,VIRSorter_0000022929,4,2,,2.01463059939908,,2.36346351091656,,,
VIRSorter_0000023808,62,VIRSorter_0000023808,62,2,3,,,gene_3-gene_62:28.11899930334606,gene_8-gene_62:15.16196774949828,,gene_32-gene_47:3.18863960978594
VIRSorter_0000023884,38,VIRSorter_0000023884,38,2,5,gene_11-gene_31:3.56802385125929,,gene_2-gene_33:16.26921883037780,,,
VIRSorter_0000024023,8,VIRSorter_0000024023,8,2,1,,,4.72692702183311,,,
VIRSorter_0000024030,6,VIRSorter_0000024030,6,2,,3.51717519564922,,3.54519526637483,,,
VIRSorter_0000024081,17,VIRSorter_0000024081,17,2,1,,,4.23930345530703,,,
VIRSorter_0000024096,4,VIRSorter_0000024096,4,2,,2.01463059939908,,2.36346351091656,,,
VIRSorter_0000024208,32,VIRSorter_0000024208,32,2,1,,,6.66320681550952,,,
VIRSorter_0000024246,3,VIRSorter_0000024246,3,2,,2.54441280261352,,,,,
VIRSorter_0000024442,39,VIRSorter_0000024442,39,2,3,,,12.28372365220620,gene_9-gene_26:3.95901831723490,,
VIRSorter_0000024564,5,VIRSorter_0000024564,5,2,1,,,2.95432938864569,,,2.06752623532285
VIRSorter_0000025068,6,VIRSorter_0000025068,6,2,,2.32079407622154,,,,,
VIRSorter_0000025447,4,VIRSorter_0000025447,4,2,,2.01463059939908,,,,,
VIRSorter_0000025719,6,VIRSorter_0000025719,6,2,1,,,3.54519526637483,,,
