Gene_1	Gene_2	Identity	end_match	full_length_match	direction
C-1_maxbin.005.fasta.contigs_01557	D43_maxbin.065.fasta.contigs_01165	91.107	no	no	C-1_maxbin.005.fasta.contigs-->D43_maxbin.065.fasta.contigs
C-1_maxbin.005.fasta.contigs_01705	D38_maxbin.009.fasta.contigs_01149	99.534	no	no	C-1_maxbin.005.fasta.contigs-->D38_maxbin.009.fasta.contigs
C-1_maxbin.005.fasta.contigs_01821	D43_maxbin.009.fasta.contigs_02364	100.0	no	no	C-1_maxbin.005.fasta.contigs-->D43_maxbin.009.fasta.contigs
C-1_maxbin.005.fasta.contigs_02081	D43_maxbin.025.fasta.contigs_00239	83.254	no	no	C-1_maxbin.005.fasta.contigs-->D43_maxbin.025.fasta.contigs
C-1_maxbin.005.fasta.contigs_02084	D43_maxbin.065.fasta.contigs_01929	86.503	no	no	C-1_maxbin.005.fasta.contigs-->D43_maxbin.065.fasta.contigs
C-1_maxbin.005.fasta.contigs_02255	C-1_maxbin.041.fasta.contigs_00556	82.192	no	no	C-1_maxbin.041.fasta.contigs-->C-1_maxbin.005.fasta.contigs
C-1_maxbin.005.fasta.contigs_02629	C-1_maxbin.041.fasta.contigs_01470	81.366	no	no	C-1_maxbin.005.fasta.contigs-->C-1_maxbin.041.fasta.contigs
C-1_maxbin.005.fasta.contigs_02633	D38_maxbin.009.fasta.contigs_00207	100.0	no	no	C-1_maxbin.005.fasta.contigs-->D38_maxbin.009.fasta.contigs
C-1_maxbin.005.fasta.contigs_02906	C-1_maxbin.015.fasta.contigs_00953	81.234	no	no	C-1_maxbin.005.fasta.contigs-->C-1_maxbin.015.fasta.contigs
C-1_maxbin.013.fasta.contigs_00545	D43_maxbin.081.fasta_sub.contigs_00074	76.032	no	no	C-1_maxbin.013.fasta.contigs-->D43_maxbin.081.fasta_sub.contigs
C-1_maxbin.013.fasta.contigs_00748	D43_maxbin.038.fasta.contigs_01128	84.818	no	no	C-1_maxbin.013.fasta.contigs-->D43_maxbin.038.fasta.contigs
C-1_maxbin.013.fasta.contigs_00910	D43_metabat2.114.fa.contigs_00006	97.849	no	no	C-1_maxbin.013.fasta.contigs-->D43_metabat2.114.fa.contigs
C-1_maxbin.013.fasta.contigs_01015	D43_metabat2.114.fa.contigs_00260	83.976	no	no	C-1_maxbin.013.fasta.contigs-->D43_metabat2.114.fa.contigs
C-1_maxbin.013.fasta.contigs_01016	D43_metabat2.114.fa.contigs_00261	83.703	no	no	C-1_maxbin.013.fasta.contigs-->D43_metabat2.114.fa.contigs
C-1_maxbin.014.fasta.contigs_01103	D38_maxbin.013.fasta.contigs_01183	100.0	no	no	C-1_maxbin.014.fasta.contigs-->D38_maxbin.013.fasta.contigs
C-1_maxbin.014.fasta.contigs_03326	D38_maxbin.013.fasta.contigs_02397	100.0	no	no	C-1_maxbin.014.fasta.contigs-->D38_maxbin.013.fasta.contigs
C-1_maxbin.014.fasta.contigs_04129	D38_maxbin.013.fasta.contigs_01494	100.0	no	no	C-1_maxbin.014.fasta.contigs-->D38_maxbin.013.fasta.contigs
C-1_maxbin.022.fasta.contigs_01829	D43_maxbin.072.fasta.contigs_00838	99.725	no	no	C-1_maxbin.022.fasta.contigs-->D43_maxbin.072.fasta.contigs
C-1_maxbin.026.fasta_sub.contigs_00244	D43_maxbin.065.fasta.contigs_01329	78.344	no	no	D43_maxbin.065.fasta.contigs-->C-1_maxbin.026.fasta_sub.contigs
C-1_maxbin.026.fasta_sub.contigs_00365	D43_maxbin.046.fasta.contigs_01588	100.0	no	no	D43_maxbin.046.fasta.contigs-->C-1_maxbin.026.fasta_sub.contigs
C-1_maxbin.026.fasta_sub.contigs_00566	D43_maxbin.120.fasta.contigs_03171	85.783	no	no	C-1_maxbin.026.fasta_sub.contigs-->D43_maxbin.120.fasta.contigs
C-1_maxbin.026.fasta_sub.contigs_00811	C-1_metabat2.79.fa.contigs_01969	77.915	no	no	C-1_metabat2.79.fa.contigs-->C-1_maxbin.026.fasta_sub.contigs
C-1_maxbin.026.fasta_sub.contigs_00836	D43_maxbin.025.fasta.contigs_04015	82.854	no	no	C-1_maxbin.026.fasta_sub.contigs-->D43_maxbin.025.fasta.contigs
C-1_maxbin.026.fasta_sub.contigs_00872	D43_maxbin.007.fasta.contigs_02956	80.491	no	no	C-1_maxbin.026.fasta_sub.contigs-->D43_maxbin.007.fasta.contigs
C-1_maxbin.026.fasta_sub.contigs_00913	D43_maxbin.065.fasta.contigs_01620	80.191	no	no	D43_maxbin.065.fasta.contigs-->C-1_maxbin.026.fasta_sub.contigs
C-1_maxbin.026.fasta_sub.contigs_00917	D43_maxbin.065.fasta.contigs_01616	81.02	no	no	D43_maxbin.065.fasta.contigs-->C-1_maxbin.026.fasta_sub.contigs
C-1_maxbin.026.fasta_sub.contigs_00923	D43_maxbin.065.fasta.contigs_02197	78.763	no	no	D43_maxbin.065.fasta.contigs-->C-1_maxbin.026.fasta_sub.contigs
C-1_maxbin.026.fasta_sub.contigs_00966	D43_maxbin.065.fasta.contigs_01118	83.248	no	no	D43_maxbin.065.fasta.contigs-->C-1_maxbin.026.fasta_sub.contigs
C-1_maxbin.026.fasta_sub.contigs_01088	C-1_metabat2.79.fa.contigs_01884	80.357	no	no	C-1_metabat2.79.fa.contigs-->C-1_maxbin.026.fasta_sub.contigs
C-1_maxbin.026.fasta_sub.contigs_01146	D43_maxbin.065.fasta.contigs_00556	79.516	no	no	D43_maxbin.065.fasta.contigs-->C-1_maxbin.026.fasta_sub.contigs
C-1_maxbin.026.fasta_sub.contigs_01337	D43_maxbin.065.fasta.contigs_01455	99.808	no	no	C-1_maxbin.026.fasta_sub.contigs-->D43_maxbin.065.fasta.contigs
C-1_maxbin.026.fasta_sub.contigs_01445	D43_maxbin.025.fasta.contigs_02029	81.963	no	no	C-1_maxbin.026.fasta_sub.contigs-->D43_maxbin.025.fasta.contigs
C-1_maxbin.026.fasta_sub.contigs_01447	D43_maxbin.047.fasta.contigs_01210	79.468	no	no	D43_maxbin.047.fasta.contigs-->C-1_maxbin.026.fasta_sub.contigs
C-1_maxbin.026.fasta_sub.contigs_01575	D43_maxbin.007.fasta.contigs_00794	79.167	no	no	C-1_maxbin.026.fasta_sub.contigs-->D43_maxbin.007.fasta.contigs
C-1_maxbin.026.fasta_sub.contigs_01675	D43_maxbin.025.fasta.contigs_00896	83.521	no	no	C-1_maxbin.026.fasta_sub.contigs-->D43_maxbin.025.fasta.contigs
C-1_maxbin.026.fasta_sub.contigs_01747	C-1_metabat2.79.fa.contigs_00992	78.75	no	no	C-1_metabat2.79.fa.contigs-->C-1_maxbin.026.fasta_sub.contigs
C-1_maxbin.026.fasta_sub.contigs_01841	D43_maxbin.065.fasta.contigs_00614	79.534	no	no	D43_maxbin.065.fasta.contigs-->C-1_maxbin.026.fasta_sub.contigs
C-1_maxbin.026.fasta_sub.contigs_01859	C-1_maxbin.030.fasta.contigs_00775	81.38	no	no	C-1_maxbin.030.fasta.contigs-->C-1_maxbin.026.fasta_sub.contigs
C-1_maxbin.026.fasta_sub.contigs_01861	C-1_maxbin.030.fasta.contigs_00773	84.058	no	no	C-1_maxbin.030.fasta.contigs-->C-1_maxbin.026.fasta_sub.contigs
C-1_maxbin.026.fasta_sub.contigs_01862	C-1_maxbin.030.fasta.contigs_00772	87.687	no	no	C-1_maxbin.030.fasta.contigs-->C-1_maxbin.026.fasta_sub.contigs
C-1_maxbin.026.fasta_sub.contigs_01863	C-1_maxbin.030.fasta.contigs_00771	87.339	no	no	C-1_maxbin.030.fasta.contigs-->C-1_maxbin.026.fasta_sub.contigs
C-1_maxbin.026.fasta_sub.contigs_01877	C-1_maxbin.030.fasta.contigs_00757	83.258	no	no	C-1_maxbin.026.fasta_sub.contigs-->C-1_maxbin.030.fasta.contigs
C-1_maxbin.026.fasta_sub.contigs_01884	C-1_maxbin.030.fasta.contigs_00751	88.347	no	no	C-1_maxbin.026.fasta_sub.contigs-->C-1_maxbin.030.fasta.contigs
C-1_maxbin.026.fasta_sub.contigs_01887	C-1_maxbin.032.fasta.contigs_00808	81.875	no	no	C-1_maxbin.026.fasta_sub.contigs-->C-1_maxbin.032.fasta.contigs
C-1_maxbin.026.fasta_sub.contigs_01892	C-1_maxbin.041.fasta.contigs_00351	80.171	no	no	C-1_maxbin.026.fasta_sub.contigs-->C-1_maxbin.041.fasta.contigs
C-1_maxbin.026.fasta_sub.contigs_02039	D43_maxbin.065.fasta.contigs_02698	83.146	no	no	C-1_maxbin.026.fasta_sub.contigs-->D43_maxbin.065.fasta.contigs
C-1_maxbin.026.fasta_sub.contigs_02119	D43_maxbin.065.fasta.contigs_02440	82.437	no	no	C-1_maxbin.026.fasta_sub.contigs-->D43_maxbin.065.fasta.contigs
C-1_maxbin.026.fasta_sub.contigs_02123	D43_maxbin.065.fasta.contigs_01068	78.0	no	no	C-1_maxbin.026.fasta_sub.contigs-->D43_maxbin.065.fasta.contigs
C-1_maxbin.033.fasta_sub.contigs_00181	D43_maxbin.065.fasta.contigs_01557	79.809	no	no	C-1_maxbin.033.fasta_sub.contigs-->D43_maxbin.065.fasta.contigs
C-1_maxbin.033.fasta_sub.contigs_00240	D43_maxbin.065.fasta.contigs_00557	89.796	no	no	C-1_maxbin.033.fasta_sub.contigs-->D43_maxbin.065.fasta.contigs
C-1_maxbin.033.fasta_sub.contigs_00263	D43_maxbin.065.fasta.contigs_00366	80.415	no	no	C-1_maxbin.033.fasta_sub.contigs-->D43_maxbin.065.fasta.contigs
C-1_maxbin.033.fasta_sub.contigs_00379	D43_maxbin.065.fasta.contigs_02086	89.431	no	no	C-1_maxbin.033.fasta_sub.contigs-->D43_maxbin.065.fasta.contigs
C-1_maxbin.033.fasta_sub.contigs_00511	D43_maxbin.065.fasta.contigs_02655	79.596	no	no	C-1_maxbin.033.fasta_sub.contigs-->D43_maxbin.065.fasta.contigs
C-1_maxbin.033.fasta_sub.contigs_00570	C-1_maxbin.018.fasta.contigs_01230	83.122	no	no	C-1_maxbin.033.fasta_sub.contigs-->C-1_maxbin.018.fasta.contigs
C-1_maxbin.033.fasta_sub.contigs_00975	D43_maxbin.041.fasta.contigs_01593	85.7	no	no	D43_maxbin.041.fasta.contigs-->C-1_maxbin.033.fasta_sub.contigs
C-1_maxbin.033.fasta_sub.contigs_01017	D43_maxbin.062.fasta.contigs_02354	79.31	no	no	C-1_maxbin.033.fasta_sub.contigs-->D43_maxbin.062.fasta.contigs
C-1_maxbin.033.fasta_sub.contigs_01206	D43_maxbin.025.fasta.contigs_00542	85.624	no	no	C-1_maxbin.033.fasta_sub.contigs-->D43_maxbin.025.fasta.contigs
C-1_maxbin.033.fasta_sub.contigs_01419	D43_maxbin.065.fasta.contigs_01509	80.313	no	no	D43_maxbin.065.fasta.contigs-->C-1_maxbin.033.fasta_sub.contigs
C-1_maxbin.033.fasta_sub.contigs_01478	D43_maxbin.065.fasta.contigs_01965	90.306	no	no	C-1_maxbin.033.fasta_sub.contigs-->D43_maxbin.065.fasta.contigs
C-1_maxbin.054.fasta_sub.contigs_00061	C-1_maxbin.030.fasta.contigs_03323	78.768	no	no	C-1_maxbin.054.fasta_sub.contigs-->C-1_maxbin.030.fasta.contigs
C-1_maxbin.054.fasta_sub.contigs_00106	C-1_maxbin.017.fasta.contigs_00125	74.479	no	no	C-1_maxbin.054.fasta_sub.contigs-->C-1_maxbin.017.fasta.contigs
C-1_maxbin.054.fasta_sub.contigs_00658	D43_metabat2.151.fa.contigs_00054	85.056	no	no	C-1_maxbin.054.fasta_sub.contigs-->D43_metabat2.151.fa.contigs
C-1_maxbin.054.fasta_sub.contigs_00690	C-1_maxbin.030.fasta.contigs_02959	79.073	no	no	C-1_maxbin.054.fasta_sub.contigs-->C-1_maxbin.030.fasta.contigs
C-1_maxbin.054.fasta_sub.contigs_01028	C-1_maxbin.030.fasta.contigs_02697	79.403	no	no	C-1_maxbin.030.fasta.contigs-->C-1_maxbin.054.fasta_sub.contigs
C-1_maxbin.054.fasta_sub.contigs_01093	C-1_maxbin.032.fasta.contigs_02081	88.262	no	no	C-1_maxbin.032.fasta.contigs-->C-1_maxbin.054.fasta_sub.contigs
C-1_maxbin.054.fasta_sub.contigs_01267	D43_maxbin.047.fasta.contigs_00920	84.743	no	no	C-1_maxbin.054.fasta_sub.contigs-->D43_maxbin.047.fasta.contigs
C-1_maxbin.054.fasta_sub.contigs_01470	D43_maxbin.085.fasta.contigs_00316	75.967	no	no	C-1_maxbin.054.fasta_sub.contigs-->D43_maxbin.085.fasta.contigs
C-1_maxbin.054.fasta_sub.contigs_01804	D43_metabat2.151.fa.contigs_00193	80.965	no	no	C-1_maxbin.054.fasta_sub.contigs-->D43_metabat2.151.fa.contigs
C-1_maxbin.054.fasta_sub.contigs_02534	D43_metabat2.151.fa.contigs_00054	82.919	no	no	C-1_maxbin.054.fasta_sub.contigs-->D43_metabat2.151.fa.contigs
C-1_maxbin.054.fasta_sub.contigs_02545	D43_maxbin.085.fasta.contigs_00915	75.73	no	no	D43_maxbin.085.fasta.contigs-->C-1_maxbin.054.fasta_sub.contigs
C-1_maxbin.054.fasta_sub.contigs_02560	D43_maxbin.025.fasta.contigs_03657	81.538	no	no	C-1_maxbin.054.fasta_sub.contigs-->D43_maxbin.025.fasta.contigs
C-1_maxbin.054.fasta_sub.contigs_02879	D43_maxbin.161.fasta.contigs_02333	79.887	no	no	C-1_maxbin.054.fasta_sub.contigs-->D43_maxbin.161.fasta.contigs
C-1_maxbin.054.fasta_sub.contigs_03241	C-1_metabat2.43.fa.contigs_00748	76.673	no	no	C-1_maxbin.054.fasta_sub.contigs-->C-1_metabat2.43.fa.contigs
C-1_metabat2.18.fa_sub.contigs_00076	C-1_metabat2.47.fa_sub.contigs_00030	85.714	no	no	C-1_metabat2.18.fa_sub.contigs-->C-1_metabat2.47.fa_sub.contigs
C-1_metabat2.18.fa_sub.contigs_00091	C-1_metabat2.47.fa_sub.contigs_00045	82.338	no	no	C-1_metabat2.18.fa_sub.contigs-->C-1_metabat2.47.fa_sub.contigs
C-1_metabat2.18.fa_sub.contigs_00118	C-1_maxbin.041.fasta.contigs_00809	80.775	no	no	C-1_metabat2.18.fa_sub.contigs-->C-1_maxbin.041.fasta.contigs
C-1_metabat2.77.fa.contigs_00198	D43_metabat2.151.fa.contigs_00133	79.853	no	no	C-1_metabat2.77.fa.contigs-->D43_metabat2.151.fa.contigs
C-1_metabat2.77.fa.contigs_00378	D43_maxbin.145.fasta.contigs_01491	92.566	no	no	C-1_metabat2.77.fa.contigs-->D43_maxbin.145.fasta.contigs
C-1_metabat2.77.fa.contigs_00923	D43_maxbin.041.fasta.contigs_01312	82.075	no	no	C-1_metabat2.77.fa.contigs-->D43_maxbin.041.fasta.contigs
D38_maxbin.004.fasta.contigs_00110	D43_maxbin.075.fasta.contigs_00264	100.0	no	no	D38_maxbin.004.fasta.contigs-->D43_maxbin.075.fasta.contigs
D38_maxbin.008.fasta.contigs_00799	D43_maxbin.067.fasta.contigs_00443	92.468	no	no	D43_maxbin.067.fasta.contigs-->D38_maxbin.008.fasta.contigs
D38_maxbin.008.fasta.contigs_00800	D43_maxbin.067.fasta.contigs_00442	92.096	no	no	D43_maxbin.067.fasta.contigs-->D38_maxbin.008.fasta.contigs
D38_maxbin.008.fasta.contigs_00809	D43_maxbin.067.fasta.contigs_00433	93.769	no	no	D43_maxbin.067.fasta.contigs-->D38_maxbin.008.fasta.contigs
D38_maxbin.008.fasta.contigs_00810	D43_maxbin.067.fasta.contigs_00432	90.926	no	no	D43_maxbin.067.fasta.contigs-->D38_maxbin.008.fasta.contigs
D38_maxbin.008.fasta.contigs_02193	D38_maxbin.009.fasta.contigs_01942	96.19	no	no	D38_maxbin.008.fasta.contigs-->D38_maxbin.009.fasta.contigs
D38_maxbin.009.fasta.contigs_00911	D43_maxbin.161.fasta.contigs_01697	92.258	no	no	D38_maxbin.009.fasta.contigs-->D43_maxbin.161.fasta.contigs
D38_maxbin.009.fasta.contigs_02352	D38_maxbin.001.fasta.contigs_01598	73.641	no	no	D38_maxbin.009.fasta.contigs-->D38_maxbin.001.fasta.contigs
D38_maxbin.010.fasta.contigs_03287	C-1_maxbin.049.fasta.contigs_03082	99.467	no	no	D38_maxbin.010.fasta.contigs-->C-1_maxbin.049.fasta.contigs
D38_maxbin.011.fasta.contigs_00114	D43_maxbin.034.fasta.contigs_01778	91.253	no	no	D38_maxbin.011.fasta.contigs-->D43_maxbin.034.fasta.contigs
D38_maxbin.011.fasta.contigs_00318	D43_maxbin.009.fasta.contigs_00706	85.441	no	no	D38_maxbin.011.fasta.contigs-->D43_maxbin.009.fasta.contigs
D38_maxbin.011.fasta.contigs_00320	D43_maxbin.009.fasta.contigs_00704	84.929	no	no	D38_maxbin.011.fasta.contigs-->D43_maxbin.009.fasta.contigs
D38_maxbin.011.fasta.contigs_00730	D43_maxbin.067.fasta.contigs_01134	94.841	no	no	D38_maxbin.011.fasta.contigs-->D43_maxbin.067.fasta.contigs
D38_maxbin.011.fasta.contigs_00968	D43_maxbin.025.fasta.contigs_01574	87.384	no	no	D38_maxbin.011.fasta.contigs-->D43_maxbin.025.fasta.contigs
D38_maxbin.011.fasta.contigs_01121	D43_maxbin.035.fasta.contigs_00053	81.279	no	no	D38_maxbin.011.fasta.contigs-->D43_maxbin.035.fasta.contigs
D38_maxbin.011.fasta.contigs_01299	C-1_maxbin.051.fasta.contigs_00718	79.641	no	no	D38_maxbin.011.fasta.contigs-->C-1_maxbin.051.fasta.contigs
D38_maxbin.011.fasta.contigs_01390	D43_maxbin.005.fasta.contigs_00801	80.237	no	no	D38_maxbin.011.fasta.contigs-->D43_maxbin.005.fasta.contigs
D38_maxbin.011.fasta.contigs_01446	D43_maxbin.009.fasta.contigs_02311	95.238	no	no	D38_maxbin.011.fasta.contigs-->D43_maxbin.009.fasta.contigs
D38_maxbin.011.fasta.contigs_01452	D43_maxbin.025.fasta.contigs_03437	100.0	no	no	D38_maxbin.011.fasta.contigs-->D43_maxbin.025.fasta.contigs
D38_maxbin.011.fasta.contigs_01656	D43_maxbin.007.fasta.contigs_01566	83.824	no	no	D38_maxbin.011.fasta.contigs-->D43_maxbin.007.fasta.contigs
D38_maxbin.011.fasta.contigs_02018	D38_maxbin.009.fasta.contigs_01944	92.949	no	no	D38_maxbin.011.fasta.contigs-->D38_maxbin.009.fasta.contigs
D38_maxbin.011.fasta.contigs_02189	D43_maxbin.046.fasta.contigs_00572	81.623	no	no	D38_maxbin.011.fasta.contigs-->D43_maxbin.046.fasta.contigs
D38_maxbin.011.fasta.contigs_02268	D43_maxbin.007.fasta.contigs_01029	92.473	no	no	D38_maxbin.011.fasta.contigs-->D43_maxbin.007.fasta.contigs
D38_maxbin.011.fasta.contigs_02360	D43_maxbin.120.fasta.contigs_00426	78.0	no	no	D38_maxbin.011.fasta.contigs-->D43_maxbin.120.fasta.contigs
D38_maxbin.011.fasta.contigs_02706	D43_maxbin.005.fasta.contigs_01044	86.215	no	no	D38_maxbin.011.fasta.contigs-->D43_maxbin.005.fasta.contigs
D38_maxbin.011.fasta.contigs_02799	D43_maxbin.035.fasta.contigs_01418	84.384	no	no	D38_maxbin.011.fasta.contigs-->D43_maxbin.035.fasta.contigs
D38_maxbin.011.fasta.contigs_02870	D43_maxbin.047.fasta.contigs_01897	91.87	no	no	D38_maxbin.011.fasta.contigs-->D43_maxbin.047.fasta.contigs
D38_maxbin.011.fasta.contigs_02911	D43_maxbin.007.fasta.contigs_01566	88.014	no	no	D38_maxbin.011.fasta.contigs-->D43_maxbin.007.fasta.contigs
D38_maxbin.011.fasta.contigs_03719	D43_maxbin.025.fasta.contigs_03437	87.843	no	no	D38_maxbin.011.fasta.contigs-->D43_maxbin.025.fasta.contigs
D38_maxbin.011.fasta.contigs_04354	D43_maxbin.067.fasta.contigs_00776	92.738	no	no	D38_maxbin.011.fasta.contigs-->D43_maxbin.067.fasta.contigs
D38_maxbin.011.fasta.contigs_04466	D43_maxbin.065.fasta.contigs_02582	78.194	no	no	D38_maxbin.011.fasta.contigs-->D43_maxbin.065.fasta.contigs
D43_maxbin.007.fasta.contigs_01328	C-1_maxbin.030.fasta.contigs_01905	100.0	no	no	D43_maxbin.007.fasta.contigs-->C-1_maxbin.030.fasta.contigs
D43_maxbin.007.fasta.contigs_01329	C-1_maxbin.030.fasta.contigs_01906	100.0	no	no	D43_maxbin.007.fasta.contigs-->C-1_maxbin.030.fasta.contigs
D43_maxbin.007.fasta.contigs_03079	C-1_maxbin.054.fasta_sub.contigs_01213	79.778	no	no	D43_maxbin.007.fasta.contigs-->C-1_maxbin.054.fasta_sub.contigs
D43_maxbin.009.fasta.contigs_00120	D43_maxbin.066.fasta.contigs_00399	73.524	no	no	D43_maxbin.009.fasta.contigs-->D43_maxbin.066.fasta.contigs
D43_maxbin.009.fasta.contigs_00204	C-1_metabat2.79.fa.contigs_00504	78.506	no	no	D43_maxbin.009.fasta.contigs-->C-1_metabat2.79.fa.contigs
D43_maxbin.009.fasta.contigs_00205	C-1_metabat2.79.fa.contigs_00503	83.733	no	no	D43_maxbin.009.fasta.contigs-->C-1_metabat2.79.fa.contigs
D43_maxbin.009.fasta.contigs_00416	D43_maxbin.047.fasta.contigs_02261	77.99	no	no	D43_maxbin.009.fasta.contigs-->D43_maxbin.047.fasta.contigs
D43_maxbin.009.fasta.contigs_00740	C-1_maxbin.030.fasta.contigs_03056	79.103	no	no	D43_maxbin.009.fasta.contigs-->C-1_maxbin.030.fasta.contigs
D43_maxbin.009.fasta.contigs_00890	C-1_maxbin.030.fasta.contigs_03353	89.941	no	no	D43_maxbin.009.fasta.contigs-->C-1_maxbin.030.fasta.contigs
D43_maxbin.009.fasta.contigs_01437	D43_maxbin.025.fasta.contigs_01086	90.239	no	no	D43_maxbin.025.fasta.contigs-->D43_maxbin.009.fasta.contigs
D43_maxbin.009.fasta.contigs_01438	D43_maxbin.025.fasta.contigs_01085	86.965	no	no	D43_maxbin.025.fasta.contigs-->D43_maxbin.009.fasta.contigs
D43_maxbin.009.fasta.contigs_01590	C-1_maxbin.041.fasta.contigs_00378	83.448	no	no	D43_maxbin.009.fasta.contigs-->C-1_maxbin.041.fasta.contigs
D43_maxbin.009.fasta.contigs_01591	C-1_maxbin.041.fasta.contigs_00377	82.228	no	no	D43_maxbin.009.fasta.contigs-->C-1_maxbin.041.fasta.contigs
D43_maxbin.009.fasta.contigs_01619	D43_maxbin.120.fasta.contigs_01768	79.145	no	no	D43_maxbin.009.fasta.contigs-->D43_maxbin.120.fasta.contigs
D43_maxbin.009.fasta.contigs_01729	D38_maxbin.011.fasta.contigs_04074	95.745	no	no	D43_maxbin.009.fasta.contigs-->D38_maxbin.011.fasta.contigs
D43_maxbin.009.fasta.contigs_01874	D43_maxbin.046.fasta.contigs_01882	83.803	no	no	D43_maxbin.046.fasta.contigs-->D43_maxbin.009.fasta.contigs
D43_maxbin.009.fasta.contigs_01996	D43_maxbin.047.fasta.contigs_02082	80.104	no	no	D43_maxbin.009.fasta.contigs-->D43_maxbin.047.fasta.contigs
D43_maxbin.009.fasta.contigs_02029	D43_maxbin.047.fasta.contigs_02699	79.41	no	no	D43_maxbin.009.fasta.contigs-->D43_maxbin.047.fasta.contigs
D43_maxbin.009.fasta.contigs_02030	D43_maxbin.062.fasta.contigs_00642	78.933	no	no	D43_maxbin.009.fasta.contigs-->D43_maxbin.062.fasta.contigs
D43_maxbin.009.fasta.contigs_02083	D43_maxbin.062.fasta.contigs_01718	79.304	no	no	D43_maxbin.009.fasta.contigs-->D43_maxbin.062.fasta.contigs
