Gene_1	Gene_2	Gene_1_group	Gene_2_group	Identity	end_match	full_length_match
C-1_maxbin.004.fasta.contigs_01899	D43_metabat2.147.fa.contigs_00234	C	BU	78.907	no	no
C-1_maxbin.004.fasta.contigs_01902	D38_maxbin.011.fasta.contigs_02633	C	AK	83.75	no	no
C-1_maxbin.004.fasta.contigs_01938	D38_maxbin.011.fasta.contigs_02288	C	AK	84.438	no	no
C-1_maxbin.004.fasta.contigs_01992	D38_maxbin.011.fasta.contigs_00101	C	AK	100.0	no	yes
C-1_maxbin.004.fasta.contigs_02404	D43_maxbin.047.fasta.contigs_00804	C	BD	93.68	no	no
C-1_maxbin.004.fasta.contigs_02406	D43_maxbin.047.fasta.contigs_00807	C	BD	86.454	no	no
C-1_maxbin.004.fasta.contigs_02495	D43_maxbin.009.fasta.contigs_00029	C	Q	95.072	no	yes
C-1_maxbin.004.fasta.contigs_02497	D43_maxbin.009.fasta.contigs_01640	C	Q	94.719	no	yes
C-1_maxbin.004.fasta.contigs_02535	D38_maxbin.009.fasta.contigs_01468	C	E	97.826	no	yes
C-1_maxbin.004.fasta.contigs_02763	C-1_maxbin.054.fasta_sub.contigs_01092	C	D	91.386	yes	no
C-1_maxbin.004.fasta.contigs_02765	D43_maxbin.046.fasta.contigs_00722	C	D	96.528	no	no
C-1_maxbin.004.fasta.contigs_02766	D43_maxbin.047.fasta.contigs_02123	C	BD	84.488	no	yes
C-1_maxbin.004.fasta.contigs_02768	D43_maxbin.047.fasta.contigs_02121	C	BD	85.541	no	yes
C-1_maxbin.004.fasta.contigs_02769	D43_maxbin.047.fasta.contigs_02120	C	BD	86.54	no	yes
C-1_maxbin.004.fasta.contigs_02770	D43_maxbin.065.fasta.contigs_01341	C	BH	79.299	no	no
C-1_maxbin.004.fasta.contigs_02772	C-1_metabat2.77.fa.contigs_00031	C	D	87.22	no	yes
C-1_maxbin.004.fasta.contigs_02773	D43_maxbin.046.fasta.contigs_01271	C	D	79.892	no	yes
C-1_maxbin.004.fasta.contigs_02789	D43_maxbin.025.fasta.contigs_01282	C	AU	79.838	no	no
C-1_maxbin.004.fasta.contigs_02790	C-1_maxbin.005.fasta.contigs_02042	C	D	86.253	no	no
C-1_maxbin.004.fasta.contigs_02796	D38_maxbin.011.fasta.contigs_01556	C	AK	93.702	no	no
C-1_maxbin.004.fasta.contigs_03003	D43_maxbin.035.fasta.contigs_01246	C	AZ	99.457	yes	no
C-1_maxbin.004.fasta.contigs_03004	D43_maxbin.035.fasta.contigs_01245	C	AZ	100.0	yes	no
C-1_maxbin.004.fasta.contigs_03035	C-1_maxbin.032.fasta.contigs_02025	C	S	96.369	no	no
C-1_maxbin.005.fasta.contigs_00008	D43_maxbin.084.fasta.contigs_01974	D	I	79.342	no	no
C-1_maxbin.005.fasta.contigs_00026	C-1_maxbin.026.fasta_sub.contigs_01198	D	Q	91.266	no	yes
C-1_maxbin.005.fasta.contigs_00027	C-1_maxbin.030.fasta.contigs_02413	D	R	90.568	no	no
C-1_maxbin.005.fasta.contigs_00144	C-1_maxbin.004.fasta.contigs_02450	D	C	79.17	no	no
C-1_maxbin.005.fasta.contigs_00147	C-1_maxbin.030.fasta.contigs_03357	D	R	80.756	no	no
C-1_maxbin.005.fasta.contigs_00171	D38_maxbin.001.fasta.contigs_00858	D	AG	73.626	no	no
C-1_maxbin.005.fasta.contigs_00231	C-1_maxbin.026.fasta_sub.contigs_01125	D	Q	94.404	yes	no
C-1_maxbin.005.fasta.contigs_00237	D43_maxbin.041.fasta.contigs_00249	D	Q	89.322	no	yes
C-1_maxbin.005.fasta.contigs_00349	D43_maxbin.062.fasta.contigs_03298	D	C	95.713	yes	no
C-1_maxbin.005.fasta.contigs_00449	D38_maxbin.009.fasta.contigs_02006	D	E	100.0	no	yes
C-1_maxbin.005.fasta.contigs_00490	D43_maxbin.007.fasta.contigs_02086	D	AQ	81.384	no	no
C-1_maxbin.005.fasta.contigs_00496	C-1_maxbin.041.fasta.contigs_01798	D	X	82.44	no	no
C-1_maxbin.005.fasta.contigs_00535	C-1_maxbin.018.fasta.contigs_00054	D	K	93.261	no	no
C-1_maxbin.005.fasta.contigs_00618	D43_maxbin.062.fasta.contigs_00448	D	C	94.6	no	yes
C-1_maxbin.005.fasta.contigs_00619	D43_maxbin.062.fasta.contigs_00449	D	C	98.865	no	yes
C-1_maxbin.005.fasta.contigs_00620	D43_maxbin.062.fasta.contigs_00450	D	C	97.138	no	yes
C-1_maxbin.005.fasta.contigs_00621	D43_maxbin.062.fasta.contigs_00451	D	C	98.99	no	yes
C-1_maxbin.005.fasta.contigs_00622	D43_maxbin.062.fasta.contigs_00452	D	C	97.29	no	yes
C-1_maxbin.005.fasta.contigs_00624	D43_maxbin.062.fasta.contigs_00454	D	C	96.347	no	yes
C-1_maxbin.005.fasta.contigs_00628	D43_maxbin.025.fasta.contigs_01122	D	AU	93.813	no	no
C-1_maxbin.005.fasta.contigs_00649	D43_maxbin.062.fasta.contigs_02901	D	C	93.857	no	no
C-1_maxbin.005.fasta.contigs_00666	C-1_maxbin.041.fasta.contigs_00401	D	X	79.71	no	no
C-1_maxbin.005.fasta.contigs_00680	D43_maxbin.007.fasta.contigs_01150	D	AQ	91.99	no	no
C-1_maxbin.005.fasta.contigs_00713	C-1_maxbin.030.fasta.contigs_00138	D	R	87.854	no	no
C-1_maxbin.005.fasta.contigs_00748	D43_maxbin.062.fasta.contigs_01806	D	C	98.51	no	no
C-1_maxbin.005.fasta.contigs_00769	C-1_maxbin.041.fasta.contigs_00639	D	X	84.461	no	no
C-1_maxbin.005.fasta.contigs_00784	C-1_maxbin.018.fasta.contigs_02681	D	K	88.827	no	yes
C-1_maxbin.005.fasta.contigs_00786	C-1_maxbin.018.fasta.contigs_02679	D	K	91.162	no	yes
C-1_maxbin.005.fasta.contigs_00787	C-1_maxbin.030.fasta.contigs_04011	D	R	82.832	no	no
C-1_maxbin.005.fasta.contigs_00788	C-1_maxbin.030.fasta.contigs_04009	D	R	90.431	no	no
C-1_maxbin.005.fasta.contigs_00789	C-1_maxbin.030.fasta.contigs_04008	D	R	78.523	no	no
C-1_maxbin.005.fasta.contigs_00790	C-1_maxbin.030.fasta.contigs_04007	D	R	82.5	no	no
C-1_maxbin.005.fasta.contigs_00791	C-1_maxbin.030.fasta.contigs_04006	D	R	79.626	no	no
C-1_maxbin.005.fasta.contigs_00872	C-1_metabat2.79.fa.contigs_01559	D	AF	78.83	no	no
C-1_maxbin.005.fasta.contigs_00874	C-1_maxbin.041.fasta.contigs_01097	D	X	92.441	no	no
C-1_maxbin.005.fasta.contigs_00909	C-1_metabat2.79.fa.contigs_01998	D	AF	79.971	no	no
C-1_maxbin.005.fasta.contigs_00943	D43_maxbin.047.fasta.contigs_00915	D	BD	79.055	no	no
C-1_maxbin.005.fasta.contigs_00947	D43_maxbin.047.fasta.contigs_00919	D	BD	78.106	no	no
C-1_maxbin.005.fasta.contigs_00948	D43_maxbin.047.fasta.contigs_00920	D	BD	83.333	no	no
C-1_maxbin.005.fasta.contigs_00979	D43_maxbin.145.fasta.contigs_01169	D	BQ	88.889	no	no
C-1_maxbin.005.fasta.contigs_00991	D43_maxbin.025.fasta.contigs_03657	D	AU	81.203	no	no
C-1_maxbin.005.fasta.contigs_01064	C-1_maxbin.030.fasta.contigs_00002	D	R	80.512	no	no
C-1_maxbin.005.fasta.contigs_01081	D38_maxbin.013.fasta.contigs_01392	D	AL	90.991	no	yes
C-1_maxbin.005.fasta.contigs_01173	D43_maxbin.007.fasta.contigs_01732	D	AQ	81.115	no	no
C-1_maxbin.005.fasta.contigs_01175	D43_maxbin.085.fasta.contigs_03191	D	BL	75.893	no	no
C-1_maxbin.005.fasta.contigs_01177	C-1_maxbin.023.fasta.contigs_00942	D	N	77.931	no	no
C-1_maxbin.005.fasta.contigs_01348	D43_maxbin.047.fasta.contigs_00659	D	BD	84.185	no	no
C-1_maxbin.005.fasta.contigs_01467	D43_maxbin.062.fasta.contigs_03188	D	C	99.068	no	no
C-1_maxbin.005.fasta.contigs_01471	D43_maxbin.007.fasta.contigs_01428	D	AQ	99.543	no	no
C-1_maxbin.005.fasta.contigs_01474	D43_maxbin.009.fasta.contigs_02072	D	Q	90.162	yes	no
C-1_maxbin.005.fasta.contigs_01530	D43_maxbin.004.fasta.contigs_00444	D	AN	99.275	no	yes
C-1_maxbin.005.fasta.contigs_01533	C-1_maxbin.026.fasta_sub.contigs_02162	D	Q	83.374	no	no
C-1_maxbin.005.fasta.contigs_01534	C-1_maxbin.026.fasta_sub.contigs_02161	D	Q	85.054	no	no
C-1_maxbin.005.fasta.contigs_01557	D43_maxbin.065.fasta.contigs_01165	D	BH	91.107	no	no
C-1_maxbin.005.fasta.contigs_01610	D43_maxbin.006.fasta.contigs_00656	D	AP	92.328	no	yes
C-1_maxbin.005.fasta.contigs_01705	D38_maxbin.009.fasta.contigs_01149	D	E	99.534	no	no
C-1_maxbin.005.fasta.contigs_01720	C-1_maxbin.004.fasta.contigs_00803	D	C	91.579	no	no
C-1_maxbin.005.fasta.contigs_01777	D43_maxbin.065.fasta.contigs_00196	D	BH	80.145	no	no
C-1_maxbin.005.fasta.contigs_01821	D43_maxbin.009.fasta.contigs_02364	D	Q	100.0	no	no
C-1_maxbin.005.fasta.contigs_01852	C-1_maxbin.032.fasta.contigs_00447	D	S	83.621	no	no
C-1_maxbin.005.fasta.contigs_01893	D43_maxbin.007.fasta.contigs_01162	D	AQ	82.177	no	yes
C-1_maxbin.005.fasta.contigs_01894	D43_maxbin.025.fasta.contigs_01122	D	AU	94.894	no	no
C-1_maxbin.005.fasta.contigs_01895	D43_maxbin.025.fasta.contigs_01121	D	AU	93.411	no	no
C-1_maxbin.005.fasta.contigs_01899	D43_maxbin.025.fasta.contigs_01119	D	AU	96.221	no	no
C-1_maxbin.005.fasta.contigs_01981	D43_maxbin.062.fasta.contigs_00479	D	C	99.686	no	yes
C-1_maxbin.005.fasta.contigs_01982	D43_maxbin.062.fasta.contigs_00478	D	C	99.269	no	yes
C-1_maxbin.005.fasta.contigs_01983	D43_maxbin.062.fasta.contigs_00477	D	C	99.195	no	yes
C-1_maxbin.005.fasta.contigs_01984	D43_maxbin.062.fasta.contigs_00476	D	C	99.0	no	yes
C-1_maxbin.005.fasta.contigs_01990	D43_maxbin.007.fasta.contigs_01162	D	AQ	81.22	no	yes
C-1_maxbin.005.fasta.contigs_01993	D43_maxbin.041.fasta.contigs_01379	D	Q	95.238	yes	no
C-1_maxbin.005.fasta.contigs_02081	D43_maxbin.025.fasta.contigs_00239	D	AU	83.254	no	no
C-1_maxbin.005.fasta.contigs_02082	D43_maxbin.065.fasta.contigs_01931	D	BH	82.537	no	no
C-1_maxbin.005.fasta.contigs_02083	D43_maxbin.065.fasta.contigs_01930	D	BH	80.253	no	no
C-1_maxbin.005.fasta.contigs_02084	D43_maxbin.065.fasta.contigs_01929	D	BH	86.503	no	no
C-1_maxbin.005.fasta.contigs_02089	C-1_maxbin.041.fasta.contigs_00033	D	X	88.58	no	yes
C-1_maxbin.005.fasta.contigs_02090	C-1_maxbin.041.fasta.contigs_00032	D	X	82.881	no	yes
C-1_maxbin.005.fasta.contigs_02094	D43_maxbin.065.fasta.contigs_00869	D	BH	82.609	no	no
C-1_maxbin.005.fasta.contigs_02250	D43_maxbin.007.fasta.contigs_02370	D	AQ	78.163	no	no
C-1_maxbin.005.fasta.contigs_02255	C-1_maxbin.041.fasta.contigs_00556	D	X	82.192	no	no
C-1_maxbin.005.fasta.contigs_02349	C-1_maxbin.041.fasta.contigs_00592	D	X	85.938	no	no
C-1_maxbin.005.fasta.contigs_02394	D43_maxbin.041.fasta.contigs_01379	D	Q	88.972	no	yes
C-1_maxbin.005.fasta.contigs_02403	C-1_maxbin.032.fasta.contigs_00964	D	S	81.279	no	no
C-1_maxbin.005.fasta.contigs_02404	C-1_maxbin.041.fasta.contigs_01683	D	X	82.114	no	yes
C-1_maxbin.005.fasta.contigs_02425	C-1_maxbin.030.fasta.contigs_02247	D	R	86.385	no	no
C-1_maxbin.005.fasta.contigs_02435	D43_maxbin.084.fasta.contigs_03084	D	I	79.004	no	no
C-1_maxbin.005.fasta.contigs_02445	C-1_metabat2.79.fa.contigs_00616	D	AF	86.583	no	no
C-1_maxbin.005.fasta.contigs_02488	C-1_maxbin.026.fasta_sub.contigs_02646	D	Q	81.977	no	no
C-1_maxbin.005.fasta.contigs_02489	C-1_maxbin.041.fasta.contigs_00295	D	X	80.38	no	no
C-1_maxbin.005.fasta.contigs_02493	C-1_maxbin.023.fasta.contigs_01316	D	N	79.324	no	no
C-1_maxbin.005.fasta.contigs_02530	C-1_maxbin.041.fasta.contigs_01529	D	X	88.889	no	no
C-1_maxbin.005.fasta.contigs_02539	D43_maxbin.007.fasta.contigs_01264	D	AQ	93.162	no	no
C-1_maxbin.005.fasta.contigs_02540	C-1_maxbin.030.fasta.contigs_01488	D	R	84.501	no	no
C-1_maxbin.005.fasta.contigs_02543	C-1_maxbin.026.fasta_sub.contigs_01108	D	Q	96.787	no	no
C-1_maxbin.005.fasta.contigs_02629	C-1_maxbin.041.fasta.contigs_01470	D	X	81.366	no	no
C-1_maxbin.005.fasta.contigs_02633	D38_maxbin.009.fasta.contigs_00207	D	E	100.0	no	no
C-1_maxbin.005.fasta.contigs_02669	D43_maxbin.007.fasta.contigs_01441	D	AQ	89.38	no	no
C-1_maxbin.005.fasta.contigs_02722	C-1_maxbin.026.fasta_sub.contigs_02215	D	Q	93.333	no	yes
C-1_maxbin.005.fasta.contigs_02726	C-1_maxbin.026.fasta_sub.contigs_02217	D	Q	93.638	no	yes
C-1_maxbin.005.fasta.contigs_02776	D43_maxbin.066.fasta.contigs_00434	D	AE	94.133	no	no
C-1_maxbin.005.fasta.contigs_02799	C-1_maxbin.030.fasta.contigs_01492	D	R	78.415	no	no
C-1_maxbin.005.fasta.contigs_02837	C-1_maxbin.041.fasta.contigs_01512	D	X	84.298	no	no
C-1_maxbin.005.fasta.contigs_02838	C-1_maxbin.041.fasta.contigs_01511	D	X	86.905	no	no
C-1_maxbin.005.fasta.contigs_02841	C-1_maxbin.041.fasta.contigs_01508	D	X	83.739	no	no
C-1_maxbin.005.fasta.contigs_02842	C-1_maxbin.030.fasta.contigs_00771	D	R	81.654	no	yes
C-1_maxbin.005.fasta.contigs_02843	D43_metabat2.151.fa.contigs_00196	D	BV	85.185	no	no
C-1_maxbin.005.fasta.contigs_02906	C-1_maxbin.015.fasta.contigs_00953	D	H	81.234	no	no
C-1_maxbin.005.fasta.contigs_02907	D43_maxbin.009.fasta.contigs_00536	D	Q	83.51	no	no
C-1_maxbin.005.fasta.contigs_02909	C-1_maxbin.009.fasta.contigs_00319	D	E	78.515	no	no
C-1_maxbin.005.fasta.contigs_03043	D43_maxbin.107.fasta.contigs_01262	D	BN	87.416	no	no
C-1_maxbin.005.fasta.contigs_03057	C-1_maxbin.030.fasta.contigs_03248	D	R	91.08	no	yes
C-1_maxbin.005.fasta.contigs_03106	D43_maxbin.007.fasta.contigs_02017	D	AQ	81.23	no	no
C-1_maxbin.005.fasta.contigs_03130	D43_maxbin.084.fasta.contigs_02493	D	I	85.742	no	no
C-1_maxbin.005.fasta.contigs_03175	C-1_metabat2.18.fa_sub.contigs_00018	D	Q	96.257	yes	no
C-1_maxbin.005.fasta.contigs_03331	D43_maxbin.009.fasta.contigs_02439	D	Q	83.971	no	no
C-1_maxbin.005.fasta.contigs_03456	D43_maxbin.004.fasta.contigs_00945	D	AN	100.0	no	yes
C-1_maxbin.005.fasta.contigs_03459	D38_maxbin.009.fasta.contigs_02573	D	E	75.953	no	no
C-1_maxbin.005.fasta.contigs_03464	C-1_maxbin.032.fasta.contigs_01797	D	S	95.134	no	no
C-1_maxbin.005.fasta.contigs_03516	D43_maxbin.065.fasta.contigs_00887	D	BH	82.377	no	no
C-1_maxbin.005.fasta.contigs_03529	D43_maxbin.007.fasta.contigs_02859	D	AQ	78.919	no	no
C-1_maxbin.005.fasta.contigs_03533	C-1_metabat2.104.fa.contigs_00971	D	AC	77.862	no	no
C-1_maxbin.005.fasta.contigs_03546	D43_maxbin.062.fasta.contigs_01090	D	C	84.835	no	no
C-1_maxbin.005.fasta.contigs_03555	C-1_maxbin.030.fasta.contigs_01822	D	R	84.87	no	no
C-1_maxbin.005.fasta.contigs_03561	C-1_metabat2.79.fa.contigs_01971	D	AF	78.853	no	no
C-1_maxbin.005.fasta.contigs_03602	D43_maxbin.041.fasta.contigs_01989	D	Q	83.381	no	no
C-1_maxbin.005.fasta.contigs_03617	C-1_maxbin.041.fasta.contigs_01531	D	X	80.396	no	no
C-1_maxbin.005.fasta.contigs_03658	C-1_metabat2.79.fa.contigs_00425	D	AF	80.154	no	no
C-1_maxbin.005.fasta.contigs_03690	D43_maxbin.007.fasta.contigs_00951	D	AQ	88.701	no	no
C-1_maxbin.005.fasta.contigs_03713	D43_maxbin.065.fasta.contigs_00349	D	BH	84.949	no	no
C-1_maxbin.005.fasta.contigs_03761	D38_maxbin.013.fasta.contigs_01391	D	AL	89.659	no	yes
C-1_maxbin.005.fasta.contigs_03898	D43_maxbin.009.fasta.contigs_00902	D	Q	100.0	no	yes
C-1_maxbin.005.fasta.contigs_03899	D43_maxbin.009.fasta.contigs_00901	D	Q	100.0	no	yes
C-1_maxbin.009.fasta.contigs_00057	D43_maxbin.120.fasta.contigs_04057	E	AQ	100.0	yes	no
C-1_maxbin.009.fasta.contigs_00152	D38_maxbin.008.fasta.contigs_00518	E	AK	98.669	no	yes
C-1_maxbin.009.fasta.contigs_00203	D38_maxbin.013.fasta.contigs_02080	E	AL	100.0	no	yes
C-1_maxbin.009.fasta.contigs_00204	D38_maxbin.013.fasta.contigs_02081	E	AL	100.0	no	yes
C-1_maxbin.009.fasta.contigs_00252	D43_maxbin.161.fasta.contigs_02763	E	BS	99.877	no	yes
C-1_maxbin.009.fasta.contigs_00321	D43_maxbin.161.fasta.contigs_03142	E	BS	99.754	no	no
C-1_maxbin.009.fasta.contigs_00372	D38_maxbin.011.fasta.contigs_01217	E	AK	100.0	no	yes
C-1_maxbin.009.fasta.contigs_00753	D43_maxbin.161.fasta.contigs_00850	E	BS	100.0	no	yes
C-1_maxbin.009.fasta.contigs_00819	D38_maxbin.013.fasta.contigs_01962	E	AL	100.0	no	yes
C-1_maxbin.009.fasta.contigs_00891	D38_maxbin.006.fasta.contigs_00302	E	AJ	92.256	no	no
C-1_maxbin.009.fasta.contigs_00895	D38_maxbin.012.fasta.contigs_00136	E	F	100.0	no	yes
C-1_maxbin.009.fasta.contigs_00927	D43_maxbin.084.fasta.contigs_02918	E	I	99.441	no	yes
C-1_maxbin.009.fasta.contigs_01134	D43_maxbin.161.fasta.contigs_03096	E	BS	100.0	no	yes
C-1_maxbin.009.fasta.contigs_01186	D43_maxbin.021.fasta.contigs_00912	E	AT	97.412	no	no
C-1_maxbin.009.fasta.contigs_01262	D38_maxbin.001.fasta.contigs_01598	E	AG	92.852	no	no
C-1_maxbin.009.fasta.contigs_01431	D38_maxbin.013.fasta.contigs_02606	E	AL	100.0	no	yes
C-1_maxbin.009.fasta.contigs_01432	D38_maxbin.013.fasta.contigs_02605	E	AL	100.0	no	yes
C-1_maxbin.009.fasta.contigs_01545	D43_maxbin.161.fasta.contigs_00402	E	BS	100.0	no	no
C-1_maxbin.009.fasta.contigs_01558	D38_maxbin.011.fasta.contigs_00891	E	AK	100.0	no	yes
C-1_maxbin.009.fasta.contigs_01559	D38_maxbin.011.fasta.contigs_00892	E	AK	100.0	no	yes
C-1_maxbin.009.fasta.contigs_01561	D38_maxbin.011.fasta.contigs_03867	E	AK	100.0	no	yes
C-1_maxbin.009.fasta.contigs_01587	D43_maxbin.161.fasta.contigs_03003	E	BS	100.0	no	yes
C-1_maxbin.009.fasta.contigs_01622	D38_maxbin.013.fasta.contigs_00862	E	AL	100.0	no	yes
C-1_maxbin.009.fasta.contigs_01625	D43_maxbin.084.fasta.contigs_00022	E	I	100.0	no	yes
C-1_maxbin.009.fasta.contigs_01971	D43_maxbin.161.fasta.contigs_02972	E	BS	100.0	no	yes
C-1_maxbin.009.fasta.contigs_02133	D38_maxbin.011.fasta.contigs_02032	E	AK	100.0	no	yes
C-1_maxbin.013.fasta.contigs_00156	D43_maxbin.038.fasta.contigs_01686	F	BA	99.155	no	no
C-1_maxbin.013.fasta.contigs_00157	D38_maxbin.013.fasta.contigs_01491	F	AL	100.0	no	yes
C-1_maxbin.013.fasta.contigs_00170	D38_maxbin.013.fasta.contigs_01634	F	AL	100.0	no	yes
C-1_maxbin.013.fasta.contigs_00171	D38_maxbin.013.fasta.contigs_01635	F	AL	100.0	no	yes
C-1_maxbin.013.fasta.contigs_00222	D38_maxbin.013.fasta.contigs_00722	F	AL	100.0	no	yes
C-1_maxbin.013.fasta.contigs_00369	D43_metabat2.114.fa.contigs_00493	F	BT	85.214	no	no
C-1_maxbin.013.fasta.contigs_00381	D43_metabat2.114.fa.contigs_01159	F	BT	86.682	no	no
C-1_maxbin.013.fasta.contigs_00400	D43_metabat2.114.fa.contigs_00239	F	BT	84.388	no	no
C-1_maxbin.013.fasta.contigs_00401	D43_metabat2.114.fa.contigs_00238	F	BT	87.037	no	no
C-1_maxbin.013.fasta.contigs_00471	D38_maxbin.013.fasta.contigs_00911	F	AL	100.0	no	yes
C-1_maxbin.013.fasta.contigs_00545	D43_maxbin.081.fasta_sub.contigs_00074	F	BK	76.032	no	no
C-1_maxbin.013.fasta.contigs_00553	D43_metabat2.114.fa.contigs_00191	F	BT	85.944	no	yes
C-1_maxbin.013.fasta.contigs_00609	D38_maxbin.013.fasta.contigs_02054	F	AL	100.0	no	yes
C-1_maxbin.013.fasta.contigs_00748	D43_maxbin.038.fasta.contigs_01128	F	BA	84.818	no	no
C-1_maxbin.013.fasta.contigs_00834	D38_maxbin.013.fasta.contigs_01694	F	AL	100.0	no	yes
C-1_maxbin.013.fasta.contigs_00837	D43_maxbin.038.fasta.contigs_01696	F	BA	87.192	no	no
C-1_maxbin.013.fasta.contigs_00848	D43_metabat2.114.fa.contigs_00103	F	BT	89.887	no	no
C-1_maxbin.013.fasta.contigs_00910	D43_metabat2.114.fa.contigs_00006	F	BT	97.849	no	no
C-1_maxbin.013.fasta.contigs_00917	D43_maxbin.026.fasta.contigs_00661	F	AV	87.736	no	yes
C-1_maxbin.013.fasta.contigs_00961	D43_maxbin.026.fasta.contigs_00090	F	AV	81.538	no	no
C-1_maxbin.013.fasta.contigs_01015	D43_metabat2.114.fa.contigs_00260	F	BT	83.976	no	no
C-1_maxbin.013.fasta.contigs_01016	D43_metabat2.114.fa.contigs_00261	F	BT	83.703	no	no
C-1_maxbin.013.fasta.contigs_01079	D38_maxbin.013.fasta.contigs_02851	F	AL	100.0	no	yes
C-1_maxbin.013.fasta.contigs_01080	D38_maxbin.013.fasta.contigs_02852	F	AL	100.0	no	yes
C-1_maxbin.013.fasta.contigs_01081	D38_maxbin.013.fasta.contigs_02853	F	AL	100.0	no	yes
C-1_maxbin.013.fasta.contigs_01082	D38_maxbin.013.fasta.contigs_02854	F	AL	100.0	no	yes
C-1_maxbin.013.fasta.contigs_01083	D38_maxbin.013.fasta.contigs_02855	F	AL	100.0	no	yes
C-1_maxbin.013.fasta.contigs_01331	D43_metabat2.114.fa.contigs_01376	F	BT	90.129	no	no
C-1_maxbin.013.fasta.contigs_01333	D43_metabat2.114.fa.contigs_01378	F	BT	83.725	no	no
C-1_maxbin.013.fasta.contigs_01338	D43_metabat2.114.fa.contigs_01334	F	BT	83.961	no	no
