Bin Id,Marker lineage,# genomes,# markers,# marker sets,Completeness,Contamination,Strain heterogeneity,Genome size (bp),# ambiguous bases,# scaffolds,# contigs,N50 (scaffolds),N50 (contigs),Mean scaffold length (bp),Mean contig length (bp),Longest scaffold (bp),Longest contig (bp),GC,GC std (scaffolds > 1kbp),Coding density,Translation table,# predicted genes,0,1,2,3,4,5+
chicken1_C-2_maxbin.003.fasta.contigs.fa,c__Clostridia (UID1118),387,223,124,94.76,0.0,0.0,2033842,20523,1797,1797,73774,418,337,325,4061,3916,39.1,5.76,-100.0,-1,-1,10,213,0,0,0,0
chicken1_C-2_maxbin.004.fasta.contigs.fa,f__Moraxellaceae (UID4680),86,689,365,100.0,0.02,0.0,3976577,51903,3806,3806,109696,369,306,292,3290,3020,35.3,6.04,-100.0,-1,-1,0,688,1,0,0,0
chicken1_C-2_maxbin.005.fasta.contigs.fa,o__Lactobacillales (UID544),293,475,267,99.25,0.0,0.0,2522727,31850,2541,2541,33229,352,283,270,1451,1398,36.0,6.36,-100.0,-1,-1,2,473,0,0,0,0
chicken1_C-2_maxbin.006.fasta.contigs.fa,f__Enterobacteriaceae (UID5162),88,1207,328,98.5,1.58,72.0,5044377,58564,4974,4974,25705,373,299,287,2742,2638,36.3,6.79,-100.0,-1,-1,11,1173,22,1,0,0
chicken1_C-2_maxbin.007.fasta.contigs.fa,o__Clostridiales (UID1212),172,263,149,97.29,0.34,100.0,2615618,25824,2572,2572,119377,376,301,291,2814,2665,40.2,6.85,-100.0,-1,-1,5,257,1,0,0,0
chicken1_C-2_maxbin.008.fasta.contigs.fa,c__Clostridia (UID1118),387,223,124,67.67,0.0,0.0,2128227,27847,1890,1890,138609,420,338,324,2978,2814,40.2,4.79,-100.0,-1,-1,57,166,0,0,0,0
chicken1_C-2_maxbin.009.fasta.contigs.fa,o__Clostridiales (UID1212),172,263,149,97.32,3.24,66.67,3211868,36763,3393,3393,18804,347,274,263,2509,2369,38.4,5.33,-100.0,-1,-1,4,252,6,1,0,0
chicken1_C-2_maxbin.010.fasta.contigs.fa,o__Clostridiales (UID1212),172,263,149,97.29,4.59,11.11,3591932,35121,3715,3715,62424,363,286,276,3057,2952,39.3,6.61,-100.0,-1,-1,5,249,9,0,0,0
chicken1_C-2_maxbin.011.fasta.contigs.fa,c__Clostridia (UID1118),387,223,124,77.02,0.0,0.0,1606764,19275,1444,1444,29426,388,317,303,3833,3644,39.7,4.0,-100.0,-1,-1,51,172,0,0,0,0
chicken1_C-2_maxbin.012.fasta.contigs.fa,o__Clostridiales (UID1120),304,247,141,94.87,7.44,14.29,4633326,54676,5517,5517,6548,322,246,236,3288,3065,38.9,5.25,-100.0,-1,-1,11,215,21,0,0,0
chicken1_C-2_maxbin.013.fasta.contigs.fa,o__Clostridiales (UID1212),172,263,149,77.07,10.09,0.0,3177616,51808,3914,3914,4076,307,237,223,1983,1834,37.9,6.7,-100.0,-1,-1,48,190,25,0,0,0
chicken1_C-3_maxbin.001.fasta.contigs.fa,c__Gammaproteobacteria (UID4442),899,312,185,99.46,1.08,0.0,3879809,52222,3597,3597,195494,372,309,295,4373,3966,36.1,7.06,-100.0,-1,-1,1,309,2,0,0,0
chicken1_C-3_maxbin.002.fasta.contigs.fa,f__Moraxellaceae (UID4680),86,689,365,99.73,0.89,0.0,4003596,52368,3854,3854,109696,370,304,291,3290,3020,35.3,6.15,-100.0,-1,-1,2,683,4,0,0,0
chicken1_C-3_maxbin.003.fasta.contigs.fa,c__Clostridia (UID1118),387,223,124,95.97,0.0,0.0,2162452,22042,1908,1908,117348,418,337,326,4061,3916,39.2,5.71,-100.0,-1,-1,8,215,0,0,0,0
chicken1_C-3_maxbin.004.fasta.contigs.fa,f__Xanthomonadaceae (UID4214),55,659,290,99.31,1.5,0.0,4819694,38141,4471,4471,48616,397,321,313,4128,3980,34.6,5.46,-100.0,-1,-1,4,648,7,0,0,0
chicken1_C-3_maxbin.005.fasta.contigs.fa,o__Lactobacillales (UID544),293,475,267,99.34,0.37,0.0,2735455,35102,2775,2775,31246,346,280,267,1590,1500,36.3,6.31,-100.0,-1,-1,4,470,1,0,0,0
chicken1_C-3_maxbin.006.fasta.contigs.fa,k__Bacteria (UID203),5449,104,58,93.1,50.0,7.69,3401985,43107,3027,3027,48341,406,329,315,3833,3644,40.0,4.46,-100.0,-1,-1,4,61,39,0,0,0
chicken1_C-3_maxbin.007.fasta.contigs.fa,o__Clostridiales (UID1212),172,257,149,98.32,5.5,0.0,3188655,27769,3076,3076,91499,380,309,300,1730,1661,39.0,4.8,-100.0,-1,-1,3,239,14,1,0,0
chicken1_C-3_maxbin.008.fasta.contigs.fa,f__Enterobacteriaceae (UID5162),88,1207,328,98.0,4.13,81.4,4897997,57112,4904,4904,20827,368,295,283,2256,2162,36.2,7.02,-100.0,-1,-1,14,1157,34,1,1,0
chicken1_C-3_maxbin.009.fasta.contigs.fa,o__Clostridiales (UID1212),172,263,149,92.6,1.01,0.0,2871521,28893,2822,2822,69545,376,301,290,2748,2638,40.1,6.24,-100.0,-1,-1,19,242,2,0,0,0
chicken1_C-3_maxbin.010.fasta.contigs.fa,o__Clostridiales (UID1212),172,263,149,97.32,0.56,100.0,3337615,39162,3524,3524,21845,347,275,264,3057,2952,38.7,5.35,-100.0,-1,-1,4,257,2,0,0,0
chicken1_C-3_maxbin.011.fasta.contigs.fa,o__Clostridiales (UID1212),172,263,149,97.29,1.51,0.0,3629512,35943,3759,3759,62751,369,286,276,2758,2669,39.3,7.01,-100.0,-1,-1,5,255,3,0,0,0
chicken1_C-3_maxbin.012.fasta.contigs.fa,o__Clostridiales (UID1120),304,247,141,43.44,7.36,39.13,4378824,54726,5688,5688,3279,290,219,209,3288,3065,38.1,7.16,-100.0,-1,-1,126,106,11,4,0,0
chicken1_C-4_maxbin.001.fasta.contigs.fa,c__Gammaproteobacteria (UID4442),899,312,185,100.0,0.0,0.0,4002890,53953,3717,3717,219491,373,309,294,4373,3966,36.0,7.03,-100.0,-1,-1,0,312,0,0,0,0
chicken1_C-4_maxbin.002.fasta.contigs.fa,f__Enterobacteriaceae (UID5162),88,1207,328,87.87,1.0,58.33,3746790,42518,3705,3705,21303,370,300,288,1807,1649,36.3,6.71,-100.0,-1,-1,104,1091,12,0,0,0
chicken1_C-4_maxbin.004.fasta.contigs.fa,f__Lachnospiraceae (UID1256),33,333,171,96.13,11.91,48.48,4854665,58849,5040,5040,44972,361,286,274,2829,2627,39.3,6.66,-100.0,-1,-1,16,286,30,1,0,0
chicken1_C-4_maxbin.005.fasta.contigs.fa,o__Clostridiales (UID1212),172,263,149,85.68,0.18,0.0,2931075,48321,2876,2876,63622,367,292,275,3009,2787,40.2,5.98,-100.0,-1,-1,36,224,3,0,0,0
chicken1_C-4_maxbin.006.fasta.contigs.fa,o__Clostridiales (UID1212),172,263,149,77.34,0.89,0.0,1540322,30199,1566,1566,59709,361,286,267,1998,1855,38.3,6.53,-100.0,-1,-1,47,214,2,0,0,0
chicken1_C-4_maxbin.007.fasta.contigs.fa,k__Bacteria (UID203),5449,103,57,96.49,8.29,27.59,3717042,44599,3615,3615,90768,380,307,295,4281,4113,41.3,4.4,-100.0,-1,-1,3,83,11,6,0,0
chicken1_C-4_maxbin.008.fasta.contigs.fa,o__Lactobacillales (UID544),293,473,265,99.25,1.95,0.0,3796787,47084,3812,3812,125682,355,292,280,2725,2591,33.9,6.43,-100.0,-1,-1,2,464,7,0,0,0
chicken1_C-4_maxbin.009.fasta.contigs.fa,f__Lachnospiraceae (UID1255),90,354,174,92.15,12.31,88.0,4887749,53009,5166,5166,8009,364,285,275,2017,1936,40.4,6.16,-100.0,-1,-1,37,271,44,2,0,0
chicken1_C-4_maxbin.010.fasta.contigs.fa,f__Bacillaceae (UID829),128,559,183,92.57,2.42,0.0,5621225,74737,5872,5873,279517,330,264,252,2729,2473,38.4,5.89,-100.0,-1,-1,36,515,6,1,1,0
chicken1_C-4_maxbin.011.fasta.contigs.fa,o__Clostridiales (UID1212),172,263,149,73.98,1.57,0.0,2303351,41333,2580,2580,74386,339,257,241,3315,3072,38.2,6.9,-100.0,-1,-1,53,208,1,1,0,0
chicken1_C-4_maxbin.012.fasta.contigs.fa,o__Clostridiales (UID1212),172,263,149,95.3,2.68,0.0,3455392,40184,3561,3561,30348,359,283,271,1929,1821,38.9,6.87,-100.0,-1,-1,10,244,9,0,0,0
chicken1_C-4_maxbin.014.fasta.contigs.fa,o__Clostridiales (UID1212),172,261,147,86.73,0.0,0.0,2204683,18363,1954,1954,62101,392,333,324,3311,3127,36.6,5.53,-100.0,-1,-1,32,229,0,0,0,0
chicken1_C-4_maxbin.015.fasta.contigs.fa,k__Bacteria (UID203),5449,104,58,93.1,12.77,5.56,3091842,30783,3197,3197,16390,345,279,269,2118,2035,38.5,6.16,-100.0,-1,-1,5,81,18,0,0,0
chicken1_C-4_maxbin.016.fasta_sub.contigs.fa,o__Clostridiales (UID1212),172,257,149,68.85,12.75,0.0,1957839,16805,1889,1889,44944,365,299,291,2216,2046,38.1,6.8,-100.0,-1,-1,62,169,23,3,0,0
chicken1_C-4_maxbin.017.fasta.contigs.fa,k__Bacteria (UID203),5449,104,58,93.97,51.88,39.08,5889912,65309,6021,6021,26711,360,294,283,2094,2013,40.9,5.14,-100.0,-1,-1,4,53,33,10,4,0
chicken1_C-4_maxbin.020.fasta_sub.contigs.fa,o__Clostridiales (UID1212),172,263,149,54.08,2.92,9.09,1257373,11143,1205,1205,25184,380,314,305,8390,7986,37.8,4.38,-100.0,-1,-1,120,134,8,1,0,0
chicken1_C-4_maxbin.021.fasta.contigs.fa,k__Bacteria (UID203),5449,104,58,94.83,5.17,0.0,2157391,25022,2200,2200,63036,362,290,279,2196,2116,37.8,6.01,-100.0,-1,-1,3,88,13,0,0,0
chicken1_C-4_maxbin.022.fasta.contigs.fa,k__Bacteria (UID203),5449,104,58,98.28,14.83,6.25,3066175,41553,3072,3072,54655,358,295,282,1974,1887,34.7,6.22,-100.0,-1,-1,1,71,32,0,0,0
chicken1_C-4_maxbin.023.fasta.contigs.fa,o__Clostridiales (UID1212),172,257,149,27.52,9.55,20.0,4777418,50600,5630,5630,5902,329,246,237,2669,2523,38.0,6.37,-100.0,-1,-1,161,75,18,2,1,0
chicken1_C-4_maxbin.025.fasta.contigs.fa,k__Bacteria (UID203),5449,104,58,98.28,7.77,5.26,2601945,25265,2652,2652,24246,360,293,284,3109,2947,38.5,5.73,-100.0,-1,-1,1,86,16,1,0,0
chicken1_C-4_maxbin.028.fasta.contigs.fa,f__Bacillaceae (UID829),128,559,183,83.81,18.23,2.27,7569348,108916,8779,8779,8396,307,242,230,2003,1871,38.9,6.64,-100.0,-1,-1,59,399,87,13,1,0
chicken1_C-4_maxbin.032.fasta.contigs.fa,o__Clostridiales (UID1212),172,261,147,85.58,5.56,9.09,2048464,17430,2247,2247,6339,329,269,261,1767,1707,37.4,4.88,-100.0,-1,-1,42,208,11,0,0,0
chicken1_C-4_maxbin.034.fasta.contigs.fa,o__Clostridiales (UID1212),172,257,149,19.4,4.82,29.17,1306784,16856,1345,1345,2556,382,297,284,2016,1912,36.3,4.98,-100.0,-1,-1,191,49,15,1,1,0
chicken1_C-4_maxbin.039.fasta.contigs.fa,k__Bacteria (UID203),5449,103,57,64.99,25.32,14.29,2139644,23623,2491,2491,3116,335,266,256,1615,1525,39.6,6.24,-100.0,-1,-1,26,50,19,6,2,0
chicken1_C-4_maxbin.040.fasta.contigs.fa,o__Clostridiales (UID1212),172,263,149,49.8,1.36,20.0,1157249,10030,1469,1469,1907,306,235,229,991,947,38.9,0.0,-100.0,-1,-1,140,118,5,0,0,0
chicken1_C-4_maxbin.045.fasta.contigs.fa,p__Actinobacteria (UID2112),31,211,124,45.87,1.83,40.0,1239281,8987,1513,1513,1598,309,235,229,1159,1120,36.6,0.0,-100.0,-1,-1,114,92,5,0,0,0
chicken1_C-4_metabat2.36.fa.contigs.fa,o__Clostridiales (UID1212),172,263,149,4.03,0.0,0.0,203052,1813,183,183,125689,420,323,314,3135,2963,40.3,4.83,-100.0,-1,-1,220,43,0,0,0,0
chicken1_C-4_metabat2.39.fa.contigs.fa,o__Clostridiales (UID1212),172,261,147,43.54,0.0,0.0,1041095,8929,962,962,29597,385,326,316,2651,2534,36.8,6.29,-100.0,-1,-1,137,124,0,0,0,0
chicken1_C-4_metabat2.53.fa.contigs.fa,o__Clostridiales (UID1212),172,263,149,8.88,0.0,0.0,227279,2508,225,225,14551,374,290,279,1079,1042,39.5,0.0,-100.0,-1,-1,225,38,0,0,0,0
chicken1_C-5_maxbin.001.fasta.contigs.fa,o__Clostridiales (UID1212),172,261,147,79.93,0.57,0.0,2115560,17682,1880,1880,75906,388,331,322,3311,3127,36.4,5.31,-100.0,-1,-1,49,210,2,0,0,0
chicken1_C-5_maxbin.003.fasta.contigs.fa,o__Lactobacillales (UID544),293,475,267,99.63,0.87,0.0,2839728,36624,2866,2866,31439,353,283,270,1455,1398,36.2,7.05,-100.0,-1,-1,1,471,3,0,0,0
chicken1_C-5_maxbin.004.fasta.contigs.fa,o__Clostridiales (UID1212),172,257,149,91.59,12.92,25.81,2957166,25594,2884,2884,80938,377,306,297,1726,1651,38.9,4.6,-100.0,-1,-1,24,204,28,1,0,0
chicken1_C-5_maxbin.005.fasta_sub.contigs.fa,k__Bacteria (UID203),5449,103,57,85.49,10.85,39.13,3536797,38996,3370,3370,59129,384,309,297,6138,5790,40.8,5.38,-100.0,-1,-1,14,66,23,0,0,0
chicken1_C-5_maxbin.007.fasta.contigs.fa,k__Bacteria (UID203),5449,98,58,91.38,15.99,16.67,3640481,35682,3424,3424,95602,402,320,309,4147,3941,38.4,5.2,-100.0,-1,-1,6,74,18,0,0,0
chicken1_C-5_maxbin.008.fasta.contigs.fa,o__Clostridiales (UID1212),172,263,149,94.3,3.55,0.0,4071507,47162,4283,4283,29040,348,274,263,3809,3685,38.6,6.76,-100.0,-1,-1,12,237,14,0,0,0
chicken1_C-5_maxbin.009.fasta.contigs.fa,o__Clostridiales (UID1226),155,278,158,90.51,0.0,0.0,2629088,26799,2333,2333,80052,388,325,313,5023,4837,41.3,5.13,-100.0,-1,-1,51,227,0,0,0,0
chicken1_C-5_maxbin.010.fasta.contigs.fa,f__Lachnospiraceae (UID1256),33,333,171,98.12,3.3,55.56,3248346,37688,3128,3128,30616,379,305,292,2081,1945,40.5,5.5,-100.0,-1,-1,10,314,9,0,0,0
chicken1_C-5_maxbin.011.fasta.contigs.fa,f__Lachnospiraceae (UID1255),90,354,174,70.69,0.0,0.0,3376114,37673,3150,3150,99944,392,321,309,4885,4642,40.9,4.96,-100.0,-1,-1,94,260,0,0,0,0
chicken1_C-5_maxbin.012.fasta.contigs.fa,o__Clostridiales (UID1226),155,278,158,95.57,19.15,5.56,3568365,38768,3313,3313,114254,378,316,305,3744,3623,41.2,4.71,-100.0,-1,-1,10,214,54,0,0,0
chicken1_C-5_maxbin.013.fasta.contigs.fa,o__Lactobacillales (UID544),293,475,267,99.63,5.43,0.0,3934610,55024,4074,4074,121798,346,282,268,2020,1887,35.8,6.75,-100.0,-1,-1,1,456,16,1,1,0
chicken1_C-5_maxbin.014.fasta.contigs.fa,c__Gammaproteobacteria (UID4442),899,312,185,100.0,0.0,0.0,4094999,55452,3797,3797,219622,374,310,295,4373,3966,36.2,7.01,-100.0,-1,-1,0,312,0,0,0,0
chicken1_C-5_maxbin.015.fasta.contigs.fa,k__Bacteria (UID203),5449,104,58,94.83,19.67,53.33,4144629,51272,4190,4190,65194,364,295,282,2324,2232,40.5,6.54,-100.0,-1,-1,3,83,12,6,0,0
chicken1_C-5_maxbin.016.fasta.contigs.fa,o__Clostridiales (UID1212),172,257,149,67.6,29.56,14.93,2442525,20200,2383,2383,35545,380,306,298,3721,3547,38.2,5.24,-100.0,-1,-1,96,100,58,3,0,0
chicken1_C-5_maxbin.018.fasta.contigs.fa,k__Bacteria (UID203),5449,104,58,66.46,23.32,16.22,2134915,19477,2239,2239,36415,358,285,276,3372,3228,37.9,5.14,-100.0,-1,-1,29,44,28,3,0,0
chicken1_C-5_maxbin.019.fasta.contigs.fa,o__Clostridiales (UID1212),172,261,147,89.34,0.34,0.0,2198043,19187,2054,2054,45613,385,323,313,2897,2776,37.4,6.02,-100.0,-1,-1,24,235,2,0,0,0
chicken1_C-5_maxbin.020.fasta.contigs.fa,c__Clostridia (UID1118),387,223,124,77.28,0.81,0.0,1521020,18453,1384,1384,26176,386,312,299,3833,3644,39.5,3.84,-100.0,-1,-1,49,172,2,0,0,0
chicken1_C-5_maxbin.021.fasta.contigs.fa,o__Clostridiales (UID1212),172,263,149,95.3,3.19,42.86,2160084,17458,2196,2196,12319,362,290,282,1452,1407,40.1,7.08,-100.0,-1,-1,9,247,7,0,0,0
chicken1_C-5_maxbin.022.fasta.contigs.fa,f__Lachnospiraceae (UID1256),33,333,171,84.4,4.15,24.0,2528890,28326,2600,2600,21378,371,297,286,1813,1752,41.1,5.28,-100.0,-1,-1,49,261,22,1,0,0
