genome,location,length
human1_D-1_maxbin.056.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_D-1_maxbin.056.fasta.contigs.fa,2425609
human1_D-1_maxbin.067.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_D-1_maxbin.067.fasta.contigs.fa,2461386
human1_D-1_maxbin.068.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_D-1_maxbin.068.fasta.contigs.fa,2397893
human1_D-1_metabat2.109.fa.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_D-1_metabat2.109.fa.contigs.fa,1759214
human1_D-1_metabat2.153.fa.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_D-1_metabat2.153.fa.contigs.fa,1357876
human1_HC-10_maxbin.004.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-10_maxbin.004.fasta.contigs.fa,1005998
human1_HC-10_maxbin.006.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-10_maxbin.006.fasta.contigs.fa,2937606
human1_HC-10_maxbin.007.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-10_maxbin.007.fasta.contigs.fa,4649847
human1_HC-10_maxbin.010.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-10_maxbin.010.fasta.contigs.fa,2682237
human1_HC-10_maxbin.011.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-10_maxbin.011.fasta.contigs.fa,2029267
human1_HC-10_maxbin.014.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-10_maxbin.014.fasta.contigs.fa,2654147
human1_HC-10_maxbin.015.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-10_maxbin.015.fasta.contigs.fa,5845033
human1_HC-10_maxbin.016.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-10_maxbin.016.fasta.contigs.fa,2704801
human1_HC-10_maxbin.018.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-10_maxbin.018.fasta.contigs.fa,2453758
human1_HC-10_maxbin.020.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-10_maxbin.020.fasta.contigs.fa,3449374
human1_HC-10_maxbin.022.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-10_maxbin.022.fasta.contigs.fa,3376377
human1_HC-11_maxbin.006.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-11_maxbin.006.fasta.contigs.fa,2959594
human1_HC-11_maxbin.008.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-11_maxbin.008.fasta.contigs.fa,3274402
human1_HC-11_maxbin.011.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-11_maxbin.011.fasta.contigs.fa,2847155
human1_HC-11_maxbin.014.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-11_maxbin.014.fasta.contigs.fa,3043627
human1_HC-11_maxbin.016.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-11_maxbin.016.fasta.contigs.fa,2614595
human1_HC-11_maxbin.021.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-11_maxbin.021.fasta.contigs.fa,2209679
human1_HC-11_maxbin.022.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-11_maxbin.022.fasta.contigs.fa,2853322
human1_HC-12_maxbin.003.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-12_maxbin.003.fasta.contigs.fa,4655370
human1_HC-12_maxbin.006.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-12_maxbin.006.fasta.contigs.fa,2913056
human1_HC-12_maxbin.007.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-12_maxbin.007.fasta.contigs.fa,6852823
human1_HC-12_maxbin.009.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-12_maxbin.009.fasta.contigs.fa,2670585
human1_HC-12_maxbin.010.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-12_maxbin.010.fasta.contigs.fa,3557793
human1_HC-12_maxbin.011.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-12_maxbin.011.fasta.contigs.fa,4210967
human1_HC-12_maxbin.014.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-12_maxbin.014.fasta.contigs.fa,2592708
human1_HC-12_maxbin.015.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-12_maxbin.015.fasta.contigs.fa,3273882
human1_HC-12_maxbin.016.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-12_maxbin.016.fasta.contigs.fa,2794006
human1_HC-12_maxbin.017.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-12_maxbin.017.fasta.contigs.fa,5261720
human1_HC-12_maxbin.023.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-12_maxbin.023.fasta.contigs.fa,6917825
human1_HC-12_maxbin.027.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-12_maxbin.027.fasta.contigs.fa,3080824
human1_HC-12_maxbin.030.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-12_maxbin.030.fasta.contigs.fa,4974933
human1_HC-12_maxbin.034.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-12_maxbin.034.fasta.contigs.fa,2883127
human1_HC-12_maxbin.038.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-12_maxbin.038.fasta.contigs.fa,1611054
human1_HC-12_maxbin.044.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-12_maxbin.044.fasta.contigs.fa,2790568
human1_HC-13_maxbin.005.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-13_maxbin.005.fasta.contigs.fa,2537024
human1_HC-13_maxbin.006.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-13_maxbin.006.fasta.contigs.fa,2248870
human1_HC-13_maxbin.008.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-13_maxbin.008.fasta.contigs.fa,2803067
human1_HC-13_maxbin.009.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-13_maxbin.009.fasta.contigs.fa,3984725
human1_HC-13_maxbin.010.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-13_maxbin.010.fasta.contigs.fa,3331674
human1_HC-13_maxbin.011.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-13_maxbin.011.fasta.contigs.fa,5128359
human1_HC-13_maxbin.013.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-13_maxbin.013.fasta.contigs.fa,2940972
human1_HC-13_maxbin.014.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-13_maxbin.014.fasta.contigs.fa,2705929
human1_HC-13_maxbin.015.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-13_maxbin.015.fasta.contigs.fa,2518584
human1_HC-13_maxbin.016.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-13_maxbin.016.fasta.contigs.fa,2462184
human1_HC-13_maxbin.018.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-13_maxbin.018.fasta.contigs.fa,3193968
human1_HC-13_maxbin.020.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-13_maxbin.020.fasta.contigs.fa,3169218
human1_HC-13_maxbin.023.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-13_maxbin.023.fasta.contigs.fa,1571772
human1_HC-13_maxbin.024.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-13_maxbin.024.fasta.contigs.fa,2752936
human1_HC-13_maxbin.025.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-13_maxbin.025.fasta.contigs.fa,2812073
human1_HC-13_maxbin.026.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-13_maxbin.026.fasta.contigs.fa,3355238
human1_HC-13_maxbin.029.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-13_maxbin.029.fasta.contigs.fa,5371183
human1_HC-13_maxbin.031.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-13_maxbin.031.fasta.contigs.fa,3661731
human1_HC-13_maxbin.034.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-13_maxbin.034.fasta.contigs.fa,2916402
human1_HC-13_maxbin.035.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-13_maxbin.035.fasta.contigs.fa,1622137
human1_HC-13_maxbin.037.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-13_maxbin.037.fasta.contigs.fa,3770330
human1_HC-13_maxbin.042.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-13_maxbin.042.fasta.contigs.fa,2565983
human1_HC-14_maxbin.001.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-14_maxbin.001.fasta.contigs.fa,2578495
human1_HC-14_maxbin.002.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-14_maxbin.002.fasta.contigs.fa,6749137
human1_HC-14_maxbin.004.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-14_maxbin.004.fasta.contigs.fa,2887391
human1_HC-14_maxbin.006.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-14_maxbin.006.fasta.contigs.fa,4786235
human1_HC-14_maxbin.007.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-14_maxbin.007.fasta.contigs.fa,3434648
human1_HC-14_maxbin.009.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-14_maxbin.009.fasta.contigs.fa,3615892
human1_HC-14_maxbin.010.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-14_maxbin.010.fasta.contigs.fa,2802400
human1_HC-14_maxbin.011.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-14_maxbin.011.fasta.contigs.fa,5607066
human1_HC-14_maxbin.012.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-14_maxbin.012.fasta.contigs.fa,5387899
human1_HC-14_maxbin.013.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-14_maxbin.013.fasta.contigs.fa,3135043
human1_HC-14_maxbin.014.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-14_maxbin.014.fasta.contigs.fa,3017647
human1_HC-14_maxbin.015.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-14_maxbin.015.fasta.contigs.fa,3348475
human1_HC-14_maxbin.016.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-14_maxbin.016.fasta.contigs.fa,2393965
human1_HC-14_maxbin.018.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-14_maxbin.018.fasta.contigs.fa,2304893
human1_HC-14_maxbin.019.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-14_maxbin.019.fasta.contigs.fa,3398567
human1_HC-14_maxbin.021.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-14_maxbin.021.fasta.contigs.fa,6584559
human1_HC-14_maxbin.022.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-14_maxbin.022.fasta.contigs.fa,2863398
human1_HC-14_maxbin.023.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-14_maxbin.023.fasta.contigs.fa,2114088
human1_HC-14_maxbin.026.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-14_maxbin.026.fasta.contigs.fa,2467214
human1_HC-14_maxbin.027.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-14_maxbin.027.fasta.contigs.fa,2612254
human1_HC-14_maxbin.029.fasta_sub.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-14_maxbin.029.fasta_sub.contigs.fa,3183637
human1_HC-14_maxbin.035.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-14_maxbin.035.fasta.contigs.fa,2606437
human1_HC-15_maxbin.005.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-15_maxbin.005.fasta.contigs.fa,2583103
human1_HC-15_maxbin.008.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-15_maxbin.008.fasta.contigs.fa,1796154
human1_HC-15_maxbin.010.fasta_sub.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-15_maxbin.010.fasta_sub.contigs.fa,3384728
human1_HC-15_maxbin.011.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-15_maxbin.011.fasta.contigs.fa,3038524
human1_HC-15_maxbin.013.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-15_maxbin.013.fasta.contigs.fa,3774497
human1_HC-15_maxbin.015.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-15_maxbin.015.fasta.contigs.fa,6691427
human1_HC-15_maxbin.016.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-15_maxbin.016.fasta.contigs.fa,4876733
human1_HC-15_maxbin.017.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-15_maxbin.017.fasta.contigs.fa,3373367
human1_HC-15_maxbin.018.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-15_maxbin.018.fasta.contigs.fa,2971104
human1_HC-15_maxbin.019.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-15_maxbin.019.fasta.contigs.fa,2591985
human1_HC-15_maxbin.020.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-15_maxbin.020.fasta.contigs.fa,3352686
human1_HC-15_maxbin.021.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-15_maxbin.021.fasta.contigs.fa,7159020
human1_HC-15_maxbin.023.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-15_maxbin.023.fasta.contigs.fa,2360190
human1_HC-15_maxbin.024.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-15_maxbin.024.fasta.contigs.fa,3040313
human1_HC-15_maxbin.026.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-15_maxbin.026.fasta.contigs.fa,3156805
human1_HC-15_maxbin.028.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-15_maxbin.028.fasta.contigs.fa,2765436
human1_HC-15_maxbin.029.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-15_maxbin.029.fasta.contigs.fa,3574059
human1_HC-16_maxbin.003.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-16_maxbin.003.fasta.contigs.fa,1197904
human1_HC-16_maxbin.005.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-16_maxbin.005.fasta.contigs.fa,5961802
human1_HC-16_maxbin.006.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-16_maxbin.006.fasta.contigs.fa,3427808
human1_HC-16_maxbin.007.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-16_maxbin.007.fasta.contigs.fa,3320378
human1_HC-16_maxbin.008.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-16_maxbin.008.fasta.contigs.fa,2988782
human1_HC-16_maxbin.010.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-16_maxbin.010.fasta.contigs.fa,3210757
human1_HC-16_maxbin.011.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-16_maxbin.011.fasta.contigs.fa,3079427
human1_HC-16_maxbin.012.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-16_maxbin.012.fasta.contigs.fa,5365569
human1_HC-16_maxbin.014.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-16_maxbin.014.fasta.contigs.fa,4126688
human1_HC-16_maxbin.016.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-16_maxbin.016.fasta.contigs.fa,3681709
human1_HC-16_maxbin.018.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-16_maxbin.018.fasta.contigs.fa,3298247
human1_HC-16_maxbin.020.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-16_maxbin.020.fasta.contigs.fa,2874979
human1_HC-16_maxbin.021.fasta_sub.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-16_maxbin.021.fasta_sub.contigs.fa,2592584
human1_HC-16_maxbin.022.fasta_sub.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-16_maxbin.022.fasta_sub.contigs.fa,3982311
human1_HC-16_maxbin.023.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-16_maxbin.023.fasta.contigs.fa,2972250
human1_HC-16_maxbin.025.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-16_maxbin.025.fasta.contigs.fa,2045360
human1_HC-16_maxbin.028.fasta_sub.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-16_maxbin.028.fasta_sub.contigs.fa,1790805
human1_HC-16_maxbin.029.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-16_maxbin.029.fasta.contigs.fa,1812272
human1_HC-16_metabat2.35.fa.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-16_metabat2.35.fa.contigs.fa,3394159
human1_HC-17_maxbin.003.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-17_maxbin.003.fasta.contigs.fa,4454904
human1_HC-17_maxbin.004.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-17_maxbin.004.fasta.contigs.fa,2928827
human1_HC-17_maxbin.006.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-17_maxbin.006.fasta.contigs.fa,1240405
human1_HC-17_maxbin.007.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-17_maxbin.007.fasta.contigs.fa,3410834
human1_HC-17_maxbin.010.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-17_maxbin.010.fasta.contigs.fa,2718937
human1_HC-17_maxbin.011.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-17_maxbin.011.fasta.contigs.fa,4027965
human1_HC-17_maxbin.015.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-17_maxbin.015.fasta.contigs.fa,2746611
human1_HC-17_maxbin.020.fasta.contigs.fa,/datadrive05/Flo/NRP72/human1/ssbins/ssbins_genomes_human1/human1_HC-17_maxbin.020.fasta.contigs.fa,2765872
