bin name	domain	confidence	% completion	% redundancy	num_splits	total length
Bin_5_2	BACTERIA	1.0	95.77	0.00	156	2009274
Bin_5_3	BACTERIA	0.9	90.14	0.00	169	2024392
Bin_5_5	BACTERIA	0.6	56.34	1.41	165	1020588
Bin_5_7	BACTERIA	0.9	91.55	0.00	119	2443240
Bin_5_14	BACTERIA	0.8	90.14	7.04	141	2114222
Bin_9_3	BACTERIA	0.5	57.75	0.00	1185	2051947
Bin_9_6	BACTERIA	0.7	64.79	1.41	455	1485231
Bin_9_8	BACTERIA	0.4	50.70	4.23	787	1765555
Bin_1_3	BACTERIA	0.4	50.70	1.41	211	4351991
Bin_1_5	BACTERIA	0.4	52.11	0.00	117	2394602
Bin_1_6	BACTERIA	1.0	88.73	4.23	103	1603100
Bin_1_7	BACTERIA	0.6	66.20	4.23	201	1420847
Bin_1_11	BACTERIA	0.9	97.18	4.23	211	2680923
Bin_1_12	BACTERIA	0.9	83.10	0.00	129	2142964
Bin_1_15	BACTERIA	0.6	56.34	1.41	202	1103730
Bin_8_2	BACTERIA	0.9	84.51	2.82	215	2467418
Bin_8_4	BACTERIA	1.0	94.37	0.00	175	3552321
Bin_8_8	BACTERIA	0.7	73.24	4.23	282	5801469
Bin_8_9	BACTERIA	1.0	97.18	1.41	207	3137246
Bin_17_1	BACTERIA	0.9	87.32	2.82	2374	6257802
Bin_4_3_1	BACTERIA	0.7	61.97	1.41	130	1622113
Bin_4_1_2	BACTERIA	0.8	69.01	1.41	150	1766227
Bin_0_3_1	BACTERIA	0.5	63.38	5.63	287	2430432
Bin_0_8_1	BACTERIA	0.8	87.32	1.41	146	2774000
Bin_0_9_1	BACTERIA	1.0	95.77	0.00	140	2474344
Bin_0_10_1	BACTERIA	0.9	87.32	0.00	177	3163640
Bin_0_11_1	BACTERIA	1.0	94.37	1.41	174	3243327
Bin_3_2_1	BACTERIA	0.9	87.32	4.23	105	1721826
Bin_3_3_1	BACTERIA	0.9	76.06	2.82	129	1650655
Bin_11_4_1	BACTERIA	0.6	66.20	7.04	374	2651879
Bin_11_6_1	BACTERIA	0.9	94.37	9.86	299	2868501
Bin_11_7_1	BACTERIA	0.8	88.73	7.04	703	3458330
Bin_16_2_1	BACTERIA	0.8	83.10	5.63	255	1860208
Bin_16_5_1	BACTERIA	1.0	91.55	0.00	177	2946813
Bin_16_7_1	BACTERIA	1.0	95.77	4.23	125	2641793
Bin_14_1_1	BACTERIA	0.9	95.77	1.41	99	1989846
Bin_14_5_1	BACTERIA	1.0	100.00	2.82	188	1953376
Bin_14_6_1	BACTERIA	1.0	100.00	0.00	178	3684686
Bin_14_7_1	BACTERIA	0.9	97.18	5.63	146	2801727
Bin_14_9_1	BACTERIA	0.9	84.51	2.82	144	1815277
Bin_14_10_1	BACTERIA	0.9	97.18	2.82	88	1980442
Bin_14_11_1	BACTERIA	0.9	95.77	2.82	205	3364817
Bin_6_1_1	BACTERIA	1.0	92.96	5.63	247	4454054
Bin_6_2_1	BACTERIA	1.0	98.59	4.23	145	2577785
Bin_6_3_1	BACTERIA	1.0	95.77	5.63	120	2277192
Bin_6_4_1	BACTERIA	0.9	95.77	1.41	161	3555226
Bin_6_6_1	BACTERIA	1.0	95.77	2.82	130	2244417
Bin_6_7_1	BACTERIA	0.9	88.73	8.45	281	4039904
Bin_6_8_1	BACTERIA	1.0	94.37	4.23	146	2347627
Bin_6_10_1	BACTERIA	0.8	80.28	4.23	92	1687062
Bin_6_11_1	BACTERIA	0.6	63.38	7.04	139	2373415
Bin_19_1_1	BACTERIA	0.7	83.10	4.23	312	6410642
Bin_19_7_1	BACTERIA	0.9	85.92	0.00	105	2354570
Bin_19_8_1	BACTERIA	0.9	91.55	0.00	100	1871068
Bin_19_8_2	BACTERIA	0.8	78.87	0.00	98	2105640
Bin_19_9_1	BACTERIA	0.9	92.96	4.23	134	2876374
Bin_19_10_1	BACTERIA	0.6	66.20	0.00	90	1963655
Bin_19_11_1	BACTERIA	0.9	90.14	0.00	112	2114776
Bin_19_18_1	BACTERIA	1.0	94.37	0.00	156	3075979
Bin_19_19_1	BACTERIA	1.0	100.00	1.41	159	2630353
Bin_19_22_1	BACTERIA	1.0	95.77	1.41	108	2431985
Bin_19_23_1	BACTERIA	0.9	88.73	0.00	187	2963093
Bin_19_25_1	BACTERIA	1.0	95.77	0.00	138	2954947
Bin_19_26_1	BACTERIA	0.6	66.20	5.63	164	2626338
Bin_19_30_1	BACTERIA	1.0	95.77	1.41	267	3808560
Bin_19_33_1	BACTERIA	0.7	73.24	7.04	161	2849938
Bin_5_4_1	BACTERIA	1.0	92.96	4.23	113	1946713
Bin_5_6_1	BACTERIA	0.9	90.14	0.00	116	2598035
Bin_5_9_1	BACTERIA	0.8	74.65	0.00	120	2294743
Bin_5_10_1	BACTERIA	1.0	88.73	0.00	123	2235806
Bin_5_11_1	BACTERIA	1.0	95.77	0.00	167	2464079
Bin_5_13_1	BACTERIA	0.5	64.79	2.82	119	1966910
Bin_5_15_1	BACTERIA	0.9	90.14	9.86	188	2334859
Bin_9_1_1	BACTERIA	1.0	100.00	0.00	272	2993788
Bin_9_2_1	BACTERIA	0.9	95.77	1.41	138	2640409
Bin_9_4_1	BACTERIA	0.8	71.83	1.41	411	1062493
Bin_9_5_1	BACTERIA	0.9	84.51	8.45	893	1855238
Bin_9_7_1	BACTERIA	0.8	70.42	8.45	142	1052316
Bin_15_1_1	BACTERIA	0.8	78.87	4.23	601	3584561
Bin_1_1_1	BACTERIA	0.9	85.92	5.63	142	2831318
Bin_1_2_1	BACTERIA	0.9	83.10	0.00	75	1508995
Bin_1_4_1	BACTERIA	1.0	100.00	2.82	124	2351666
Bin_1_8_1	BACTERIA	1.0	87.32	2.82	87	1415998
Bin_1_9_1	BACTERIA	1.0	100.00	1.41	170	3515733
Bin_1_10_1	BACTERIA	0.9	78.87	4.23	55	1089997
Bin_1_13_1	BACTERIA	0.8	85.92	0.00	91	1936178
Bin_1_14_1	BACTERIA	0.9	84.51	5.63	179	1531434
Bin_10_1_1	BACTERIA	1.0	94.37	1.41	170	2446326
Bin_10_2_1	BACTERIA	0.9	76.06	2.82	87	1670964
Bin_10_3_1	BACTERIA	0.9	87.32	5.63	63	1274794
Bin_8_5_1	BACTERIA	0.8	81.69	1.41	77	1566203
Bin_8_6_1	BACTERIA	1.0	97.18	0.00	168	2291689
Bin_8_7_1	BACTERIA	0.9	87.32	5.63	192	2610717
Bin_4_3_3_1	BACTERIA	0.8	80.28	1.41	164	1966520
Bin_4_3_4_1	BACTERIA	0.6	56.34	8.45	158	1071736
Bin_4_1_1_1	BACTERIA	1.0	92.96	2.82	87	1361628
Bin_4_1_3_1	BACTERIA	0.8	70.42	5.63	136	1520433
Bin_4_1_4_1	BACTERIA	0.9	87.32	0.00	55	1033968
Bin_4_1_5_1	BACTERIA	0.6	50.70	0.00	42	379329
Bin_4_1_6_1	BACTERIA	0.9	74.65	0.00	46	855920
Bin_4_1_7_1	BACTERIA	0.6	60.56	5.63	236	1319485
