bin name	domain	confidence	% completion	% redundancy	num_splits	total length
c2_Bin_6_1_1	BACTERIA	0.6	73.24	5.63	236	4413350
c2_Bin_6_2_1	BACTERIA	1.0	98.59	4.23	132	2528031
c2_Bin_6_3_1	BACTERIA	1.0	95.77	5.63	117	2271424
c2_Bin_6_4_1	BACTERIA	0.9	95.77	1.41	158	3506177
c2_Bin_6_6_1	BACTERIA	1.0	95.77	2.82	117	2183219
c2_Bin_6_7_1	BACTERIA	0.9	88.73	8.45	278	4029564
c2_Bin_6_8_1	BACTERIA	1.0	94.37	4.23	122	2228390
c2_Bin_6_10_1	BACTERIA	0.8	80.28	4.23	90	1675413
c2_Bin_6_11_1	BACTERIA	0.6	63.38	7.04	128	2329873
c2_Bin_19_1_1	BACTERIA	0.7	83.10	4.23	311	6408967
c2_Bin_19_7_1	BACTERIA	0.9	85.92	0.00	105	2354570
c2_Bin_19_8_1	BACTERIA	0.9	91.55	0.00	100	1871068
c2_Bin_19_8_2	BACTERIA	0.8	78.87	0.00	98	2105640
c2_Bin_19_9_1	BACTERIA	0.9	92.96	4.23	132	2868268
c2_Bin_19_10_1	BACTERIA	0.6	66.20	0.00	90	1963655
c2_Bin_19_11_1	BACTERIA	0.9	90.14	0.00	111	2110648
c2_Bin_19_18_1	BACTERIA	1.0	94.37	0.00	153	3070214
c2_Bin_19_19_1	BACTERIA	1.0	100.00	1.41	145	2569304
c2_Bin_19_22_1	BACTERIA	1.0	95.77	1.41	107	2409278
c2_Bin_19_23_1	BACTERIA	0.9	88.73	0.00	187	2963093
c2_Bin_19_25_1	BACTERIA	1.0	95.77	0.00	138	2954947
c2_Bin_19_26_1	BACTERIA	0.6	64.79	4.23	153	2585373
c2_Bin_19_30_1	BACTERIA	1.0	95.77	1.41	264	3801569
c2_Bin_19_33_1	BACTERIA	0.7	73.24	7.04	159	2843952
c2_Bin_5_4_1	BACTERIA	1.0	92.96	4.23	113	1946713
c2_Bin_5_6_1	BACTERIA	0.9	90.14	0.00	116	2598035
c2_Bin_5_9_1	BACTERIA	0.8	74.65	0.00	113	2269327
c2_Bin_5_10_1	BACTERIA	1.0	88.73	0.00	109	2197966
c2_Bin_5_11_1	BACTERIA	1.0	95.77	0.00	162	2454573
c2_Bin_5_13_1	BACTERIA	0.5	64.79	2.82	119	1966910
c2_Bin_5_15_1	BACTERIA	0.9	87.32	9.86	183	2322254
c2_Bin_9_1_1	BACTERIA	1.0	100.00	0.00	247	2923785
c2_Bin_9_2_1	BACTERIA	0.8	84.51	1.41	95	1913133
c2_Bin_9_4_1	BACTERIA	0.5	45.07	0.00	270	745203
c2_Bin_9_5_1	BACTERIA	0.9	77.46	8.45	592	1352221
c2_Bin_9_7_1	BACTERIA	0.3	23.94	0.00	79	643233
c2_Bin_15_1_1	BACTERIA	0.7	70.42	4.23	464	3160789
c2_Bin_1_1_1	BACTERIA	0.9	85.92	5.63	139	2818313
c2_Bin_1_2_1	BACTERIA	0.9	83.10	0.00	73	1503268
c2_Bin_1_4_1	BACTERIA	1.0	100.00	2.82	109	2179678
c2_Bin_1_8_1	BACTERIA	1.0	87.32	2.82	73	1338063
c2_Bin_1_9_1	BACTERIA	1.0	100.00	1.41	166	3476565
c2_Bin_1_10_1	BACTERIA	0.8	66.20	2.82	39	821911
c2_Bin_1_13_1	BACTERIA	0.8	85.92	0.00	89	1932682
c2_Bin_1_14_1	BACTERIA	0.9	77.46	4.23	127	1248260
c2_Bin_10_1_1	BACTERIA	1.0	94.37	1.41	159	2415634
c2_Bin_10_2_1	BACTERIA	0.9	76.06	2.82	87	1670964
c2_Bin_10_3_1	BACTERIA	0.9	87.32	5.63	63	1274794
c2_Bin_8_5_1	BACTERIA	0.8	81.69	1.41	71	1521554
c2_Bin_8_6_1	BACTERIA	1.0	97.18	0.00	130	2148050
c2_Bin_8_7_1	BACTERIA	0.9	87.32	5.63	175	2557068
c2_Bin_4_3_3_1	BACTERIA	0.8	80.28	1.41	159	1930866
c2_Bin_4_3_4_1	BACTERIA	0.6	52.11	7.04	139	967201
c2_Bin_4_1_1_1	BACTERIA	1.0	92.96	1.41	79	1319676
c2_Bin_4_1_3_1	BACTERIA	0.8	66.20	5.63	118	1426147
c2_Bin_4_1_4_1	BACTERIA	0.9	85.92	0.00	50	1003255
c2_Bin_4_1_5_1	BACTERIA	0.5	49.30	0.00	38	355994
c2_Bin_4_1_6_1	BACTERIA	0.9	74.65	0.00	42	842748
c2_Bin_4_1_7_1	BACTERIA	0.6	57.75	5.63	213	1240335
