genome,completeness,contamination,strain_heterogeneity,length,N50,centrality
chicken1_C-2_maxbin.002.fasta.contigs.fa,98.28,1.5,0.0,4846580,59991,0.9994504378571429
chicken1_C-2_maxbin.003.fasta.contigs.fa,94.76,0.0,0.0,2033842,73774,0.9996123157142858
chicken1_C-2_maxbin.004.fasta.contigs.fa,100.0,0.02,0.0,3976577,109696,0.9999008786363636
chicken1_C-2_maxbin.005.fasta.contigs.fa,99.25,0.0,0.0,2522727,33229,0.9967544088235295
chicken1_C-2_maxbin.006.fasta.contigs.fa,98.5,1.58,72.0,5044377,25705,0.993930289032258
chicken1_C-2_maxbin.007.fasta.contigs.fa,97.29,0.34,100.0,2615618,119377,0.9985167566666666
chicken1_C-2_maxbin.008.fasta.contigs.fa,67.67,0.0,0.0,2128227,138609,0.0
chicken1_C-2_maxbin.009.fasta.contigs.fa,97.32,3.24,66.67,3211868,18804,0.9849420949999997
chicken1_C-2_maxbin.010.fasta.contigs.fa,97.29,4.59,11.11,3591932,62424,0.998089025
chicken1_C-2_maxbin.011.fasta.contigs.fa,77.02,0.0,0.0,1606764,29426,0.9992161378947371
chicken1_C-2_maxbin.012.fasta.contigs.fa,94.87,7.44,14.29,4633326,6548,0.9966492460000002
chicken1_C-2_maxbin.013.fasta.contigs.fa,77.07,10.09,0.0,3177616,4076,0.9995209442307692
chicken1_C-3_maxbin.001.fasta.contigs.fa,99.46,1.08,0.0,3879809,195494,0.9998420588372091
chicken1_C-3_maxbin.002.fasta.contigs.fa,99.73,0.89,0.0,4003596,109696,0.9999289736363637
chicken1_C-3_maxbin.003.fasta.contigs.fa,95.97,0.0,0.0,2162452,117348,0.9995983742857143
chicken1_C-3_maxbin.004.fasta.contigs.fa,99.31,1.5,0.0,4819694,48616,0.9994712214285715
chicken1_C-3_maxbin.005.fasta.contigs.fa,99.34,0.37,0.0,2735455,31246,0.9966836564705882
chicken1_C-3_maxbin.006.fasta.contigs.fa,93.1,50.0,7.69,3401985,48341,0.0
chicken1_C-3_maxbin.007.fasta.contigs.fa,98.32,5.5,0.0,3188655,91499,0.998408216
chicken1_C-3_maxbin.008.fasta.contigs.fa,98.0,4.13,81.4,4897997,20827,0.9940377222580644
chicken1_C-3_maxbin.009.fasta.contigs.fa,92.6,1.01,0.0,2871521,69545,0.9982210450000001
chicken1_C-3_maxbin.010.fasta.contigs.fa,97.32,0.56,100.0,3337615,21845,0.9848538464285715
chicken1_C-3_maxbin.011.fasta.contigs.fa,97.29,1.51,0.0,3629512,62751,0.9979661725000001
chicken1_C-3_maxbin.012.fasta.contigs.fa,43.44,7.36,39.13,4378824,3279,0.0
chicken1_C-4_maxbin.001.fasta.contigs.fa,100.0,0.0,0.0,4002890,219491,0.9999331558139536
chicken1_C-4_maxbin.002.fasta.contigs.fa,87.87,1.0,58.33,3746790,21303,0.9941822151612905
chicken1_C-4_maxbin.004.fasta.contigs.fa,96.13,11.91,48.48,4854665,44972,0.9953944405263159
chicken1_C-4_maxbin.005.fasta.contigs.fa,85.68,0.18,0.0,2931075,63622,0.9997268259090911
chicken1_C-4_maxbin.006.fasta.contigs.fa,77.34,0.89,0.0,1540322,59709,0.9998482623076923
chicken1_C-4_maxbin.007.fasta.contigs.fa,96.49,8.29,27.59,3717042,90768,0.9990989372727274
chicken1_C-4_maxbin.008.fasta.contigs.fa,99.25,1.95,0.0,3796787,125682,0.9998704949999999
chicken1_C-4_maxbin.009.fasta.contigs.fa,92.15,12.31,88.0,4887749,8009,0.984520614
chicken1_C-4_maxbin.010.fasta.contigs.fa,92.57,2.42,0.0,5621225,279517,0.9995385975
chicken1_C-4_maxbin.011.fasta.contigs.fa,73.98,1.57,0.0,2303351,74386,0.9997986914285715
chicken1_C-4_maxbin.012.fasta.contigs.fa,95.3,2.68,0.0,3455392,30348,0.9951047292857143
chicken1_C-4_maxbin.014.fasta.contigs.fa,86.73,0.0,0.0,2204683,62101,0.9985039686666668
chicken1_C-4_maxbin.015.fasta.contigs.fa,93.1,12.77,5.56,3091842,16390,0.9948242199999999
chicken1_C-4_maxbin.016.fasta_sub.contigs.fa,68.85,12.75,0.0,1957839,44944,0.0
chicken1_C-4_maxbin.017.fasta.contigs.fa,93.97,51.88,39.08,5889912,26711,0.0
chicken1_C-4_maxbin.020.fasta_sub.contigs.fa,54.08,2.92,9.09,1257373,25184,0.0
chicken1_C-4_maxbin.021.fasta.contigs.fa,94.83,5.17,0.0,2157391,63036,0.9994639256521738
chicken1_C-4_maxbin.022.fasta.contigs.fa,98.28,14.83,6.25,3066175,54655,0.9997281192857145
chicken1_C-4_maxbin.023.fasta.contigs.fa,27.52,9.55,20.0,4777418,5902,0.0
chicken1_C-4_maxbin.025.fasta.contigs.fa,98.28,7.77,5.26,2601945,24246,0.9990347542424243
chicken1_C-4_maxbin.028.fasta.contigs.fa,83.81,18.23,2.27,7569348,8396,0.9992740735714287
chicken1_C-4_maxbin.032.fasta.contigs.fa,85.58,5.56,9.09,2048464,6339,0.9988988915789474
chicken1_C-4_maxbin.034.fasta.contigs.fa,19.4,4.82,29.17,1306784,2556,0.0
chicken1_C-4_maxbin.039.fasta.contigs.fa,64.99,25.32,14.29,2139644,3116,0.0
chicken1_C-4_maxbin.040.fasta.contigs.fa,49.8,1.36,20.0,1157249,1907,0.0
chicken1_C-4_maxbin.045.fasta.contigs.fa,45.87,1.83,40.0,1239281,1598,0.0
chicken1_C-4_metabat2.36.fa.contigs.fa,4.03,0.0,0.0,203052,125689,0.0
chicken1_C-4_metabat2.39.fa.contigs.fa,43.54,0.0,0.0,1041095,29597,0.0
chicken1_C-4_metabat2.53.fa.contigs.fa,8.88,0.0,0.0,227279,14551,0.0
chicken1_C-5_maxbin.001.fasta.contigs.fa,79.93,0.57,0.0,2115560,75906,0.9985449706666666
chicken1_C-5_maxbin.003.fasta.contigs.fa,99.63,0.87,0.0,2839728,31439,0.9964371758823529
chicken1_C-5_maxbin.004.fasta.contigs.fa,91.59,12.92,25.81,2957166,80938,0.997883842
chicken1_C-5_maxbin.005.fasta_sub.contigs.fa,85.49,10.85,39.13,3536797,59129,0.998630326
chicken1_C-5_maxbin.007.fasta.contigs.fa,91.38,15.99,16.67,3640481,95602,0.99856937
chicken1_C-5_maxbin.008.fasta.contigs.fa,94.3,3.55,0.0,4071507,29040,0.9945736328571428
chicken1_C-5_maxbin.009.fasta.contigs.fa,90.51,0.0,0.0,2629088,80052,0.996651486875
chicken1_C-5_maxbin.010.fasta.contigs.fa,98.12,3.3,55.56,3248346,30616,0.998474066
chicken1_C-5_maxbin.011.fasta.contigs.fa,70.69,0.0,0.0,3376114,99944,0.9876358620000001
chicken1_C-5_maxbin.012.fasta.contigs.fa,95.57,19.15,5.56,3568365,114254,0.999516995
chicken1_C-5_maxbin.013.fasta.contigs.fa,99.63,5.43,0.0,3934610,121798,0.9997115285714285
chicken1_C-5_maxbin.014.fasta.contigs.fa,100.0,0.0,0.0,4094999,219622,0.9999168609302327
chicken1_C-5_maxbin.015.fasta.contigs.fa,94.83,19.67,53.33,4144629,65194,0.9982918333333334
chicken1_C-5_maxbin.016.fasta.contigs.fa,67.6,29.56,14.93,2442525,35545,0.0
chicken1_C-5_maxbin.018.fasta.contigs.fa,66.46,23.32,16.22,2134915,36415,0.0
chicken1_C-5_maxbin.019.fasta.contigs.fa,89.34,0.34,0.0,2198043,45613,0.9993747218181818
chicken1_C-5_maxbin.020.fasta.contigs.fa,77.28,0.81,0.0,1521020,26176,0.9991372363157895
chicken1_C-5_maxbin.021.fasta.contigs.fa,95.3,3.19,42.86,2160084,12319,0.997194432
chicken1_C-5_maxbin.022.fasta.contigs.fa,84.4,4.15,24.0,2528890,21378,0.9927578619999998
chicken1_C-5_maxbin.023.fasta.contigs.fa,86.22,5.07,7.41,6456670,99719,0.9993840814285716
chicken1_C-5_maxbin.024.fasta.contigs.fa,98.99,39.17,76.5,8992840,28452,0.0
chicken1_C-5_maxbin.025.fasta.contigs.fa,88.6,9.36,52.38,4089841,63944,0.9980582334999999
chicken1_C-5_maxbin.026.fasta.contigs.fa,88.85,1.27,100.0,3003519,16242,0.9924159583333333
chicken1_C-5_maxbin.027.fasta.contigs.fa,99.25,1.51,0.0,3667438,82864,0.99981120625
chicken1_C-5_maxbin.028.fasta.contigs.fa,79.87,0.69,0.0,2302366,49088,0.9991622721212121
chicken1_C-5_maxbin.029.fasta.contigs.fa,71.25,8.18,0.0,2540105,56828,0.99904459
chicken1_C-5_maxbin.030.fasta.contigs.fa,75.1,13.46,31.37,2767636,29717,0.99472633
chicken1_C-5_maxbin.031.fasta.contigs.fa,93.36,8.52,3.12,2890733,61707,0.9993716491304344
chicken1_C-5_maxbin.039.fasta.contigs.fa,4.95,0.54,42.86,195391,4260,0.0
chicken1_C-5_metabat2.108.fa.contigs.fa,11.33,0.0,0.0,227750,81116,0.0
chicken1_C-6_maxbin.001.fasta.contigs.fa,100.0,0.0,0.0,3960337,219639,0.9999302295348836
chicken1_C-6_maxbin.002.fasta.contigs.fa,92.67,0.0,0.0,2051927,66269,0.9997602962500001
chicken1_C-6_maxbin.003.fasta.contigs.fa,95.97,0.67,100.0,2800910,26070,0.9837450495238096
chicken1_C-6_maxbin.004.fasta.contigs.fa,97.43,1.3,21.05,5020809,46909,0.9938602764516128
chicken1_C-6_maxbin.006.fasta.contigs.fa,98.88,1.0,0.0,2473366,36607,0.9967922788235296
chicken1_C-6_maxbin.007.fasta.contigs.fa,98.08,1.34,0.0,4205746,109696,0.9998860972727273
chicken1_C-6_maxbin.008.fasta.contigs.fa,93.97,2.48,0.0,3396516,78784,0.9955127359999999
chicken1_C-6_maxbin.009.fasta.contigs.fa,70.4,9.95,0.0,3775398,3054,0.9983341744999998
chicken1_D10_maxbin.002.fasta.contigs.fa,86.98,1.59,0.0,2212057,91506,0.9986691899999999
chicken1_D10_maxbin.003.fasta.contigs.fa,100.0,0.0,0.0,4009210,211737,0.9999105646511628
chicken1_D10_maxbin.004.fasta.contigs.fa,65.13,1.01,46.15,3134036,24484,0.0
chicken1_D10_maxbin.005.fasta.contigs.fa,77.34,0.89,0.0,1384844,60555,0.9998879215384614
chicken1_D10_maxbin.008.fasta.contigs.fa,94.39,4.03,0.0,2404161,92843,0.9990619710000003
chicken1_D10_maxbin.010.fasta.contigs.fa,93.63,12.4,52.63,3486009,60929,0.9968534494736843
chicken1_D10_maxbin.011.fasta.contigs.fa,92.95,0.67,0.0,2588438,38255,0.995064894047619
chicken1_D10_maxbin.013.fasta.contigs.fa,85.75,2.23,0.0,4261955,57685,0.9894880906666665
chicken1_D10_maxbin.014.fasta_sub.contigs.fa,63.87,14.09,0.0,2332647,75995,0.0
chicken1_D10_maxbin.016.fasta.contigs.fa,93.96,2.01,0.0,2538303,94806,0.9981357534615385
chicken1_D10_maxbin.017.fasta.contigs.fa,83.67,2.68,0.0,2595014,80180,0.9997221149999999
chicken1_D10_maxbin.019.fasta.contigs.fa,71.88,1.34,0.0,1776223,48077,0.9927338918181818
chicken1_D10_maxbin.020.fasta.contigs.fa,85.01,0.67,0.0,2602384,80177,0.999152825
chicken1_D10_maxbin.021.fasta.contigs.fa,94.74,7.02,33.33,2657845,18140,0.990979609
chicken1_D10_maxbin.022.fasta.contigs.fa,33.83,6.19,16.67,2719921,20143,0.0
chicken1_D10_maxbin.026.fasta.contigs.fa,39.46,1.39,40.0,1151696,5293,0.0
chicken1_D10_maxbin.027.fasta.contigs.fa,77.58,40.3,3.31,5308853,52006,0.0
chicken1_D10_maxbin.028.fasta.contigs.fa,59.81,0.63,0.0,2000451,78500,0.0
chicken1_D10_maxbin.029.fasta.contigs.fa,76.19,0.68,0.0,1836565,56575,0.9994894694736841
chicken1_D10_maxbin.030.fasta.contigs.fa,22.47,3.16,14.29,968697,33028,0.0
chicken1_D10_maxbin.031.fasta.contigs.fa,17.98,0.0,0.0,897729,22667,0.0
chicken1_D10_maxbin.034.fasta.contigs.fa,88.59,0.84,11.11,2609996,58578,0.9994095703030303
chicken1_D10_maxbin.035.fasta.contigs.fa,93.97,41.91,77.01,3105668,13215,0.0
chicken1_D10_maxbin.036.fasta.contigs.fa,95.28,2.36,33.33,3059079,23683,0.99794852
chicken1_D10_maxbin.037.fasta.contigs.fa,87.96,10.28,3.57,2560411,30434,0.9970564999999999
chicken1_D10_maxbin.038.fasta.contigs.fa,86.37,9.36,9.38,2684525,16267,0.993882822
chicken1_D10_maxbin.039.fasta.contigs.fa,93.23,7.03,35.71,3449934,7535,0.9935214677777778
chicken1_D10_maxbin.042.fasta_sub.contigs.fa,70.19,15.48,2.5,2878426,5954,0.9988775978260868
chicken1_D10_maxbin.044.fasta.contigs.fa,89.72,5.58,13.04,2409252,9709,0.99565483
chicken1_D10_maxbin.048.fasta.contigs.fa,70.51,38.63,18.37,1790739,4731,0.0
chicken1_D10_maxbin.049.fasta.contigs.fa,44.9,12.08,28.57,1640128,4259,0.0
chicken1_D10_maxbin.050.fasta.contigs.fa,68.07,8.84,4.76,3057946,3191,0.0
chicken1_D10_maxbin.054.fasta.contigs.fa,81.03,30.09,24.41,2497039,4083,0.0
chicken1_D10_maxbin.061.fasta.contigs.fa,7.21,1.08,36.36,656613,2215,0.0
chicken1_D10_maxbin.069.fasta.contigs.fa,53.74,13.5,0.0,1190301,1532,0.0
chicken1_D10_metabat2.32.fa.contigs.fa,27.97,0.0,0.0,524323,63571,0.0
chicken1_D10_metabat2.93.fa.contigs.fa,6.04,0.0,0.0,313903,202537,0.0
chicken1_D11_maxbin.001.fasta.contigs.fa,100.0,0.0,0.0,3954445,219571,0.9998981855813954
chicken1_D11_maxbin.002.fasta.contigs.fa,43.09,0.87,62.5,1892772,15403,0.0
chicken1_D11_maxbin.003.fasta.contigs.fa,97.32,0.67,0.0,3292165,44320,0.9955743123809524
chicken1_D11_maxbin.005.fasta.contigs.fa,88.1,0.91,0.0,2626792,69401,0.9985453006666667
chicken1_D11_maxbin.007.fasta.contigs.fa,77.34,1.57,0.0,1497571,59709,0.9998429226923076
chicken1_D11_maxbin.008.fasta.contigs.fa,94.34,4.85,0.0,2459411,40731,0.9971081294999999
chicken1_D11_maxbin.010.fasta.contigs.fa,92.95,0.94,0.0,2551317,120561,0.9994370066666667
chicken1_D11_maxbin.011.fasta.contigs.fa,85.13,0.47,33.33,3077633,69160,0.996649906
chicken1_D11_maxbin.012.fasta.contigs.fa,37.7,5.37,0.0,1266057,36706,0.0
chicken1_D11_maxbin.013.fasta.contigs.fa,28.19,2.62,12.5,878603,22335,0.0
chicken1_D11_maxbin.014.fasta.contigs.fa,78.52,2.68,0.0,2245476,91487,0.9984247169230771
chicken1_D11_maxbin.017.fasta.contigs.fa,59.13,2.35,25.0,1668483,24091,0.0
chicken1_D11_maxbin.018.fasta.contigs.fa,78.69,2.13,66.67,1761727,21348,0.9928984890909092
chicken1_D11_maxbin.019.fasta_sub.contigs.fa,89.01,1.7,0.0,2213739,50809,0.9998495825
chicken1_D11_maxbin.021.fasta.contigs.fa,88.11,0.9,0.0,1855849,286531,0.9998145634782607
chicken1_D11_maxbin.022.fasta.contigs.fa,97.38,0.0,0.0,2966835,257716,0.9998401767857142
chicken1_D11_maxbin.023.fasta.contigs.fa,84.21,1.61,0.0,3189797,60432,0.9991461414999998
chicken1_D11_maxbin.024.fasta_sub.contigs.fa,69.39,8.13,92.86,2546786,44697,0.0
chicken1_D11_maxbin.025.fasta.contigs.fa,68.82,5.72,66.67,2143046,15023,0.0
chicken1_D11_maxbin.026.fasta.contigs.fa,87.62,11.01,20.59,2252784,19630,0.9990578385714287
chicken1_D11_maxbin.030.fasta.contigs.fa,92.37,10.43,37.04,3393934,6304,0.9910232149999998
chicken1_D11_maxbin.032.fasta.contigs.fa,84.78,18.71,10.42,3876894,13217,0.9994592463636365
chicken1_D11_maxbin.034.fasta_sub.contigs.fa,77.59,14.34,17.24,4524309,2943,0.9974060285714286
chicken1_D11_maxbin.036.fasta_sub.contigs.fa,79.71,15.7,32.79,2910913,6296,0.9959949910526315
chicken1_D11_maxbin.045.fasta.contigs.fa,57.95,3.85,0.0,1837821,2424,0.0
chicken1_D11_metabat2.33.fa.contigs.fa,57.5,0.06,100.0,1375380,28099,0.0
chicken1_D11_metabat2.34.fa.contigs.fa,26.42,0.0,0.0,532951,20705,0.0
chicken1_D11_metabat2.37.fa_sub.contigs.fa,87.0,1.91,0.0,3069801,20221,0.9950178983333333
chicken1_D11_metabat2.60.fa.contigs.fa,74.55,1.93,11.11,1957855,29181,0.9987948333333333
chicken1_D12_maxbin.001.fasta.contigs.fa,100.0,0.0,0.0,4023392,219558,0.9998958867441861
chicken1_D12_maxbin.002.fasta.contigs.fa,93.96,0.0,0.0,2488954,38842,0.9953637361904759
chicken1_D12_maxbin.004.fasta.contigs.fa,89.8,0.12,0.0,2620821,115728,0.9987945913333333
chicken1_D12_maxbin.005.fasta.contigs.fa,95.29,0.0,0.0,2042191,76902,0.99981381375
chicken1_D12_maxbin.006.fasta.contigs.fa,98.55,2.39,8.57,5508152,44538,0.9938671509677419
chicken1_D12_maxbin.007.fasta.contigs.fa,99.63,3.37,5.88,3192996,29345,0.9966305435294119
chicken1_D12_maxbin.008.fasta_sub.contigs.fa,96.3,2.78,30.77,3831224,81374,0.9972927121052632
chicken1_D12_maxbin.009.fasta.contigs.fa,97.59,1.5,0.0,4693598,57599,0.9995369050000001
chicken1_D12_maxbin.014.fasta.contigs.fa,95.28,0.13,0.0,2550026,40933,0.9973449119999998
chicken1_D12_maxbin.016.fasta.contigs.fa,94.94,3.16,0.0,3772938,71031,0.9981746075
chicken1_D12_maxbin.017.fasta.contigs.fa,90.94,0.69,0.0,2498923,118010,0.9994678436363637
chicken1_D12_maxbin.018.fasta.contigs.fa,76.0,6.82,0.0,1815193,60555,0.9998473273076922
chicken1_D12_maxbin.019.fasta.contigs.fa,98.08,1.48,0.0,3947981,112853,0.9999253013636366
chicken1_D12_maxbin.020.fasta.contigs.fa,69.73,2.91,0.0,1736128,76947,0.0
chicken1_D12_maxbin.021.fasta.contigs.fa,81.38,0.0,0.0,2412877,125051,0.9995368665000001
chicken1_D12_maxbin.022.fasta.contigs.fa,91.08,9.77,0.0,4189613,43806,0.9993099621739132
chicken1_D12_maxbin.023.fasta.contigs.fa,96.55,17.26,7.69,2835262,52927,0.9982834888461538
chicken1_D12_maxbin.024.fasta.contigs.fa,98.5,8.29,24.0,3547254,55818,0.9995598967857143
chicken1_D12_maxbin.025.fasta.contigs.fa,94.91,4.26,7.41,3470438,37219,0.99981757875
chicken1_D12_maxbin.026.fasta.contigs.fa,23.85,2.83,25.0,1700030,1814,0.0
chicken1_D12_maxbin.027.fasta_sub.contigs.fa,34.43,4.77,16.67,1961487,3662,0.0
chicken1_D12_maxbin.030.fasta_sub.contigs.fa,33.43,10.8,2.56,3196365,2120,0.0
chicken1_D12_maxbin.033.fasta.contigs.fa,83.88,12.87,5.0,2774632,4100,0.9990862909523809
chicken1_D12_maxbin.036.fasta.contigs.fa,56.75,10.61,2.44,4383751,1840,0.0
chicken1_D12_maxbin.038.fasta.contigs.fa,67.02,8.06,11.11,1696465,2136,0.0
chicken1_D12_metabat2.25.fa.contigs.fa,28.03,0.0,0.0,443583,7395,0.0
chicken1_D12_metabat2.34.fa.contigs.fa,5.7,0.0,0.0,266423,266423,0.0
chicken1_D12_metabat2.38.fa.contigs.fa,8.72,0.0,0.0,255040,85901,0.0
chicken1_D12_metabat2.53.fa.contigs.fa,72.21,0.17,0.0,1745859,7839,0.99742103
chicken1_D12_metabat2.74.fa.contigs.fa,84.39,0.64,0.0,2877530,30696,0.995245885
chicken1_D12_metabat2.77.fa.contigs.fa,40.86,0.0,0.0,1554092,16986,0.0
chicken1_D13_maxbin.002.fasta.contigs.fa,85.75,3.29,0.0,2065248,84100,0.998634564
chicken1_D13_maxbin.003.fasta.contigs.fa,100.0,0.0,0.0,4003367,239002,0.9999157069767439
chicken1_D13_maxbin.005.fasta.contigs.fa,94.54,4.51,25.0,4042261,67850,0.997248992631579
chicken1_D13_maxbin.006.fasta.contigs.fa,60.35,0.82,66.67,2654338,22858,0.0
chicken1_D13_maxbin.007.fasta.contigs.fa,85.85,1.49,0.0,3653087,35214,0.9863132480000002
chicken1_D13_maxbin.010.fasta.contigs.fa,74.65,1.57,0.0,2173294,76439,0.9997999200000001
chicken1_D13_maxbin.011.fasta.contigs.fa,86.58,2.68,0.0,3012449,64140,0.9976203084615385
chicken1_D13_maxbin.012.fasta.contigs.fa,96.64,4.25,0.0,2371882,104194,0.999090045
chicken1_D13_maxbin.013.fasta.contigs.fa,81.43,6.76,0.0,3072355,42867,0.9996805668181821
chicken1_D13_maxbin.014.fasta.contigs.fa,94.3,0.0,0.0,2690336,39414,0.9956325373809521
chicken1_D13_maxbin.015.fasta.contigs.fa,94.34,1.08,0.0,2786733,44258,0.99732176
chicken1_D13_maxbin.016.fasta_sub.contigs.fa,72.99,21.21,31.82,2264880,53965,0.0
chicken1_D13_maxbin.018.fasta.contigs.fa,77.34,2.24,0.0,1497058,60117,0.9998815457692307
chicken1_D13_maxbin.021.fasta.contigs.fa,5.38,0.69,33.33,553581,40667,0.0
chicken1_D13_maxbin.022.fasta.contigs.fa,87.75,1.34,0.0,2783301,56781,0.9994139495238097
chicken1_D13_maxbin.025.fasta.contigs.fa,69.49,1.75,20.0,2278011,30248,0.0
chicken1_D13_maxbin.026.fasta.contigs.fa,96.08,0.34,0.0,4311515,51994,0.9995514264285715
chicken1_D13_maxbin.027.fasta.contigs.fa,98.08,0.14,0.0,3867640,109696,0.9999032277272729
chicken1_D13_maxbin.028.fasta.contigs.fa,80.06,0.63,0.0,2418506,76378,0.99839671
chicken1_D13_maxbin.029.fasta.contigs.fa,76.29,4.59,45.45,1756648,11193,0.991762889090909
chicken1_D13_maxbin.030.fasta.contigs.fa,91.96,2.8,0.0,1976744,122940,0.9998958786956521
chicken1_D13_maxbin.031.fasta.contigs.fa,96.2,29.43,1.96,4411733,74589,0.0
chicken1_D13_maxbin.032.fasta.contigs.fa,91.53,10.71,88.89,3400142,17229,0.9963698616666667
chicken1_D13_maxbin.033.fasta.contigs.fa,89.6,1.56,0.0,2524321,53272,0.9993435651515149
chicken1_D13_maxbin.034.fasta.contigs.fa,86.56,7.65,20.0,2202286,47266,0.9986234584210526
chicken1_D13_maxbin.035.fasta.contigs.fa,99.06,6.13,11.11,3369190,16380,0.9962556439999999
chicken1_D13_maxbin.036.fasta_sub.contigs.fa,70.25,3.58,23.08,3992942,21566,0.994275525
chicken1_D13_maxbin.037.fasta.contigs.fa,77.19,9.01,11.54,3080235,28400,0.9983195870000001
chicken1_D13_maxbin.038.fasta.contigs.fa,40.16,10.4,17.39,2232297,14968,0.0
chicken1_D13_maxbin.042.fasta.contigs.fa,97.44,12.93,1.89,5441110,7523,0.9997193360714285
chicken1_D13_maxbin.044.fasta.contigs.fa,23.16,1.76,0.0,1356603,1937,0.0
chicken1_D13_maxbin.045.fasta_sub.contigs.fa,81.75,28.53,0.0,2907668,3526,0.0
chicken1_D13_maxbin.056.fasta.contigs.fa,62.73,25.71,5.06,3044598,2130,0.0
chicken1_D13_maxbin.058.fasta.contigs.fa,65.69,3.83,0.0,1544742,2405,0.0
